,Athlete,Affiliate,Country,Competition,Placement,Region,Division,Division_2,Back Squat,Chad1000x,Clean and Jerk,Deadlift,Fight Gone Bad,Filthy 50,Fran,Grace,Helen,L1 Benchmark,Max Pull-ups,Run 5k,Snatch,Sprint 400m
3,Vicki Jean,,,,,North America East,Women,,155 lb,,110 lb,205 lb,,,,,,,,,,
9,Michael Andreini,,,,,,,,390 lb,,230 lb,500 lb,,,,,,,,,190 lb,
31,Ryan Pasco,CrossFit Weaver Park,,"2023 open
3276th
worldwide",3276th,worldwide,Men,Men (45-49),310 lb,,225 lb,410 lb,308,33:42,4:21,2:55,9:56,,30,24:17,170 lb,1:24
33,Pascoal Junior,Brave Herd CrossFit,,,,South America,Men,,356 lb,,140 lb,405 lb,,,,,,,21,21:35,135 lb,
36,Peter Norman,CrossFit 162 West,,,,Europe,Men Upper Extremity,,120 kg,,,180 kg,,,,,,,13,25:00,,
45,Colin Barrington,CrossFit Evolving Kilburn,,,,United Kingdom,Men,,120 kg,,90 kg,180 kg,486,24:25,6:29,4:12,,,25,20:48,68 kg,1:06
46,Nicole Ambrose,CrossFit Crash,,"2023 open
8971st
worldwide",8971st,worldwide,Women,Women,210 lb,,185 lb,265 lb,241,,7:07,,11:12,,12,30:00,135 lb,1:21
54,Rodrigo Sousa,CrossFit Mansion,,,,Brazil,Men,,225 lb,,155 lb,285 lb,,,6:25,,,,30,23:45,125 lb,
63,Katherine Keimig,,,,,North America East,Women,,250 lb,,180 lb,285 lb,,,,2:59,,,,,135 lb,
72,Jörn Weichold,CrossFit Sturmflut,,,,Germany,Men,,,,,160 kg,,,,,,,,19:50,,
74,Meghan Gallagher,Broad Street CrossFit,,,,North America,Women,,300 lb,,,370 lb,,,,,,,,,,
83,Ainoa Garcia,Hog Wild CrossFit,,,,United States,Women,,300 lb,,145 lb,365 lb,,,,,,,10,,105 lb,
102,Mickael Marie,CrossFit Mobilus Chinatown,,"2023 open
4166th
worldwide",4166th,worldwide,Men,Men (35-39),180 kg,,150 kg,200 kg,,,,2:32,,,,,120 kg,
116,Jessica Morant,CrossFit Zug,,,,Europe,Women,,103 kg,,68 kg,125 kg,297,,4:20,4:34,,,20,21:41,53 kg,1:23
128,Gary Barney,KRRAK CrossFit,,"2023 quarterfinals
90th
worldwide",90th,worldwide,Men (60-64),Men (60-64),310 lb,,185 lb,345 lb,273,31:15,4:53,3:02,11:17,5:38,20,33:17,155 lb,
130,Matthew Glaeser,CrossFit Pace Performance,,,,North East,Men,,365 lb,,245 lb,425 lb,,,,3:13,7:34,,,,185 lb,
154,Daniela Lazic,CrossFit Columbus Circle,,,,North East,Women,,,,,295 lb,,,,,,,,,,
165,Kurt Juson,CrossFit Chocolate Box,,"2023 quarterfinals
513th
worldwide",513th,worldwide,Men,Men (40-44),396 lb,,275 lb,410 lb,,,,,,,,,225 lb,
167,Paul Buxton,CrossFit Leeds,,,,United Kingdom,Men,,145 kg,,100 kg,190 kg,,,,,,,,,,
173,Clint VanHoy,CrossFit PTC,,"2023 open
918th
worldwide",918th,worldwide,Men (60-64),Men (60-64),325 lb,,,365 lb,,,,,,,,,,
