,Athlete,Affiliate,Country,Competition,Placement,Region,Division,Division_2,Back Squat,Chad1000x,Clean and Jerk,Deadlift,Fight Gone Bad,Filthy 50,Fran,Grace,Helen,L1 Benchmark,Max Pull-ups,Run 5k,Snatch,Sprint 400m
11,Susanna Saariluoma,,,"2023 open
37934th
worldwide",37934th,worldwide,Women,Women,75 kg,,60 kg,90 kg,,,,,,,5,,38 kg,
27,Gunnar Sigurdsson,CrossFit Sport,,"2023 open
4627th
worldwide",4627th,worldwide,Men,Men (40-44),128 kg,,101 kg,142 kg,269,,,,11:03,,30,26:00,80 kg,
44,Dante Pereira,Impávido CrossFit,,,,South America,Men,,150 kg,,225 lb,,,,5:43,3:38,,,,,,
70,Craig Granfield,CrossFit Heald Green,,,,United Kingdom,Men,,150 kg,,95 kg,180 kg,,,4:53,,,,,,65 kg,
73,Rafaela Castro,,,,,Latin America,Women,,83 kg,,55 kg,105 kg,,,,,,,,,40 kg,
83,Ministeri Franck,CrossFit La Ciotat,,"2023 quarterfinals
968th
worldwide",968th,worldwide,Men,Men (40-44),,,,150 kg,,,,,,,,,,
85,Brandon Lineberry,Blue Mountain CrossFit,,"2023 quarterfinals
657th
North America East",657th,North America East,Men,Men,430 lb,,340 lb,545 lb,,,2:27,1:24,,,52,22:30,275 lb,1:06
97,Eric Blewett,CrossFit Controlled Chaos,,"2023 open
8201st
worldwide",8201st,worldwide,Men,Men (40-44),365 lb,,240 lb,415 lb,,,5:43,,,,,,165 lb,
102,Gary Blount,CrossFit Pineville,,"2023 open
4136th
worldwide",4136th,worldwide,Men,Men (35-39),,,265 lb,460 lb,,,,,,,,,,
115,Emma Kerrigan,Boundary CrossFit 2,,,,Europe,Women,,117 kg,,,140 kg,,,,,,,,29:00,60 kg,
116,Michael Doiu,CrossFit COL,,,,North America East,Men,,200 lb,,145 lb,315 lb,,,,,,,,27:40,115 lb,
124,Jeremy Himi,CrossFit Valenton,,"2023 open
22482nd
worldwide",22482nd,worldwide,Men,Men,170 kg,,120 kg,250 kg,,,,,,,,,100 kg,
139,Chris McInnish,CrossFit New England,,"2023 quarterfinals
439th
worldwide",439th,worldwide,Men,Men (50-54),,,,,,,,,,8:41,,,,
143,Karina Aguirre,CrossFit South Forsyth,,,,South East,Women,,155 lb,,100 lb,205 lb,,,,,,,,,85 lb,
158,Juan Carlos Quintero Ramirez,,,,,,,,295 lb,,175 lb,315 lb,,,3:17,5:21,11:52,,49,,125 lb,
