,Athlete,Affiliate,Country,Competition,Placement,Region,Division,Division_2,Back Squat,Chad1000x,Clean and Jerk,Deadlift,Fight Gone Bad,Filthy 50,Fran,Grace,Helen,L1 Benchmark,Max Pull-ups,Run 5k,Snatch,Sprint 400m
18,Marcela La Rosa,CrossFit Auckland Central,,,,Brazil,Women,,73 kg,,48 kg,85 kg,,,9:28,,,,,,38 kg,
19,Tammany Durr,CrossFit Bay Area,,,,United States,Women,,200 lb,,135 lb,300 lb,,,,,,,,27:00,,
25,Welington Leite,CrossFit CPK,,,,South America,Men,,180 kg,,150 kg,220 kg,,,2:51,,,,40,19:00,120 kg,1:02
37,Jeanne Wright,,,,,North America,Women,,175 lb,,105 lb,200 lb,,,,,,,16,,65 lb,1:30
87,Bryan Bentley,CrossFit Taylors,,"2023 open
3353rd
worldwide",3353rd,worldwide,Men (55-59),Men (55-59),295 lb,,,365 lb,,,,,,,,,,
99,Ben Steever,CrossFit Laminin,,"2023 open
18317th
worldwide",18317th,worldwide,Men,Men,365 lb,,290 lb,415 lb,,,,,,,,,245 lb,
166,Alex Theroux,CrossFit U3R,,,,North America,Men,,357 lb,,255 lb,480 lb,,,7:00,,,,,,235 lb,
169,Joshua Corso,CrossFit Derive,,"2023 quarterfinals
333rd
North America West",333rd,North America West,Men,Men,435 lb,,305 lb,535 lb,,,2:37,1:35,8:36,,,,255 lb,
197,Tyler Eppley,CrossFit Weld,,,,North America,Men,,350 lb,,245 lb,365 lb,,,4:50,3:33,,,,,180 lb,
236,Andrew Nachman,Legend CrossFit,,,,North America,Men,,300 lb,,210 lb,370 lb,275,,6:14,,11:23,,,,150 lb,
264,Zac Munoz,Like Water CrossFit,,"2023 open
17589th
worldwide",17589th,worldwide,Men,Men (35-39),,,,270 lb,,,21:52,,,,,,99 lb,
271,Alex Roach,CrossFit 306,,,,North America,Men (55-59),,400 lb,,,472 lb,,,,,,,,,,
278,Sandra Garcia,,,"2023 quarterfinals
128th
worldwide",128th,worldwide,Women,Women (45-49),240 lb,,170 lb,305 lb,,,3:28,2:57,,,,,135 lb,
300,Brandon Larson,CrossFit Issaquah,,,,North America,Men,,235 lb,,,375 lb,,,,,,,,,,
328,Alyssa Hoffman,South Seattle CrossFit,,"2023 open
12741st
worldwide",12741st,worldwide,Women,Women,240 lb,,175 lb,295 lb,,,,,,,,,130 lb,
342,Anika Smith,,,,,Latin America,Women,,195 lb,,115 lb,200 lb,,,,,,,,,95 lb,
347,Ashley Jarvis,CrossFit Uffda,,,,United States,Women,,208 lb,,138 lb,253 lb,,,,,,,,,103 lb,
377,Dan Snook,CrossFit HQ,,,,West Coast,Men,,265 lb,,175 lb,355 lb,,,,,,,,,,
422,Jamie Weathers,CrossFit AZO,,,,Central East,Women,,165 lb,,105 lb,215 lb,168,,,,,,,,75 lb,
423,Beth Lazarus,,,,,North America West,Women,,225 lb,,165 lb,295 lb,,,,,,,,,120 lb,
