,Athlete,Affiliate,Country,Competition,Placement,Region,Division,Division_2,Back Squat,Chad1000x,Clean and Jerk,Deadlift,Fight Gone Bad,Filthy 50,Fran,Grace,Helen,L1 Benchmark,Max Pull-ups,Run 5k,Snatch,Sprint 400m
23,Francesca Germain,CrossFit SY1,,,,Europe,Women,,80 kg,,50 kg,105 kg,214,,8:24,6:12,12:31,,,34:00,35 kg,
45,Ray Ochoa,Lane 5 CrossFit,,,,West Coast,Men,,395 lb,,225 lb,405 lb,,,,,,,,,185 lb,
68,Tyler Vasilescu,CrossFit Norwalk,,"2023 quarterfinals
1469th
North America East",1469th,North America East,Men,Men,465 lb,,,475 lb,,,2:27,2:03,,,,,,
71,Paula Pock,CrossFit MF Windham,,"2023 quarterfinals
336th
worldwide",336th,worldwide,Women,Women (50-54),,,,,,,,,,,5,,,
87,Leonardo Soares,,,,,South America,Men,,154 kg,,122 kg,184 kg,,,3:45,2:02,,,25,,100 kg,
92,Jose Elizundia,CrossFit Tigers Den,,,,Mexico,Men,,315 lb,,,315 lb,,,,,,,,,175 lb,1:00
95,Stefan Kowalski,CrossFit By The Mill,,"2023 open
2540th
worldwide",2540th,worldwide,Men,Men (50-54),115 kg,,90 kg,150 kg,,,,,,,12,,60 kg,
101,Kimberly Quindiagan,,,,,Northern California,Women,,135 lb,,115 lb,165 lb,204,,,,,,,,86 lb,
109,Michael Cary,Perform Overcome Excel CrossFit,,,,North America,Men,,455 lb,,245 lb,485 lb,,,,2:13,,,,,185 lb,
125,Sarah Whitman,,,"2023 open
59646th
worldwide",59646th,worldwide,Women,Women,205 lb,,140 lb,235 lb,,,,,,,20,27:05,110 lb,1:28
166,Adam Ping,CrossFit SuperFly,,,,United States,Men,,375 lb,,235 lb,425 lb,,,,3:10,,,,,,
176,Steven Proulx,L'Usine CrossFit Sherbrooke,,"2023 quarterfinals
1513th
North America East",1513th,North America East,Men,Men,375 lb,,283 lb,515 lb,,,,,,,,,200 lb,
177,Crystal Plotner,Catoctin CrossFit,,,,North America,Women,,245 lb,,165 lb,270 lb,,,,,,,,,125 lb,
181,Matheus Candido,Exeter CrossFit,,"2023 open
42488th
worldwide",42488th,worldwide,Men,Men,305 lb,,235 lb,405 lb,,,,,,,20,19:51,175 lb,
191,James Enowitch,Golden Goose CrossFit,,"2023 open
1688th
worldwide",1688th,worldwide,Men (55-59),Men (55-59),,,225 lb,320 lb,,,,,,,,,,
201,Bob Yun,Black Flag CrossFit,,"2023 open
847th
worldwide",847th,worldwide,Men (65+),Men (65+),210 lb,,90 lb,220 lb,,,6:16,,33:10,,25,,75 lb,
203,James Jarvis,CrossFit Black Five,,,,Europe,Men,,110 kg,,,140 kg,,,,,,,,,,
204,Liz Wise,CrossFit Sacrifice,,"2023 open
1925th
worldwide",1925th,worldwide,Women,Women (50-54),205 lb,,125 lb,275 lb,229,37:00,4:25,4:00,,,,23:08,90 lb,
208,John Biasi,CrossFit Solus,,,,South Central,Men,,265 lb,,175 lb,245 lb,,,,,,,,,135 lb,
212,Montserrat Acuña Quirós,CrossFit 506,,,,Costa Rica,Women,,190 lb,,125 lb,250 lb,,,,,,,,,110 lb,
221,Joshua Wilkinson,CrossFit Unwritten,,,,United States,Men,,355 lb,,255 lb,455 lb,,,2:55,,,,,,200 lb,
228,Christopher Brand-Barker,CrossFit Lutterworth,,"2023 open
72549th
worldwide",72549th,worldwide,Men,Men,120 kg,,92 kg,140 kg,,,,,,,,16:40,62 kg,
230,Paul Perna,CrossFit 1st State,,,,United States,Men (60+),,315 lb,,225 lb,390 lb,,,4:05,,,,35,,165 lb,
240,André Nobaek,,,,,Europe,Men,,140 kg,,100 kg,195 kg,,,,,,,,,76 kg,
242,Jennifer Meyer,CrossFit Chino Hills,,,,North America West,Women,,,,,,,,6:56,,,,,,,
249,Ryan Richter,,,,,North America,Men,,280 lb,,190 lb,365 lb,279,27:39,4:16,4:51,11:27,,27,24:08,135 lb,1:36
259,Michael Sorenson,One Life CrossFit,,"2023 open
1865th
worldwide",1865th,worldwide,Men,Men (45-49),3 lb,,55 lb,35 lb,,,60:12,20:00,60:00,,,0:01,5 lb,
294,Brendan Wilson,CrossFit 404,,"2023 open
15152nd
worldwide",15152nd,worldwide,Men,Men (35-39),335 lb,,230 lb,400 lb,242,,6:46,3:39,,,,23:40,180 lb,
298,Calvin Froehlich,,,,,North Central,Men,,515 lb,,355 lb,595 lb,,,2:34,,,,,,260 lb,0:52
