,Athlete,Affiliate,Country,Competition,Placement,Region,Division,Division_2,Back Squat,Chad1000x,Clean and Jerk,Deadlift,Fight Gone Bad,Filthy 50,Fran,Grace,Helen,L1 Benchmark,Max Pull-ups,Run 5k,Snatch,Sprint 400m
35,Matt Chase,,,,,North East,Men,,315 lb,,200 lb,375 lb,,35:16,7:37,7:04,10:30,,21,22:10,145 lb,1:07
50,Margaret Rivas,CrossFit Winning Edge,,,,United States,Women,,265 lb,,175 lb,345 lb,,,3:59,,,,20,,135 lb,
73,Patrick Starnes,CrossFit Forte,,"2023 open
12917th
worldwide",12917th,worldwide,Men,Men (35-39),310 lb,,235 lb,415 lb,305,,,,,,25,22:00,180 lb,
82,Brenda Bierenga,New Species CrossFit,,"2023 open
10556th
worldwide",10556th,worldwide,Women,Women (40-44),175 lb,,125 lb,245 lb,,,9:58,6:30,,,,28:00,83 lb,
96,Bryant Wright,Peak 360 CrossFit,,"2023 open
7605th
worldwide",7605th,worldwide,Men,Men (35-39),315 lb,,225 lb,365 lb,,,,,,,27,,135 lb,
115,Tomas Baez,,,,,South East,Men,,375 lb,,235 lb,405 lb,,,,,,,,,175 lb,1:05
121,KELLY ALDER,,,,,South West,Women,,205 lb,,130 lb,225 lb,300,24:37,5:30,4:12,9:52,,,,100 lb,
157,Ninette Bagby,Diablo CrossFit,,,,North America,Women,,175 lb,,130 lb,245 lb,,29:11,,6:17,,,,,95 lb,
158,Tom Clark,,,,,North West,Men (55-59),,325 lb,,215 lb,445 lb,,28:02,6:24,,10:29,,40,,155 lb,1:20
162,Ashley Stark,,,,,Asia,Women,,235 lb,,135 lb,275 lb,,,6:57,,,,,,115 lb,
170,Kevin Oscar,,,,,Canada West,Men,,455 lb,,255 lb,475 lb,,,3:50,,,,28,24:24,215 lb,
179,Bobby Oler,Bucktown CrossFit,,"2023 open
99909th
worldwide",99909th,worldwide,Men,Men,245 lb,,155 lb,345 lb,,,,,,,25,34:30,,
187,Vince Campanella,CrossFit Spokane Valley,,,,North America,Men (60-64),,307 lb,,185 lb,390 lb,294,,4:24,3:14,9:50,,33,,142 lb,
188,Allison Beaver,CrossFit Magna,,"2023 open
673rd
worldwide",673rd,worldwide,Women,Women (35-39),305 lb,,235 lb,300 lb,,,2:21,,,,,21:30,185 lb,
190,Jason Wong,,,,,North East,Men,,305 lb,,185 lb,375 lb,,,,,,,29,,165 lb,
192,Raymond Gradillas,La Puente CrossFit,,,,United States,Men,,490 lb,,325 lb,515 lb,,,2:24,1:26,7:35,,54,,245 lb,1:17
195,Mack Linan,Defiant CrossFit,,,,South Central,Men,,320 lb,,235 lb,410 lb,,,5:29,,10:13,,,,180 lb,
