,Athlete,Affiliate,Country,Competition,Placement,Region,Division,Division_2,Back Squat,Chad1000x,Clean and Jerk,Deadlift,Fight Gone Bad,Filthy 50,Fran,Grace,Helen,L1 Benchmark,Max Pull-ups,Run 5k,Snatch,Sprint 400m
1,Tara Fleeman,CrossFit Centralia,,,,North America,Women,,205 lb,,130 lb,285 lb,,,,,16:50,,10,36:00,95 lb,1:50
25,Jamie Bray,,,,,Europe,Men,,115 kg,,,,,,,,,,,24:59,,
39,Clemente Mannella,CrossFit Black Fox,,"2023 open
17747th
worldwide",17747th,worldwide,Men,Men (35-39),245 kg,,175 kg,240 kg,,,,,,,,,145 kg,
54,Ricardas Lape,,,"2023 open
6106th
worldwide",6106th,worldwide,Men,Men (35-39),155 kg,,105 kg,195 kg,,,3:48,,,,,,73 kg,
59,Troy Childers,High Velocity CrossFit,,,,United States,Men,,355 lb,,265 lb,485 lb,,,,4:50,,,,,175 lb,
74,Joanne Smith,CrossFit DSC,,,,Europe Central,Women,,80 kg,,58 kg,110 kg,,,,,,,10,23:45,45 kg,
91,Jonathan Bousquet-Diallo,CrossFit Akson,,,,Europe,Men,,172 kg,,105 kg,235 kg,,,,,,,22,26:50,85 kg,
102,Lucinda Elliott,,,"2023 open
16493rd
worldwide",16493rd,worldwide,Women,Women (40-44),225 lb,,155 lb,275 lb,,,,,,,,44:50,105 lb,
120,Nikko Velasco,Left Coast CrossFit,,,,North America,Men,,305 lb,,225 lb,405 lb,,,,,,,23,,135 lb,
126,Dave Haren,CrossFit Uprising,,"2023 open
954th
worldwide",954th,worldwide,Men (55-59),Men (55-59),295 lb,,185 lb,365 lb,278,,4:36,2:52,,,,,155 lb,
138,Ivan Grasso,,,,,South America,Men,,165 kg,,110 kg,200 kg,,,4:15,3:45,,,,,85 kg,1:40
173,Robson Rosa,Punk CrossFit,,,,Brazil,Men,,400 lb,,300 lb,475 lb,275,,3:51,3:00,,,37,25:54,225 lb,
175,Anna Williams,CrossFit Kokomo,,"2023 quarterfinals
285th
North America East",285th,North America East,Women,Women,285 lb,,220 lb,325 lb,370,,3:47,1:37,8:27,,40,21:24,180 lb,
176,Mohammad Younis,CrossFit YOW,,"2023 open
16232nd
worldwide",16232nd,worldwide,Men,Men (35-39),133 lb,,102 kg,180 lb,,,,,,,,,85 lb,
184,Guille Garcia Ortiz,Studio CrossFit,,,,Spain,Men,,165 kg,,120 kg,200 kg,,,,3:06,,,,,100 kg,
207,Dave Mallison,CrossFit RTV,,"2023 open
144864th
worldwide",144864th,worldwide,Men,Men,105 kg,,,130 kg,,,,,,,,,55 kg,
224,Lindsay Porcher,,,,,North America,Women,,215 lb,,125 lb,260 lb,,,4:42,,10:03,,31,,100 lb,
244,Bram Posthuma,CrossFit Harderwijk,,,,Europe,Men,,,,,160 kg,,30:42,,,,,,,55 kg,
251,Matthew Maggio,CrossFit Syracuse,,,,North America East,Men,,,,,450 lb,,,5:34,,,,,24:30,,
253,Chloe Sainsbury,179 CrossFit,,"2023 open
2418th
worldwide",2418th,worldwide,Women,Women (35-39),115 kg,,93 kg,135 kg,,,,2:19,,,,,70 kg,
285,Caruline Rodrigues Silva,CrossFit HSN,,,,North America East,Women,,225 lb,,165 lb,260 lb,,,,,,,,,150 lb,
289,Jon Knight,Celtic CrossFit,,,,Europe,Men,,140 kg,,105 kg,190 kg,,,4:30,,,,20,18:10,78 kg,
292,Jd Chew,CrossFit 3040,,"2023 open
16413th
worldwide",16413th,worldwide,Men,Men (35-39),275 lb,,175 lb,355 lb,236,,10:30,,11:05,,,,175 lb,
307,Mabel Hudspeth,CrossFit Vacaville North,,,,United States,Women,,215 lb,,115 lb,255 lb,,,,,,,,,95 lb,
324,Vu Nguyen,,,,,North America,Men,,355 lb,,275 lb,455 lb,335,,2:44,2:36,,,40,,215 lb,0:57
348,Roderick Sylvester,BGB CrossFit,,,,North America East,Men,,,,,475 lb,,,,,,,,,,
352,Wendy Donnetta,CrossFit Bending Iron,,,,Central East,Women,,215 lb,,140 lb,270 lb,,,6:31,,,,,,95 lb,
362,Clara Barros,,,,,Latin America,Women,,80 kg,,55 kg,95 kg,,,,,,,,,45 kg,
391,Jenna Condon,Cynergy CrossFit,,"2023 open
50933rd
worldwide",50933rd,worldwide,Women,Women,,,,,,,,,,,30,,,1:12
412,Ariel Meyer,CrossFit Gamma,,"2023 open
18308th
worldwide",18308th,worldwide,Women,Women,225 lb,,181 lb,,,,,2:52,,,,,155 lb,
444,Ashley Mitchell,Brute Fitness CrossFit,,,,United States,Women,,185 lb,,140 lb,255 lb,277,,,,10:19,,,23:58,105 lb,1:30
450,Al DiGangi,CrossFit Cedar Grove,,,,North America,Men (55-59),,305 lb,,225 lb,330 lb,,,,,,,,,175 lb,
456,Fabio Micheletti,CrossFit Fratelli,,,,Brazil,Men,,386 lb,,285 lb,487 lb,,19:40,3:09,2:32,,,,,235 lb,
463,Katy Johnson,Horse Country CrossFit,,,,North America,Women,,145 lb,,105 lb,255 lb,,,,,,,,,95 lb,
466,Alex Cervigon,,,,,,,,120 kg,,100 kg,170 kg,,,,,,,,,85 kg,
477,Christian Lawrence,CrossFit Beowulf,,,,Europe Central,Men,,115 kg,,75 kg,170 kg,,,,,13:39,,,25:01,56 kg,
486,Carlos Guilherme,CrossFit Rangedor,,,,South America,Men,,170 lb,,135 kg,220 kg,,,2:47,1:56,,,,23:23,113 kg,
491,Tim Rehrmann,CrossFit 646 North,,,,North America West,Men,,440 lb,,,462 lb,,,,,,,,,,
495,Diego Llamozas,Speck CrossFit CCS,,"2023 open
22222nd
worldwide",22222nd,worldwide,Men,Men,400 lb,,305 lb,410 lb,,,3:03,,,,,,205 lb,
508,Adam Siria,Condal CrossFit,,"2023 open
7359th
worldwide",7359th,worldwide,Men,Men (35-39),125 kg,,100 kg,170 kg,,,,,,,,,70 kg,
518,Aaron Sams,CrossFit T-Town South,,,,North Central,Men,,315 lb,,215 lb,455 lb,,,,,,,,,170 lb,
561,Alice Pickering,Reebok CrossFit Glevum,,,,Europe Central,Women,,70 kg,,,80 kg,,,,,,,7,,32 kg,
570,Romain Debeve,CrossFit Limoges,,"2023 open
3010th
worldwide",3010th,worldwide,Men,Men (40-44),125 kg,,105 kg,170 kg,,,,,,,15,18:31,75 kg,1:00
572,Dave Glaser,,,,,Mid Atlantic,Men,,235 lb,,,305 lb,,,,,,,,27:56,,
575,Misha Bahl,,,,,Europe North,Men,,170 kg,,120 kg,205 kg,,,3:05,2:30,,,,,100 kg,0:55
579,Brian Hauck,CrossFit Chisel,,"2023 open
861st
worldwide",861st,worldwide,Men (60-64),Men (60-64),245 lb,,165 lb,340 lb,,,,5:01,,,,,115 lb,
604,Hanoch Sela,CrossFit Via Maris,,,,Israel,Men,,115 kg,,85 kg,155 kg,,,7:29,4:13,11:25,,,,62 kg,
657,Jose Cruz,CrossFit Human Performance A.S,,"2023 open
87915th
worldwide",87915th,worldwide,Men,Men,300 lb,,225 lb,455 lb,,,,,,,25,,185 lb,
691,Bradley Dodson,Musclecamp CrossFit,,,,North America,Men,,435 lb,,205 lb,425 lb,,,5:49,3:34,14:01,,,,155 lb,
695,Troy Zangaro,CrossFit Pine Creek,,"2023 open
19658th
worldwide",19658th,worldwide,Men,Men,315 lb,,235 lb,455 lb,,,3:18,,,,28,18:37,,0:48
723,Kári Einarsson,CrossFit Partille,,,,Europe,Men,,140 kg,,110 kg,160 kg,,,,,,,,,95 kg,1:02
732,Paul Cain,CrossFit Kinesis,,,,North America West,Men,,360 lb,,265 lb,440 lb,,,,,,,,,185 lb,
754,Catalina Velazquez Helms,Twelve Lions CrossFit,,,,North America,Women,,235 lb,,130 lb,315 lb,,,,,,,,,100 lb,
755,Anastasiya Saydasheva,,,,,Asia,Women,,120 kg,,90 kg,145 kg,,,,,,,,,70 kg,
771,Thuraya Taleb,Al Quoz CrossFit,,"2023 open
15822nd
worldwide",15822nd,worldwide,Women,Women (35-39),70 kg,,55 kg,83 kg,,,,,,,5,,30 kg,
772,Camilla Pielech Christensen,CrossFit Butcher's Lab,,,,Denmark,Women,,90 kg,,68 kg,121 kg,,,,,,,11,,48 kg,
775,David McNicholas,,,,,North America,Men,,255 lb,,165 lb,325 lb,,,,,,,,,120 lb,
808,Ashley Francescone,,,,,North America,Women,,240 lb,,182 lb,275 lb,,,,3:21,9:28,,,,145 lb,1:14
810,Reagon Noble,CrossFit Diamond Steel,,"2023 open
5524th
worldwide",5524th,worldwide,Men,Men (45-49),295 lb,,230 lb,355 lb,270,,6:15,4:04,10:33,,,,135 lb,
811,Lisa Reno,Great Wolf CrossFit,,"2023 open
4348th
worldwide",4348th,worldwide,Women,Women (35-39),280 lb,,155 lb,305 lb,,,,,,,,,135 lb,
812,Nureen Afeah Elyas,,,,,Asia,Women,,220 lb,,135 lb,295 lb,,,,,,,,,95 lb,
822,Robert Lewis,,,,,Mid Atlantic,Men,,335 lb,,195 lb,405 lb,,,,,,,,,155 lb,
832,Pablo Santana,,,,,Latin America,Men,,286 lb,,220 lb,352 lb,,,3:50,4:40,,,38,25:32,187 lb,
845,Philip Monte,CrossFit Mystic,,,,United States,Men,,300 lb,,200 lb,335 lb,,,,,,,,25:20,,1:24
864,Henry Monelle,,,,,Europe,Men,,155 kg,,105 kg,200 kg,,,,4:47,,,,27:09,70 kg,
885,Amy Stewart,CrossFit Kilo,,"2023 open
1933rd
worldwide",1933rd,worldwide,Women,Women (35-39),100 kg,,75 kg,125 kg,,,,,,,,23:06,55 kg,
891,Veera Järvenpää,CrossFit Korjaamo,,"2023 open
7633rd
worldwide",7633rd,worldwide,Women,Women,110 kg,,85 kg,138 kg,,,,,,,,,65 kg,
893,Murat Necef,CrossFit San Ramon (SR),,"2023 open
3414th
worldwide",3414th,worldwide,Men,Men (50-54),265 lb,,200 lb,365 lb,,,,,,,,,155 lb,
899,Wayne Cooksley,,,,,Europe,Men,,125 kg,,75 kg,198 kg,,,,,,,3,,70 kg,
965,Paola Cravioto,RPC CrossFit,,,,North America,Women,,265 lb,,200 lb,300 lb,,,,,,,,,150 lb,
990,Bryan Alfaro,CrossFit Renace,,,,North America,Men,,345 lb,,245 lb,410 lb,,,3:11,2:23,8:50,,45,18:11,185 lb,1:01
1022,Connor Sanchez,,,,,South East,Men,,315 lb,,205 lb,365 lb,,,,,,,,24:34,155 lb,
