,Athlete,Affiliate,Country,Competition,Placement,Region,Division,Division_2,Back Squat,Chad1000x,Clean and Jerk,Deadlift,Fight Gone Bad,Filthy 50,Fran,Grace,Helen,L1 Benchmark,Max Pull-ups,Run 5k,Snatch,Sprint 400m
15,David Castro,,,,,Southern California,Men,,310 lb,,245 lb,425 lb,304,,4:14,2:54,8:04,,,15:42,180 lb,1:02
29,Tyson Venables,CrossFit Balaclava,,,,Australasia,Men,,210 kg,,130 kg,250 kg,,,2:53,2:08,,,30,22:30,105 kg,1:11
39,Benny Gogerman,CrossFit White City,,,,Israel,Men,,127 kg,,,165 kg,,,,,,,,,73 kg,
51,Katy Speer,CrossFit Saol,,"2023 open
1189th
worldwide",1189th,worldwide,Women,Women (45-49),175 lb,,130 lb,245 lb,334,,5:23,4:12,9:40,,,,80 lb,
82,Ryan Call,,,,,,,,,,,,,32:35,,,,,32,17:03,,
85,Joshua Harper,CrossFit Huey,,,,Oceania,Men,,215 kg,,135 kg,240 kg,340,,3:34,1:53,,,20,,115 kg,1:13
93,Justin Boudreaux,,,,,South Central,Men,,300 lb,,215 lb,405 lb,,,7:18,,,,,25:00,135 lb,
104,Josh Britton,Cornfed CrossFit,,,,North America West,Men,,505 lb,,285 lb,505 lb,,,5:42,,,,,,235 lb,
121,Jo Chamberlain,CrossFit Black Five,,,,Europe Central,Women,,128 kg,,73 kg,140 kg,324,,,,,,8,,58 kg,
131,Morgan Reinert,,,,,North Central,Women,,185 lb,,140 lb,205 lb,,,5:45,5:18,8:16,,20,15:45,80 lb,1:01
149,Angela Cole,Verdant CrossFit,,,,North America,Women,,220 lb,,175 lb,270 lb,352,,4:09,2:32,,,,,150 lb,
152,Katarina Torrissen,CrossFit Alsgaard,,"2023 open
7088th
worldwide",7088th,worldwide,Women,Women,126 kg,,85 kg,160 kg,,24:47,3:00,2:34,9:00,,36,25:40,64 kg,
176,Christian Holm,CrossFit Asane,,,,Europe North,Men,,185 kg,,125 kg,195 kg,375,,,,,,,,85 kg,
180,Amanda White,Outlander CrossFit,,"2023 open
17489th
worldwide",17489th,worldwide,Women,Women,185 lb,,155 lb,280 lb,191,31:16,,4:54,11:12,,20,27:40,125 lb,1:38
195,Jim Thomas,CrossFit Gilroy,,,,United States,Men,,405 lb,,225 lb,485 lb,,,,2:25,11:02,,,16666:40,205 lb,1:06
198,Nick Desmond Corley,CrossFit Crossaxed,,"2023 open
469th
worldwide",469th,worldwide,Men,Men (35-39),160 kg,,130 kg,210 kg,380,,2:25,2:08,7:45,,50,21:20,100 kg,
211,Kevin Hyneman,,,"2023 open
876th
worldwide",876th,worldwide,Men (60-64),Men (60-64),245 lb,,205 lb,370 lb,,,,,,,8,,125 lb,
212,Chris Wagner,CrossFit on 18th,,,,North America,Men,,315 lb,,225 lb,415 lb,282,,4:37,5:00,11:46,,21,,165 lb,1:32
214,Janeca Cua,,,,,South East,Women,,235 lb,,155 lb,286 lb,,,,,,,,23:25,120 lb,1:13
224,Trevor Baxter,CrossFit Elkhorn,,"2023 open
26110th
worldwide",26110th,worldwide,Men,Men,375 lb,,275 lb,435 lb,400,21:00,3:20,2:06,8:41,,46,24:00,215 lb,1:15
227,Lyn Horton,CrossFit Colossus,,"2023 open
219th
worldwide",219th,worldwide,Women (60-64),Women (60-64),81 kg,,50 kg,140 kg,,,,4:12,,,,,35 kg,
238,Janisha Carter,,,,,Northern California,Women,,240 lb,,141 lb,295 lb,,,,,,,,52:45,105 lb,2:40
248,Bridget Bozel,,,,,,,,,,,185 lb,,,,,,,,,,
293,Kevin O'Grady,CrossFit Closer,,,,Canada East,Men,,385 lb,,285 lb,425 lb,,,,,,,,,235 lb,
296,Nicholas Armenta,CrossFit Garage,,"2023 open
3525th
worldwide",3525th,worldwide,Men,Men (45-49),365 lb,,215 lb,380 lb,227,69:21,3:41,3:24,11:27,,30,26:48,145 lb,1:27
298,Chad Richardson,,,,,North East,Men,,210 lb,,145 lb,305 lb,,,,,,,,,85 lb,1:27
