,Athlete,Affiliate,Country,Competition,Placement,Region,Division,Division_2,Back Squat,Chad1000x,Clean and Jerk,Deadlift,Fight Gone Bad,Filthy 50,Fran,Grace,Helen,L1 Benchmark,Max Pull-ups,Run 5k,Snatch,Sprint 400m
1,Frank Adair,,,,,North America,Men,,425 lb,,305 lb,555 lb,,,2:40,1:38,,,,,240 lb,
25,David Prieto,CrossFit Chalk,,"2023 open
1256th
worldwide",1256th,worldwide,Men,Men,430 lb,,330 lb,545 lb,,,2:45,1:41,8:34,,70,,235 lb,
33,James Bollwerk,CrossFit Hit and Run Triad,,"2023 quarterfinals
133rd
worldwide",133rd,worldwide,Men (65+),Men (65+),230 lb,,155 lb,305 lb,,,,,,,16,25:52,110 lb,1:41
43,Ronald Haigler,CrossFit Sweat Mountain,,"2023 open
753rd
worldwide",753rd,worldwide,Men (55-59),Men (55-59),305 lb,,215 lb,378 lb,322,25:02,6:29,4:07,10:14,,,,155 lb,
64,Jorge Elizondo,CrossFit Altus,,"2023 open
5862nd
worldwide",5862nd,worldwide,Men,Men (35-39),550 lb,,280 lb,545 lb,,32:04,3:45,,,,32,31:20,250 lb,
72,Christopher Thompson,CrossFit 3040,,,,United States,Men,,380 lb,,245 lb,455 lb,,,,2:30,,,,18:23,185 lb,
96,Scott Proctor,D-Town CrossFit,,"2023 open
4174th
worldwide",4174th,worldwide,Men,Men (50-54),315 lb,,175 lb,395 lb,,72:48,,6:55,17:33,,,,85 lb,
149,Nikki Smith,Parakaleo CrossFit,,,,United States,Women,,210 lb,,,290 lb,,,,,,,,,,
157,Apollonia Helm,CrossFit V16,,,,West Coast,Women,,200 lb,,123 lb,,,,,,,,,,99 lb,
160,Savannah Barber,,,,,South Central,Women,,220 lb,,165 lb,270 lb,,,4:53,,,,,,115 lb,
184,Chris Spicer,,,,,Europe,Men,,157 kg,,125 kg,200 kg,,,3:40,2:05,,,,20:00,97 kg,
222,Ricky Vasquez,Mental Giants CrossFit,,,,North America West,Men,,,,,,,,,1:46,,,,,,
245,Isaac Dagel,Black Hills CrossFit,,"2023 open
22584th
worldwide",22584th,worldwide,Men,Men (35-39),315 lb,,175 lb,435 lb,,,,,11:32,,,25:21,115 lb,1:20
318,Lance Levine,CrossFit on the Plains,,,,North America,Men,,405 lb,,250 lb,,,,,,,,,,,
335,Derek Smith,Wasatch CrossFit,,,,North America,Men,,375 lb,,230 lb,475 lb,,,,3:54,,,,,185 lb,
354,Germaine Earle-Cruickshanks,CrossFit Arsenal,,,,North America,Women,,260 lb,,145 lb,330 lb,277,29:10,4:49,2:04,10:47,,20,,75 lb,1:33
358,Moises Salazar,,,,,Southern California,Men,,365 lb,,235 lb,415 lb,,,,,,,,,185 lb,
390,Chad Crafts,,,,,South West,Men,,305 lb,,225 lb,405 lb,327,,3:24,,,,22,23:48,165 lb,
408,Fabian Franco,CrossFit Paladin,,,,North America West,Men,,365 lb,,,485 lb,,,,,,,,,,1:01
435,Kelly Peel,CrossFit Lake Travis,,,,United States,Men,,337 lb,,255 lb,395 lb,326,,3:12,2:38,8:48,,,25:34,180 lb,1:08
456,Erin Baskin,CrossFit Hidden Valley,,,,United States,Women,,,,,,,27:08,5:02,,9:02,,,22:09,,
491,John Loiacono,CrossFit Orlando,,,,United States,Men,,505 lb,,295 lb,585 lb,,,,,,,,,235 lb,1:06
511,Chad Kulchinski,CrossFit Midpoint,,,,North Central,Men,,425 lb,,325 lb,500 lb,,,,,,,,,245 lb,
537,Ryan Lifferth,Saratoga Springs CrossFit,,,,North America,Men,,275 lb,,225 lb,425 lb,280,32:00,4:49,,8:48,,50,,170 lb,
559,Matt Richard,,,,,North America,Men,,300 lb,,225 lb,365 lb,,,,,,,13,,135 lb,
567,Paige Miller,,,,,North East,Women,,255 lb,,195 lb,315 lb,,,3:18,,,,,,160 lb,
592,Brandi Ghanbarpour,CrossFit Lena,,"2023 open
10883rd
worldwide",10883rd,worldwide,Women,Women (40-44),215 lb,,140 lb,335 lb,,,7:21,2:58,,,12,,110 lb,1:10
603,Gill Dabbs,,,,,Canada West,Women,,150 lb,,110 lb,205 lb,,,,,,,,,80 lb,
677,Nancy Hawkins,,,,,North East,Women,,190 lb,,120 lb,250 lb,,,,7:10,,,4,,85 lb,
699,Caroline McCourt,Fairmont CrossFit,,,,North America West,Women,,205 lb,,150 lb,270 lb,,,,,,,,,105 lb,
712,Roy Aaron,,,,,,,,405 lb,,,395 lb,,,,,,,,,,
749,Jason Schottler,CrossFit Queanbeyan,,,,Australasia,Men,,120 kg,,100 kg,160 kg,,,,,,,,27:14,65 kg,
755,Jason Hayes,,,,,South Central,Men,,375 lb,,215 lb,420 lb,,,,,,,,,,
784,Jason Heidecker,,,,,Southern California,Men,,230 lb,,,300 lb,,,,,,,,,130 lb,
792,Jonathan Laniel,Buckingham CrossFit,,"2023 open
46382nd
worldwide",46382nd,worldwide,Men,Men,470 lb,,340 lb,435 lb,337,23:57,4:04,2:32,12:15,,30,28:44,275 lb,
810,Christopher Plata,Auxiliary CrossFit,,,,Mexico,Men,,305 lb,,195 lb,412 lb,,,,,9:54,,20,24:32,135 lb,
