,Athlete,Affiliate,Country,Competition,Placement,Region,Division,Division_2,Back Squat,Chad1000x,Clean and Jerk,Deadlift,Fight Gone Bad,Filthy 50,Fran,Grace,Helen,L1 Benchmark,Max Pull-ups,Run 5k,Snatch,Sprint 400m
1,Boris Zabavnikov,Soyuz CrossFit,,,,Europe North,Men,,170 kg,,120 kg,200 kg,,,,,,,,,90 kg,
7,Tyler Young,CrossFit Fenton,,"2023 quarterfinals
2054th
North America East",2054th,North America East,Men,Men,335 lb,,235 lb,465 lb,,,,,,,,,185 lb,
13,Joe Kelley,CrossFit Decimate,,,,North America,Men,,450 lb,,245 lb,475 lb,309,,6:00,,12:02,,25,,195 lb,
28,Alexandre Stillemans,CrossFit 1815,,,,Europe Central,Men,,130 kg,,95 kg,160 kg,,,5:41,,,,,,63 kg,
33,Jeff Burton,,,,,Europe,Men (65+),,103 kg,,70 kg,163 kg,,,10:17,4:31,,,,,50 kg,
77,Marius Thomassen,CrossFit Torshavn,,,,Europe,Men,,120 kg,,92 kg,165 kg,274,,5:13,5:23,,,27,,,
89,Sebastian Fägerstrand,CrossFit Hoganas,,,,Europe,Men,,120 kg,,85 kg,170 kg,,,,,,,,,,
102,Mangiardi Vanessa,CrossFit Albi,,"2023 open
4219th
worldwide",4219th,worldwide,Women,Women (35-39),110 kg,,70 kg,140 kg,,,,,,,,,,
118,Candace Terry,CrossFit Hyattsville,,,,North America East,Women,,175 lb,,,65 lb,,,,,,,,38:00,,
122,Sanjiv Kumar,CrossFit Duna,,"2023 open
4137th
worldwide",4137th,worldwide,Men,Men (50-54),107 kg,,70 kg,131 kg,,,7:30,,,,22,22:30,53 kg,1:30
125,Daniel McCarroll,Battersea District CrossFit,,,,Oceania,Men,,,,,,,,,,,,,,,0:59
127,Charles Miller,CrossFit Proelium,,"2023 open
861st
worldwide",861st,worldwide,Men (60-64),Men (60-64),390 lb,,185 lb,425 lb,248,,6:34,4:10,,,,,145 lb,
131,Jimmy Hudson,Streamline CrossFit,,,,South Central,Men,,315 lb,,205 lb,425 lb,,,,,,,,,165 lb,
132,Eric Moran,,,"2023 open
39976th
worldwide",39976th,worldwide,Men,Men,400 lb,,300 lb,475 lb,,,4:45,2:58,,,30,,255 lb,1:30
149,Challande Nadège,CrossFit Loriol,,,,Europe,Women,,110 kg,,55 kg,130 kg,,,,,,,,,60 kg,
153,Chiyon Ryu,CrossFit Kumamoto,,,,Asia,Men,,175 kg,,125 kg,175 kg,,,,,,,,,97 kg,
164,Chris Mears,,,,,Mid Atlantic,Men,,205 lb,,130 lb,255 lb,,32:14,6:48,,,,,27:20,,
166,Willie Balthis,Koda CrossFit Tulsa,,"2023 open
51st
worldwide",51st,worldwide,Men Upper Extremity,Men Upper Extremity,,,,,,,,,,,,24:05,,
168,Jonathan Mundo,CrossFit LYFE,,,,North America East,Men,,335 lb,,245 lb,355 lb,,,,,,,,,185 lb,
184,David Thompson,,,,,Europe,Men,,286 lb,,231 lb,418 lb,,,,,,,,,198 lb,
195,Kevin McGrath,,,"2023 quarterfinals
2069th
North America East",2069th,North America East,Men,Men,345 lb,,245 lb,445 lb,,,3:17,3:01,8:49,,20,22:05,185 lb,1:35
200,Kia Taylor,CrossFit MH,,,,North America,Women,,265 lb,,160 lb,330 lb,287,,6:25,3:10,10:35,,,23:44,110 lb,
