,Athlete,Affiliate,Country,Competition,Placement,Region,Division,Division_2,Back Squat,Chad1000x,Clean and Jerk,Deadlift,Fight Gone Bad,Filthy 50,Fran,Grace,Helen,L1 Benchmark,Max Pull-ups,Run 5k,Snatch,Sprint 400m
0,Taebok Kim,CrossFit Fighting Spirit,,,,Asia,Men,,315 lb,,215 lb,455 lb,270,22:20,4:30,5:25,11:07,,26,,165 lb,
3,Scott Glogowski,,,"2023 open
2199th
worldwide",2199th,worldwide,Men,Men (50-54),315 lb,,245 lb,405 lb,,,4:31,3:51,12:45,,,22:24,195 lb,
42,Kevin Ward,CrossFit Credence,,,,North America,Men (55-59),,275 lb,,225 lb,400 lb,,,,,,,,,185 lb,
48,Erin Webb,CrossFit Town Center,,,,United States,Women,,200 lb,,145 lb,185 lb,,,,,,,,,,
68,Martin Bouchard,,,,,Canada East,Men,,270 lb,,145 lb,290 lb,,,9:00,,,,,18:31,185 lb,1:10
102,Jason Watson,,,,,North West,Men,,285 lb,,195 lb,415 lb,248,32:21,10:20,5:44,,,10,27:35,145 lb,
109,Kaitlin Graham,,,,,Canada West,Women,,135 lb,,100 lb,175 lb,,,,,,,,,75 lb,
118,Devona Cromartie Kolbe,,,"2023 open
6446th
worldwide",6446th,worldwide,Women,Women (40-44),210 lb,,165 lb,315 lb,,,,,,,,32:11,,
119,Elizabeth Leefers,Rail Splitter CrossFit,,,,United States,Women,,168 lb,,118 lb,233 lb,,,,,,,,,,
134,Tyler Freriks,CrossFit Grandview,,"2023 open
5364th
worldwide",5364th,worldwide,Men,Men (35-39),350 lb,,275 lb,405 lb,,,,,,,,,225 lb,
136,Victor Pulido,CrossFit Continuum,,,,North America,Men,,365 lb,,205 lb,405 lb,,,,,,,8,,175 lb,
138,Dale Heckenberg,CrossFit Rise,,,,North Central,Men,,200 kg,,145 kg,255 kg,349,,2:50,1:24,,,43,,105 kg,
142,Jerry Wilson,Centered CrossFit,,"2023 quarterfinals
54th
worldwide",54th,worldwide,Men (65+),Men (65+),275 lb,,145 lb,375 lb,,31:57,4:59,6:14,13:53,,30,,115 lb,
147,Tony Acevedo,CrossFit East Orange,,,,South East,Men,,355 lb,,300 lb,475 lb,,,,2:28,,,46,,225 lb,
161,Vince Vallez,CrossFit Elmhurst,,"2023 quarterfinals
590th
North America East",590th,North America East,Men,Men,385 lb,,290 lb,455 lb,336,24:34,2:16,1:58,,,67,,225 lb,
164,Amie Panteny,CrossFit SAF,,"2023 quarterfinals
1008th
worldwide",1008th,worldwide,Women,Women (40-44),175 lb,,131 lb,205 lb,307,23:56,4:48,4:44,10:02,,35,22:06,106 lb,1:22
170,Magdalena Pawlaczyk,,,,,South Central,Women,,,,,,,,,,,,,22:53,,
173,matthew lamberson,,,,,South East,Men,,245 lb,,200 lb,305 lb,,,5:00,,,,35,,145 lb,
190,Don Wilcox,,,,,North Central,Men,,395 lb,,250 lb,405 lb,252,,4:05,2:51,12:05,,,,175 lb,
