,Athlete,Affiliate,Country,Competition,Placement,Region,Division,Division_2,Back Squat,Chad1000x,Clean and Jerk,Deadlift,Fight Gone Bad,Filthy 50,Fran,Grace,Helen,L1 Benchmark,Max Pull-ups,Run 5k,Snatch,Sprint 400m
17,Heather Rollinger,CrossFit Lower Valley,,,,United States,Women,,150 lb,,105 lb,220 lb,,,,,,,10,,85 lb,2:30
42,Anthony Segonzac,CrossFit La Meute,,"2023 quarterfinals
1349th
worldwide",1349th,worldwide,Men,Men (35-39),160 kg,,220 lb,396 lb,,,,,,,,,187 lb,
43,Sarena Groote,CrossFit Ankeny,,"2023 open
18608th
worldwide",18608th,worldwide,Women,Women (35-39),265 lb,,180 lb,380 lb,,,,,,,,,125 lb,
58,Saranya Sriganesh,CrossFit St Albans,,,,United Kingdom,Women,,110 kg,,75 kg,145 kg,,,,,,,,,63 kg,
81,Bianca T Oliveira,CrossFit Morro das Pedras,,"2023 open
13861st
worldwide",13861st,worldwide,Women,Women,235 lb,,190 lb,300 lb,,,4:35,3:21,,,,,123 lb,
96,Daniel Park,K2 CrossFit,,,,West Coast,Men,,405 lb,,300 lb,475 lb,,,2:34,1:54,10:43,,13,19:24,228 lb,
98,Rory Cramp,,,,,Europe,Men,,180 kg,,140 kg,220 kg,,,,,,,,24:55,100 kg,
115,Matias Silvestre,,,,,South America,Men,,,,1 kg,,,,,,,,,,,
119,Nick Vicari,O-Sea CrossFit,,,,North America,Men,,365 lb,,275 lb,420 lb,,,4:46,2:42,11:04,,,,215 lb,
141,Moustafa El-Gamal,,,,,,,,180 kg,,60 kg,150 kg,,,,,,,,,40 kg,
158,Zach Delaquis,CrossFit Auctus,,,,Canada West,Men,,205 lb,,155 lb,,,,,,,,7,,140 lb,
163,Eriq Felix,Stay Classy CrossFit,,,,North America West,Men,,,,,,,,,,,,,,,1:42
181,Delia Flores,RFS CrossFit,,"2023 open
1261st
worldwide",1261st,worldwide,Women,Women (45-49),292 lb,,185 lb,325 lb,,,5:49,2:21,,,,,155 lb,
184,David Charlier,CrossFit Nivelles,,,,Belgium,Men,,130 kg,,,150 kg,,,,2:34,,,,,,
188,Adnan Mehanovic,CrossFit Laval,,,,North America,Men,,255 lb,,190 lb,255 lb,279,,,,,,,23:18,105 lb,
203,Carmen Ferlisi,CrossFit ERT,,,,Canada,Men,,255 lb,,165 lb,320 lb,220,,7:17,,,,,,110 lb,
205,Ryan Murphy,CrossFit Progression,,,,United States,Men,,415 lb,,,,,,,,,,,,,
220,Scott Brown,CrossFit Dire Wolf,,,,Europe,Men,,,,85 kg,150 kg,,,,,,,,,63 kg,
231,Ryan Dawson,CrossFit Holland,,"2023 open
3947th
worldwide",3947th,worldwide,Men,Men (45-49),315 lb,,225 lb,320 lb,,,6:04,,,,,,165 lb,
246,Christopher Boivin,Coexiste CrossFit,,,,Canada East,Men,,285 lb,,190 lb,375 lb,,,7:30,,,,,,135 lb,
259,Scott Stanley,CrossFit Carnivore,,"2023 open
6458th
worldwide",6458th,worldwide,Men,Men (50-54),255 lb,,165 lb,345 lb,182,,9:09,7:27,14:22,,,20:31,125 lb,1:22
270,Renata Azarias Ribeiro,In Tribus CrossFit,,"2023 open
7287th
worldwide",7287th,worldwide,Women,Women (35-39),,81:33,,,,,,,,,,,,
305,Brittney Williams,CrossFit CSG,,"2023 open
20511th
worldwide",20511th,worldwide,Women,Women (35-39),205 lb,,125 lb,300 lb,205,,,,,,,,,
