,Athlete,Affiliate,Country,Competition,Placement,Region,Division,Division_2,Back Squat,Chad1000x,Clean and Jerk,Deadlift,Fight Gone Bad,Filthy 50,Fran,Grace,Helen,L1 Benchmark,Max Pull-ups,Run 5k,Snatch,Sprint 400m
34,Jaime Guerreiro,Full CrossFit,,,,Europe,Men,,125 kg,,88 kg,175 kg,,,5:40,,,,,,60 kg,
46,Semory Barradas,Serpa Pinto CrossFit,,"2023 open
5155th
worldwide",5155th,worldwide,Men,Men (45-49),,,90 kg,135 kg,,,,,,,,,,
47,Cody Frizzelle,,,,,,,,380 lb,,205 lb,385 lb,,,5:21,2:54,,,26,,180 lb,
49,Rasmus Oxholm,,,,,Europe,Men,,,,110 kg,,,,,,,,,,,1:07
66,Anne Louise Toftdal,Dokken CrossFit,,,,Europe,Women,,110 kg,,75 kg,135 kg,375,24:41,5:17,6:38,10:39,,21,22:51,58 kg,
91,Simon Lemieux,,,,,Canada East,Men,,545 lb,,335 lb,600 lb,,,,,,,,,265 lb,
104,Frank Marcotti,CrossFit KGB,,"2023 quarterfinals
2132nd
North America East",2132nd,North America East,Men,Men,300 lb,,250 lb,455 lb,588,,2:47,,,,,,190 lb,
119,Maite Scarssi,Tche CrossFit,,,,South America,Women,,70 kg,,,100 kg,,,,,,,,,,
137,Muhammad Syauqi Latif,CrossFit Pahlawan,,,,Malaysia,Men,,440 lb,,330 lb,450 lb,244,,5:18,2:59,,,35,,255 lb,
165,Felix Seraphin,,,,,United States,Men,,245 lb,,155 lb,315 lb,407,,12:17,,14:07,,14,,,1:29
169,Artem Popov,,,,,Asia,Men,,190 kg,,140 kg,190 kg,,,2:20,,,,50,,105 kg,
239,Gantungalag Zorig,GAN CrossFit,,"2023 open
2783rd
worldwide",2783rd,worldwide,Women,Women (35-39),105 kg,,70 kg,125 kg,,,,,,,,,56 kg,
285,Lori Lotti,TriForce CrossFit,,"2023 open
3550th
worldwide",3550th,worldwide,Women,Women (40-44),200 lb,,145 lb,255 lb,243,,5:56,,12:12,,10,,115 lb,
293,Zack Leverenz,CrossFit Williamsburg,,"2023 open
36909th
worldwide",36909th,worldwide,Men,Men,350 lb,,270 lb,445 lb,276,34:12,,4:05,10:51,,21,24:38,205 lb,
381,Colin Burlison,CrossFit Clifton,,"2023 open
10942nd
worldwide",10942nd,worldwide,Men,Men,150 kg,,100 kg,210 kg,,,,,,,,,80 kg,
384,James Lacy,CrossFit 865,,"2023 open
10038th
worldwide",10038th,worldwide,Men,Men (35-39),365 lb,,260 lb,465 lb,,,,,,,,,175 lb,
400,Kathryn Benjamin-Drevlow,Dawson CrossFit,,,,United States,Women,,285 lb,,165 lb,,,,,,,,,,125 lb,
414,Mario Strelec,,,"2023 open
4121st
worldwide",4121st,worldwide,Men,Men (50-54),115 kg,,100 kg,165 kg,,,,,,,,,65 kg,
