,Athlete,Affiliate,Country,Competition,Placement,Region,Division,Division_2,Back Squat,Chad1000x,Clean and Jerk,Deadlift,Fight Gone Bad,Filthy 50,Fran,Grace,Helen,L1 Benchmark,Max Pull-ups,Run 5k,Snatch,Sprint 400m
7,Martijn De Wolf,Zilverrug CrossFit,,"2023 open
2435th
worldwide",2435th,worldwide,Men,Men (50-54),160 kg,,100 kg,200 kg,,27:30,7:18,2:56,10:27,,,23:03,70 kg,
59,Tiago Pimenta,CrossFit OPO,,"2023 quarterfinals
2301st
Europe",2301st,Europe,Men,Men,156 kg,,118 kg,,,,2:34,,,,,22:20,95 kg,
63,Damien Mairesse,CrossFit Mont Roquefeuil,,,,Europe,Men,,,,75 kg,125 kg,,,,,,,,,70 kg,
70,Jeromy Johnson,,,,,,,,330 lb,,195 lb,405 lb,,,5:18,,,,,,,
77,Céline Marty,,,,,Africa,Women,,,,20 kg,,,,,,,,,,,
100,Pierre Lexis,CrossFit Munich,,"2023 open
4051st
worldwide",4051st,worldwide,Men,Men (35-39),155 kg,,113 kg,200 kg,,,3:27,,,,,22:15,95 kg,
101,Mathieu Di Sandro,CrossFit Cannes,,,,Europe,Men,,115 kg,,,165 kg,,,,,,,,,65 kg,
106,Jean-Marc Dewarrat,CrossFit Riviera,,,,Switzerland,Men,,100 kg,,75 kg,135 kg,,,,,,,,35:00,60 kg,1:30
116,Lara Damljanovic,CrossFit St. Gallen,,,,Switzerland,Women,,,,,,,26:34,,,,,,,,
127,Jean-Paul Kurkdjian,CrossFit Blue Monkey,,,,France,Men,,147 kg,,98 kg,172 kg,,,,,,,20,,75 kg,
133,Rachel Berridge,CrossFit Kernow,,,,Europe Central,Women,,75 kg,,43 kg,85 kg,,,,,,,,,25 kg,
135,Andreas Lynghaug,CrossFit Kystby,,,,Europe,Men,,170 kg,,125 kg,190 kg,,,,,,,,,90 kg,
145,Rhys McNamara,Picton CrossFit,,"2023 open
18758th
worldwide",18758th,worldwide,Men,Men (35-39),90 kg,,82 kg,132 kg,,,11:32,,,,13,,58 kg,
149,Johnny Bichan,CrossFit East Kilbride,,"2023 quarterfinals
235th
Europe",235th,Europe,Men,Men,190 kg,,145 kg,230 kg,,,,,,,60,,115 kg,
151,Miles East,,,,,Europe,Men,,165 kg,,115 kg,190 kg,,,3:10,,,,47,,95 kg,
154,Donal O'Brien,CrossFit Laochra,,,,Europe,Men,,145 kg,,80 kg,170 kg,,,,,,,,33:12,55 kg,
168,Patrick Zimmermann,No One CrossFit,,,,Europe,Men,,115 kg,,98 kg,150 kg,,,,,9:53,,15,,65 kg,
169,Marko Tuisku,CrossFit Keha,,"2023 open
9059th
worldwide",9059th,worldwide,Men,Men,180 kg,,125 kg,220 kg,,,,,,,,,100 kg,
186,Patrick Selin,CrossFit Turku,,,,Europe,Men,,1 lb,,,,,,,,,,2,1:01,,
232,Angela Walter,,,"2023 open
1297th
worldwide",1297th,worldwide,Women,Women (45-49),215 lb,,160 lb,255 lb,,,,,,,,,108 lb,
233,Matthias Freirich,CrossFit Biberach an der Riss,,"2023 open
7277th
worldwide",7277th,worldwide,Men,Men (35-39),130 kg,,100 kg,170 kg,,,,,,,,,80 kg,
253,Pamela Smith,,,,,North America,Women,,,,,185 lb,,,,,,,,,,
264,Jacqueline Stilphen,Iron Ship CrossFit,,"2023 open
58414th
worldwide",58414th,worldwide,Women,Women,135 lb,,125 lb,225 lb,,,,,,,,28:22,85 lb,
271,Denis Koruz,,,,,Russian Federation,Men,,120 kg,,85 kg,150 kg,,,,,,,,,65 kg,
273,Greg Chetty,CrossFit Kernow,,,,United Kingdom,Men,,185 kg,,,200 kg,,,,,,,,,,
