,Athlete,Affiliate,Country,Competition,Placement,Region,Division,Division_2,Back Squat,Chad1000x,Clean and Jerk,Deadlift,Fight Gone Bad,Filthy 50,Fran,Grace,Helen,L1 Benchmark,Max Pull-ups,Run 5k,Snatch,Sprint 400m
17,Matt Fairbanks,,,,,North Central,Men,,275 lb,,195 lb,300 lb,,,9:29,6:20,,,,,155 lb,
46,Michaela Young-Mitchell,,,"2023 quarterfinals
36th
worldwide",36th,worldwide,Women (60-64),Women (60-64),203 lb,,135 lb,276 lb,,,,,,,,,103 lb,
53,Varun Kumar,CrossFit on the Hill,,,,India,Men,,,,195 lb,365 lb,,,,,,,,,130 lb,0:56
68,Amy Burrows,CrossFit Coventry,,,,United Kingdom,Women,,135 kg,,,180 kg,,,,2:03,,,,31:08,45 kg,
69,Joseph Frey,CrossFit Threefold,,,,United States,Men,,365 lb,,230 lb,365 lb,,,,,,,,,185 lb,
71,Guilherme Campiteli,,,,,Latin America,Men,,,,100 kg,,,,,,,,,,80 lb,
76,Mateusz Kowalewski,,,,,Europe,Men,,150 kg,,117 kg,205 kg,,,3:36,,,,40,19:37,95 kg,
90,Kristen Vasiliauskas,CrossFit Durst,,,,North America,Women,,185 lb,,145 lb,270 lb,,,,,,,,,,
98,Ben Cromar,CrossFit Beaver Menace,,,,North America,Men,,255 lb,,185 lb,345 lb,,,5:56,,,,,25:20,125 lb,1:20
102,Judy Hunsaker,CrossFit Lehi,,,,United States,Women,,160 lb,,121 lb,255 lb,284,,,,12:24,,6,,95 lb,
115,Sharon Johannsen,CrossFit Spencer,,,,United States,Women,,125 lb,,100 lb,195 lb,,,,9:37,,,,,73 lb,
160,Xavier Furio,CrossFit 34970,,,,France,Men,,161 kg,,125 kg,200 kg,324,,2:38,2:37,,,40,,100 kg,
221,Chris Walsh,,,,,Europe,Men,,165 kg,,115 kg,215 kg,,19:26,4:16,1:58,,,,,75 kg,
223,Claire Garcia,,,"2023 quarterfinals
688th
North America West",688th,North America West,Women,Women,305 lb,,231 kg,295 lb,,,,,,,,,175 lb,
251,Yannick Huyghues - Beaufond,CrossFit W950,,"2023 open
4442nd
worldwide",4442nd,worldwide,Men,Men (35-39),115 kg,,80 kg,170 kg,,21:37,4:41,2:51,9:13,,37,,70 lb,
254,Andy Rowe,CrossFit New Hampshire,,"2023 open
18543rd
worldwide",18543rd,worldwide,Men,Men (35-39),315 lb,,190 lb,385 lb,,,,,,,,,160 lb,
296,Ken Saksa,Ionic CrossFit,,,,North America,Men,,375 lb,,225 lb,445 lb,,,9:03,5:41,,,,,165 lb,
337,Spencer Hiser,Skyline CrossFit,,"2023 open
605th
worldwide",605th,worldwide,Men (55-59),Men (55-59),,,,,,,,,,,,29:23,,
341,Paloma Pinheiro,CrossFit Pantaneiros,,"2023 open
176th
worldwide",176th,worldwide,Women,Women (40-44),100 kg,,55 kg,115 kg,,,,,,,,22:00,45 kg,
342,Chris Eastman,Alder CrossFit,,,,South West,Men,,275 lb,,220 lb,430 lb,,35:14,7:51,4:55,10:09,,25,,145 lb,
344,Michael Patton,CrossFit Oyster Point,,,,North America East,Men,,,,155 lb,,,,,,,,,,100 lb,
393,Daniel Greeson,CrossFit Sweat Shop,,,,North America,Men,,365 lb,,192 lb,365 lb,331,24:09,3:32,3:36,8:55,,17,26:13,120 lb,1:24
398,Annemarie Chiodi,Comanche CrossFit,,"2023 open
19390th
worldwide",19390th,worldwide,Women,Women,240 lb,,165 lb,260 lb,,27:47,4:33,2:46,,,31,,135 lb,
416,Maria Amedeo,CrossFit AR Strength,,,,North America East,Women,,260 lb,,170 lb,315 lb,,,,,,,,,120 lb,
422,Tiffany Turner,CrossFit Citadel,,,,North America West,Women,,307 lb,,190 lb,315 lb,,,,,,,,,150 lb,
474,Angela Marcotte,CrossFit Patterson,,,,North America,Women,,210 lb,,150 lb,375 lb,260,,5:36,2:50,10:29,,12,,120 lb,
496,Rachel Keele,,,,,Central East,Women,,185 lb,,140 lb,235 lb,,,,,,,,,105 lb,
520,Tanner Hoskins,CrossFit Duratus,,,,United States,Men,,405 lb,,205 lb,415 lb,346,,3:48,2:34,8:57,,,,175 lb,
532,Lauren Tobin,CrossFit Newmarket Central,,"2023 open
4398th
worldwide",4398th,worldwide,Women,Women (35-39),235 lb,,165 lb,300 lb,273,25:00,7:11,,10:48,,,,125 lb,
536,Daniel Smith,,,,,Europe,Men,,105 kg,,85 kg,,,,,,,,26,,50 kg,
542,Monique Fair,CrossFit Omnia,,,,North America,Women,,,,,,,,,,,,,26:53,,
558,Mary Lu Fumero,,,,,Latin America,Women,,235 lb,,150 lb,300 lb,,,,,,,,,75 lb,
560,Stephen Clegg,CrossFit Cirque,,"2023 quarterfinals
119th
North America East",119th,North America East,Men,Men,505 lb,,370 lb,556 lb,497,,2:05,1:19,,,50,20:18,301 lb,
565,Scott O'Connell,Hammer CrossFit East,,"2023 open
44th
worldwide",44th,worldwide,Men Multi-Extremity,Men Multi-Extremity,275 lb,,195 lb,400 lb,210,,9:11,3:49,11:56,,,26:51,115 lb,
581,Chris Rogers,,,,,,,,,,,,,,,,,,,14:40,,
584,Dave Salera,CrossFit Rock Solid,,"2023 quarterfinals
452nd
worldwide",452nd,worldwide,Men,Men (35-39),419 lb,,295 lb,445 lb,349,,2:59,1:44,8:05,,,21:33,220 lb,
590,Samantha Walker,CrossFit Gamma,,,,North America,Women,,225 lb,,180 lb,295 lb,,,,,,,28,,145 lb,
635,Daniel Johnson,CrossFit Rush Hour Ryde,,,,Oceania,Men,,115 kg,,,130 kg,,,,,,,25,23:00,,
647,Joaquin Cattaneo,Jarko CrossFit,,,,South America,Men,,275 lb,,225 lb,330 lb,,,3:22,,,,,,155 lb,
655,Rebecca Koppel,Red Wolf CrossFit,,,,West Coast,Women,,265 lb,,185 lb,365 lb,,,5:58,4:08,,,,,135 lb,
663,Jennifer Fox,,,,,North America East,Women,,175 lb,,125 lb,205 lb,,,,,14:46,,,,85 lb,
668,Jayla Henneberry,CrossFit White Rock,,,,South Central,Women,,190 lb,,115 lb,220 lb,,,,4:38,,,4,25:40,,
698,Nick Holder,Rock City CrossFit,,"2023 quarterfinals
1122nd
worldwide",1122nd,worldwide,Men,Men (40-44),315 lb,,265 lb,405 lb,373,,3:35,2:15,8:02,,44,,205 lb,
712,Kobe Gray,CrossFit Norfolk,,"2023 quarterfinals
1155th
North America East",1155th,North America East,Men,Men,375 lb,,300 lb,435 lb,,,,,,,,,245 lb,
743,Breanne Szatkowski,CrossFit Flemington,,,,North America East,Women,,155 lb,,95 lb,195 lb,,,,,,,,,90 lb,
790,Ann-Kathrin Kalski,CrossFit GenGym,,,,Europe,Women,,125 kg,,95 kg,145 kg,,,,2:06,,,,,76 kg,
817,Patrick Fulgencio,LumberYard CrossFit,,,,North America,Men,,345 lb,,,465 lb,,,,,,,,,,
826,Freyja Hilmarsdóttir,,,,,Europe,Girls (16-17),,55 kg,,40 kg,80 kg,,,,,,,,,,
836,Gerardo De Colombres,,,,,North America West,Men,,300 lb,,260 lb,365 lb,,,3:58,,,,,,180 lb,
837,Brian Walsh,,,"2023 open
29527th
worldwide",29527th,worldwide,Men,Men (35-39),,,295 lb,,,,,,,,,,205 lb,
849,Samantha Turrell,,,,,North America West,Women,,130 lb,,110 lb,210 lb,241,,,,15:59,,,29:17,80 lb,
870,Hunter Bell,CrossFit 253,,,,United States,Men,,335 lb,,205 lb,365 lb,,,5:16,5:17,10:14,,32,20:39,155 lb,1:07
877,Camilla Rosa Silva,,,,,Latin America,Women,,175 lb,,135 lb,235 lb,,,,,,,,,95 lb,
891,Tania Casco,CrossFit Bytown,,,,Canada,Women,,190 lb,,135 lb,255 lb,,27:00,7:12,,,,4,24:00,95 lb,
903,Tim Bilodeau,CrossFit Burlington,,"2023 quarterfinals
188th
worldwide",188th,worldwide,Men (60-64),Men (60-64),255 lb,,193 lb,305 lb,,,,,,,40,,135 lb,
921,Stuart Bell,CrossFit FBG,,"2023 quarterfinals
314th
worldwide",314th,worldwide,Men (55-59),Men (55-59),245 lb,,165 lb,315 lb,241,,5:20,5:05,9:14,,33,23:40,140 lb,1:45
926,Becky McDermott,Maverick CrossFit,,,,North America East,Women,,185 lb,,125 lb,190 lb,,,,,,,,,95 lb,
935,Kim Scalf,CrossFit RailBirds,,,,North America,Women (60-64),,,,,,,40:47,,,,,,,,
938,Eric Leung,CrossFit Canuck,,,,Canada East,Men,,300 lb,,225 lb,395 lb,,,3:22,,,,,,,
945,Nathan Rippon,CrossFit Red Bluff,,,,Australasia,Men,,305 lb,,185 lb,335 lb,,,,,,,,22:13,135 lb,
954,Roderick Seeto,CrossFit Chatswood,,"2023 open
8481st
worldwide",8481st,worldwide,Men,Men (45-49),80 kg,,50 kg,125 kg,,,,,,,5,34:00,45 kg,
974,Emily Ryan,Rock Pile CrossFit,,,,North America,Women,,160 lb,,125 lb,225 lb,,,,,,,,22:00,,
990,Michael Ambers,Valley CrossFit,,"2023 open
2487th
worldwide",2487th,worldwide,Men,Men (50-54),265 lb,,180 lb,360 lb,305,31:33,7:25,4:52,10:55,,14,25:29,140 lb,1:26
1000,Janna Holmgren,,,,,North Central,Women,,155 lb,,,203 lb,,,,,,,10,,,
1003,Andreas Hindenes,InnerLimit CrossFit,,,,Europe,Men,,125 kg,,85 kg,165 kg,,,,,,,,,55 kg,
1070,Gianlucca Miotto,CrossFit Cidade Jardim,,,,South America,Men,,110 kg,,70 kg,120 kg,,,,,,,,,50 kg,
1076,Joe Mizell,CrossFit Nixa,,,,United States,Men,,400 lb,,235 lb,365 lb,,,,,,,,,195 lb,
1089,William Sula,CrossFit A.I.M.,,"2023 quarterfinals
302nd
worldwide",302nd,worldwide,Men (55-59),Men (55-59),295 lb,,190 lb,355 lb,,,,,,,,20:15,135 lb,
1090,Carla Wickham,Treasure Valley Y CrossFit,,,,North America,Women,,140 lb,,85 lb,185 lb,,,,,,,,,,
1102,Tina Nunez,Shotgun CrossFit,,"2023 open
11250th
worldwide",11250th,worldwide,Women,Women (40-44),245 lb,,150 lb,315 lb,,,,,,,,,100 lb,
1155,Andrew Chinnici,,,,,North East,Men,,300 lb,,225 lb,,,,,,,,,,176 lb,
1157,Tracy Amweg,MWG CrossFit,,"2023 open
3836th
worldwide",3836th,worldwide,Women,Women (40-44),170 lb,,105 lb,235 lb,244,27:22,5:39,6:16,27:22,,,,80 lb,
1162,Marcel Ken Morikawa,Arujá CrossFit,,"2023 open
11166th
worldwide",11166th,worldwide,Men,Men (35-39),395 lb,,265 lb,445 lb,,,3:00,2:54,12:19,,25,28:00,205 lb,
1164,Kali Sohm,CrossFit 705,,,,Canada East,Women,,235 lb,,143 lb,253 lb,,,4:02,,,,,,105 lb,
1168,Adam Miller,NorthLee CrossFit,,,,North America,Men,,335 lb,,,355 lb,,,,,,,,,,
1170,Holly Gibbs,,,,,South East,Women,,155 lb,,,305 lb,,,,,,,,,,
1176,Matt Murphy,NCFIT CrossFit Iron Strong,,,,North America West,Men,,275 lb,,200 lb,410 lb,308,,,2:28,13:37,,8,27:24,155 lb,1:53
1182,Amanda Hughes,CrossFit Sacred Pine,,"2023 open
23770th
worldwide",23770th,worldwide,Women,Women,165 lb,,140 lb,265 lb,,,,,,,,,105 lb,
1189,Elissa Daniel,CrossFit 727,,"2023 open
820th
worldwide",820th,worldwide,Women,Women (35-39),255 lb,,155 lb,315 lb,333,,4:56,,,,20,24:00,120 lb,
1211,Kat Reinbold,CrossFit Crown City,,"2023 open
4564th
worldwide",4564th,worldwide,Women,Women (35-39),185 lb,,140 lb,265 lb,,,,,,,,,,
1221,Rod Lehman,NorCal CrossFit Mountain View,,,,United States,Men (55-59),,225 lb,,165 lb,275 lb,,,9:00,,11:29,,,24:58,,1:26
1234,Blake Daniel,CrossFit 727,,,,North America,Men,,375 lb,,255 lb,455 lb,,,,,,,35,22:15,225 lb,
1238,Shelley Devane,CrossFit 617 BTree,,"2023 open
2133rd
worldwide",2133rd,worldwide,Women (55-59),Women (55-59),105 lb,,95 lb,235 lb,,,,,,,,,55 lb,
1267,Jon Clark,ESF CrossFit,,,,Central East,Men,,265 lb,,205 lb,385 lb,250,,6:18,,,,33,,145 lb,
1272,Scott Stephenson,Hammock Coast CrossFit,,"2023 open
599th
worldwide",599th,worldwide,Men (60-64),Men (60-64),245 lb,,,330 lb,269,30:06,10:50,,11:33,,,26:30,140 lb,1:23
1282,Jordy Muñoz,Urban Box CrossFit,,,,Europe,Men,,,,110 kg,,,,,,,,,,190 lb,
1290,Samuel Haley,CrossFit Allectus,,"2023 open
3510th
worldwide",3510th,worldwide,Men,Men (35-39),370 lb,,290 lb,530 lb,349,18:49,2:49,2:27,6:49,,37,19:14,195 lb,
1291,Travis Bond,,,,,South East,Men,,275 lb,,,,,,,,,,,,,
1297,Sergio Nunez,Shotgun CrossFit,,"2023 open
9504th
worldwide",9504th,worldwide,Men,Men (35-39),365 lb,,250 lb,425 lb,313,,2:55,,,,,,170 lb,
