,Athlete,Affiliate,Country,Competition,Placement,Region,Division,Division_2,Back Squat,Chad1000x,Clean and Jerk,Deadlift,Fight Gone Bad,Filthy 50,Fran,Grace,Helen,L1 Benchmark,Max Pull-ups,Run 5k,Snatch,Sprint 400m
4,Tom Kiczuk,CrossFit Playground,,"2023 open
2107th
worldwide",2107th,worldwide,Men (55-59),Men (55-59),280 lb,,205 lb,325 lb,,,,,,,40,,155 lb,
11,Meredith Peiffer,CrossFit Towson,,"2023 open
1995th
worldwide",1995th,worldwide,Women,Women (35-39),255 lb,,165 lb,325 lb,,,,2:20,,,,,142 lb,
18,Matt Davidson,,,,,Mid Atlantic,Men,,285 lb,,185 lb,365 lb,,,4:51,,,,55,,135 lb,
26,Mareike Groeneveld,,,,,Europe,Women,,47 kg,,43 kg,65 kg,,,,,,,2,,32 kg,
32,Andrew Clark,,,,,Europe,Men,,160 kg,,110 kg,170 kg,,,5:18,2:49,,,,,,
35,Stefanie De Preter,CrossFit Mechelen,,,,Europe Central,Women,,92 kg,,75 kg,130 kg,,,,,,,15,,50 kg,
46,Patrice O'Dea,CrossFit 51,,"2023 open
308th
worldwide",308th,worldwide,Women (65+),Women (65+),125 lb,,100 lb,225 lb,172,,11:02,5:39,14:04,,,,80 lb,
52,Luciano Cesar Leite,CrossFit Littoral,,,,Europe,Men,,135 kg,60:32,90 kg,175 kg,,,4:20,2:45,,,45,27:00,75 kg,
55,Joakim Nilsson,CrossFit Hoganas,,,,Europe,Men,,150 kg,,105 kg,190 kg,,,,,,,,,83 kg,
61,Alix Claps,CrossFit Randolph,,,,North America East,Women,,255 lb,,142 lb,265 lb,,,,4:46,,,,,121 lb,
64,Ryan Daniel,,,,,North Central,Men,,400 lb,,275 lb,495 lb,400,,3:36,,,,36,16:19,225 lb,0:52
70,Jörgen Westerling,CrossFit Basement,,,,Europe,Men,,140 kg,,90 kg,180 kg,234,,7:29,,13:13,,,,65 kg,
