,Athlete,Affiliate,Country,Competition,Placement,Region,Division,Division_2,Back Squat,Chad1000x,Clean and Jerk,Deadlift,Fight Gone Bad,Filthy 50,Fran,Grace,Helen,L1 Benchmark,Max Pull-ups,Run 5k,Snatch,Sprint 400m
23,Claudia L. Rodríguez,,,,,Central America,Women,,190 lb,,115 lb,265 lb,291,29:00,,,,,10,33:12,75 lb,
27,Hesham Alabbar,CrossFit Muharraq,,,,Asia,Men,,160 kg,,105 kg,220 kg,,,4:12,3:11,11:48,,35,,77 kg,1:29
39,Dominika Gramblickova,CrossFit Zlin,,,,Europe,Women,,135 kg,,96 kg,150 kg,,,3:14,1:58,,,40,,77 kg,
43,Matthias Kronawitter,Riginal CrossFit Nürnberg,,,,Europe,Men,,,,,135 kg,,,,,,,,,,
55,Angie Larson,CrossFit Millstone,,,,North America,Women,,160 lb,,140 lb,225 lb,247,24:07,,7:24,12:32,,,,90 lb,
75,Sharon Bryant,,,,,Europe,Women,,120 kg,,60 kg,115 kg,270,,7:12,2:48,,,,,,
102,Johnathan Sabado,Two Monkeys CrossFit,,,,North America,Men,,275 lb,,235 lb,368 lb,310,30:54,,2:38,9:03,,35,21:58,183 lb,1:02
117,Thomas Brady,CrossFit Riverfront,,"2023 open
7927th
worldwide",7927th,worldwide,Men,Men (45-49),225 lb,,165 lb,325 lb,,,,,,,,,135 lb,
127,Alexandros Kalargyros,CrossFit Ex Animo,,,,Africa Middle East,Men,,110 kg,,85 kg,120 kg,,,7:00,5:00,,,70,28:00,60 kg,
147,Alexandre Freitas,CrossFit Sandlake,,,,Latin America,Men,,,,,375 lb,,,,,,,,,,
151,Mariana Fedorenko,Grand CrossFit,,,,Ukraine,Women,,,,95 kg,,,,,,,,50,,,
157,Simon Dumery,CrossFit Molière,,,,Europe,Men,,135 kg,,85 kg,195 kg,,,,,,,,,,
177,Megan Clifford,CrossFit Souhegan,,,,United States,Women,,170 lb,,130 lb,285 lb,305,24:19,4:31,4:50,9:50,,,24:01,95 lb,
264,Veronica Olsson,Innovate CrossFit,,,,Sweden,Women,,110 kg,,63 kg,133 kg,,,9:06,5:23,,,24,24:24,58 kg,1:25
290,Lorenzo Colombo,,,,,Europe,Men,,105 kg,,,135 kg,,,,,,,,,,
304,Casey Wiedmer,Roy CrossFit,,,,North America,Men,,315 lb,,245 lb,415 lb,,22:49,3:34,2:38,9:29,,32,17:33,,
306,Patrick Pygall,,,,,United Kingdom,Men,,130 kg,,88 kg,173 kg,,,,4:19,,,,,60 kg,
346,Kristen Louque,,,"2023 open
25435th
worldwide",25435th,worldwide,Women,Women,115 kg,,94 kg,,,,,,,,,,71 kg,
