,Athlete,Affiliate,Country,Competition,Placement,Region,Division,Division_2,Back Squat,Chad1000x,Clean and Jerk,Deadlift,Fight Gone Bad,Filthy 50,Fran,Grace,Helen,L1 Benchmark,Max Pull-ups,Run 5k,Snatch,Sprint 400m
25,Joshua Korten,Motley Crew CrossFit,,"2023 open
16138th
worldwide",16138th,worldwide,Men,Men,375 lb,,285 lb,485 lb,,,,,,,,23:18,210 lb,
32,Estefania Tremul,CrossFit Goliath,,"2023 open
36838th
worldwide",36838th,worldwide,Women,Women,210 lb,,130 lb,240 lb,,,6:10,3:05,,,,,102 lb,
38,Michael Maglothin,,,,,,,,485 lb,,315 lb,525 lb,,,,1:49,,,36,20:53,225 lb,1:06
44,Michelle Stacey,,,,,North America West,Women,,125 lb,,65 lb,175 lb,,,,,,,,,65 lb,
48,Georgy Sapozhnikov,HK CrossFit,,"2023 open
3404th
worldwide",3404th,worldwide,Men,Men (35-39),160 kg,,117 kg,190 kg,,,2:52,3:15,,,53,,90 kg,
75,Anna Norlén,,,,,Europe,Women,,90 kg,,50 kg,120 kg,,,,,,,13,22:00,32 kg,
83,Jeffrey Ruane,CrossFit Hephzibah,,"2023 open
17759th
worldwide",17759th,worldwide,Men,Men,405 lb,,260 lb,425 lb,,,,1:47,,,,,185 lb,
97,Michael McMahan,,,,,United States,Men,,295 lb,,155 lb,345 lb,,,8:50,2:36,14:42,,1,26:24,125 lb,1:29
112,Leghrairi Dounia,CrossFit TANKA,,,,Europe,Women,,120 kg,,95 kg,135 lb,,,,,,,,,75 lb,
127,Jesus Tejeda,,,,,South America,Men,,415 lb,,285 lb,505 lb,,,2:20,1:43,,,63,21:26,255 lb,
132,Katy Pinto,CrossFit South Yarra,,"2023 open
86756th
worldwide",86756th,worldwide,Women,Women,,,,,,,,,,,,35:12,,1:46
137,Chris Lambert,Savage Wolves CrossFit,,,,North America,Men,,355 lb,,250 lb,425 lb,,,3:16,,,,,,210 lb,
147,Richard Tibbitts,CrossFit Bethel,,,,North America,Men,,365 lb,,285 lb,435 lb,,,,3:11,,,,,220 lb,
154,Dana Yungel,CrossFit Pawling,,"2023 open
18631st
worldwide",18631st,worldwide,Women,Women,180 lb,,130 lb,270 lb,253,,5:08,2:39,10:15,,,,80 lb,1:25
160,Paul Abet,CrossFit 514,,"2023 open
50720th
worldwide",50720th,worldwide,Men,Men,225 lb,,195 lb,375 lb,,17:39,4:35,,9:22,,,17:15,155 lb,
169,Jay Daborn,,,"2023 open
76912th
worldwide",76912th,worldwide,Men,Men,185 kg,,120 kg,230 kg,,,15:00,3:03,,,20,,102 kg,
177,Julien Prieur,CrossFit Chiang Mai,,,,Europe,Men,,175 kg,,124 kg,210 kg,370,16:50,2:35,3:00,6:12,,65,16:00,88 kg,0:48
178,Iain Mills,CrossFit RS3,,,,United Kingdom,Men,,145 kg,,105 kg,225 kg,,,,,8:32,,29,,80 kg,
179,Santiago Echeverria,,,,,,,,215 lb,,175 lb,235 lb,,,,,,,,24:00,115 lb,
197,Tony Dalton,,,,,North America,Men,,245 lb,,,320 lb,,,,,,,,32:03,,
216,Gustavo Cutlac,Bona CrossFit,,,,South America,Men,,140 kg,,94 kg,190 kg,,,,,,,,,70 kg,
218,Kaid Register,CrossFit Winnersville,,"2023 open
6436th
worldwide",6436th,worldwide,Men,Men,440 lb,,345 lb,540 lb,326,17:47,2:24,1:51,,,70,20:11,280 lb,
232,Chelsey Chewins,,,"2023 open
46016th
worldwide",46016th,worldwide,Women,Women,105 kg,,60 kg,125 kg,,34:28,9:37,8:39,12:15,,12,34:55,45 kg,
236,Jesse Bailey,Tiger Pit CrossFit,,,,United Kingdom,Men,,137 kg,,90 kg,145 kg,,,,,,,,,71 kg,
266,Paul Agnoux,CrossFit Moria,,,,Europe,Men,,155 kg,,123 kg,195 kg,,,2:56,,,,63,,100 kg,
275,Brandon Kozlowski,CrossFit Woburn,,"2023 open
49310th
worldwide",49310th,worldwide,Men,Men,305 lb,,250 lb,395 lb,,,,,,,,,185 lb,
303,Ina Marlen Leikvam Ostli,CrossFit Lillestrøm,,,,Norway,Women,,85 kg,,61 kg,128 kg,,,,7:19,,,7,35:00,40 kg,
306,Mahmoud Kamal,,,"2023 open
22620th
worldwide",22620th,worldwide,Men,Men,400 lb,,255 lb,405 lb,,,5:14,4:20,,,,27:00,195 lb,
316,Jonathan Husson,CrossFit Vertical,,"2023 quarterfinals
879th
North America East",879th,North America East,Men,Men,375 lb,,295 lb,475 lb,356,,3:40,2:31,,,,,225 lb,
333,Mitch Smith,Iron Hero CrossFit,,,,North Central,Men,,404 lb,,,474 lb,,,,,,,,,,
338,John Martin,CrossFit Bridge and Tunnel,,"2023 quarterfinals
1038th
North America East",1038th,North America East,Men,Men,495 lb,,350 lb,505 lb,,,2:26,,,,45,18:43,290 lb,
351,Marcie Wells,CrossFit Asheville,,,,North America,Women,,250 lb,,180 lb,325 lb,,,,,,,25,,130 lb,1:25
360,Adam Smith,,,,,,,,505 lb,,275 lb,525 lb,,,,,,,,,200 lb,
364,Siaosi Tuatao,CrossFit OFB,,,,Australasia,Men,,220 kg,,115 kg,220 kg,,,,,,,,,90 kg,
372,Conan Franks,CrossFit Warrnambool,,,,Australia,Men,,170 kg,,113 kg,190 kg,,,,,,,,,90 kg,
374,Davor Rup,,,,,Slovenia,Men,,140 kg,,85 kg,190 kg,221,46:40,5:47,6:54,,,15,26:07,56 kg,1:35
381,Cedric Dewit,,,,,Europe,Men,,170 kg,,130 kg,190 kg,,,2:40,,,,17,,90 kg,
387,Rigoberto Garza,CrossFit Unshaken,,"2023 open
9586th
worldwide",9586th,worldwide,Men,Men (40-44),450 lb,,275 lb,405 lb,267,,7:31,2:10,,,,,205 lb,
399,Mike Minerva,CrossFit Park Ave,,"2023 open
1508th
worldwide",1508th,worldwide,Men,Men (50-54),,,175 lb,325 lb,,,,,9:25,,33,,135 lb,1:05
414,Ben Abbott,CrossFit Happy,,,,Oceania,Men,,120 kg,,105 kg,163 kg,,,6:02,,,,30,19:50,78 kg,
430,Rob Tidey,CrossFit Iron Bear,,,,Oceania,Men,,146 kg,,103 kg,180 kg,,,4:22,4:24,,,20,21:13,78 kg,1:09
431,Austin Miller,CrossFit Lee's Summit (LS),,"2023 open
71846th
worldwide",71846th,worldwide,Men,Men,335 lb,,265 lb,355 lb,,,3:47,3:25,,,,,210 lb,
504,Marco Santambrogio,CrossFit Avanguardia,,"2023 open
5591st
worldwide",5591st,worldwide,Men,Men,180 kg,,140 kg,215 kg,,,,,,,,,110 kg,
506,Jade Greco,CrossFit Catapult,,,,United States,Women,,,,150 lb,,,,,4:30,,,,,115 lb,
521,Heidi Moody,CrossFit Charlton,,"2023 open
650th
worldwide",650th,worldwide,Women,Women (50-54),190 lb,,145 lb,220 lb,,,,,,,,,100 lb,
544,Kyle Fellows,Fort Miami CrossFit,,"2023 open
17626th
worldwide",17626th,worldwide,Men,Men,395 lb,,255 lb,435 lb,324,,3:35,2:57,9:24,,,,175 lb,
554,Javier Gomez,,,,,,,,215 lb,,,385 lb,,,,,,,12,20:45,,1:26
555,Tony Tra,CrossFit Chalk,,,,North America West,Men,,,,,,,,3:24,1:54,,,,,,
559,Richard Whitley,CrossFit Dire Wolf,,"2023 quarterfinals
269th
Europe",269th,Europe,Men,Men,175 kg,,135 kg,245 kg,,,,,,,,20:04,111 kg,
565,Samuel Williams,CrossFit Eagan,,,,United States,Men,,285 lb,,225 lb,365 lb,,,8:49,,,,,18:46,145 lb,0:48
580,Justin Thomas,,,,,North America,Men,,440 lb,,315 lb,490 lb,386,,3:59,1:40,,,44,,245 lb,
581,Evan Shanley,,,"2023 open
26177th
worldwide",26177th,worldwide,Men,Men (35-39),325 lb,,,375 lb,,,,,,,,,,
597,Amelie Cote,Landmark CrossFit,,,,North America,Women,,235 lb,,145 lb,255 lb,,,,,,,,23:00,100 lb,
601,Austin Heaton,CrossFit Rancho Cucamonga,,,,United States,Men,,374 lb,,330 lb,455 lb,396,21:40,3:34,1:57,8:58,,60,25:20,275 lb,1:23
630,Brandon Laan,CrossFit 1175,,,,Canada East,Men,,,,,225 lb,,,,,,,21,14:46,,
635,Ricardo Benavides,CrossFit Goshen,,,,United States,Men,,290 lb,,176 lb,335 lb,,,,,,,,,135 lb,
640,Giovanny Magallon,,,,,North America,Men,,425 lb,,295 lb,470 lb,,,2:17,,,,50,,230 lb,
643,Hector Chub,CrossFit Pittsfield,,"2023 open
5444th
worldwide",5444th,worldwide,Men,Men (35-39),275 lb,,195 lb,355 lb,,20:32,4:14,,8:11,,41,17:23,160 lb,1:16
655,Dan Smith,CrossFit Terre Haute,,"2023 open
985th
worldwide",985th,worldwide,Men,Men (35-39),585 lb,,402 lb,555 lb,,,,,,,57,23:11,272 lb,
671,Taylar Benson,Twisted Canyon CrossFit,,"2023 open
39012th
worldwide",39012th,worldwide,Women,Women,225 lb,,140 lb,275 lb,,,,,,,,29:56,95 lb,
677,Graham Brown,CrossFit Linchpin,,,,North America,Men,,,,205 lb,315 lb,,,,,,,,,155 lb,
688,Gunnar Samuels,,,,,North America,Men,,405 lb,,265 lb,475 lb,,,4:57,2:16,,,,29:05,225 lb,2:07
692,Kelsey Marcano,,,,,,,,225 lb,,145 lb,285 lb,,,,,,145:00,10,,125 lb,
698,Bryan Robinson,,,,,North America East,Men,,260 lb,,239 lb,385 lb,316,29:00,,3:10,,,,22:04,191 lb,
706,Sonya Carrack,CrossFit P.F.L,,,,Africa,Women,,110 kg,,,150 kg,,,,3:48,,,,,,
726,Steven Broadhurst,Wiser 1 CrossFit,,"2023 open
2553rd
worldwide",2553rd,worldwide,Men,Men (45-49),142 kg,,103 kg,181 kg,311,,4:31,3:48,10:46,,15,,70 kg,
734,James Bolognese,CrossFit Blue House,,"2023 quarterfinals
650th
worldwide",650th,worldwide,Men,Men (35-39),400 lb,54:33,270 lb,465 lb,363,20:08,3:40,2:05,8:39,3:52,38,19:53,200 lb,0:54
735,Konstantin Bruskov,,,,,Asia,Men,,,,,,,,8:40,,,,,,,
736,Chloe Chisholm,CrossFit Magnitude,,,,North America,Women,,195 lb,,170 lb,270 lb,,,2:35,2:50,,,,29:30,130 lb,
738,Steve Pock,CrossFit MF Windham,,"2023 open
1712th
worldwide",1712th,worldwide,Men,Men (50-54),355 lb,81:25,250 lb,400 lb,277,,4:38,3:24,10:12,,28,,175 lb,
751,Victoria Parker,CrossFit Optimistic,,"2023 open
5259th
worldwide",5259th,worldwide,Women,Women (35-39),245 lb,,147 lb,292 lb,242,,6:29,,,,,28:49,102 lb,1:19
772,Jason Lucia,CrossFit Bolder,,"2023 open
5732nd
worldwide",5732nd,worldwide,Men,Men (35-39),330 lb,,225 lb,385 lb,289,24:06,5:21,5:50,10:59,,27,22:51,180 lb,1:39
776,Ethan Jolley,CrossFit Coeur d'Alene,,,,North America,Men,,275 lb,,245 lb,325 lb,,,,,,,,,198 lb,
784,Anna Pueschel,CrossFit Leverkusen,,,,Germany,Women,,78 kg,,47 kg,110 kg,,,,,,,,,35 kg,
789,Jackson Petroski,,,,,Central East,Men,,275 lb,,245 lb,315 lb,365,,3:05,,,,,,200 lb,
801,Thibaud Desutter,CrossFit Vauban,,"2023 open
40227th
worldwide",40227th,worldwide,Men,Men,105 kg,,80 kg,145 kg,,,,,,,40,,60 kg,1:10
804,Jhoann Arnaud,Simply CrossFit,,,,France,Men,,160 kg,,110 kg,220 kg,,,,,,,,,85 kg,
807,Ivan Nedaca,,,,,,,,165 kg,,90 kg,200 kg,,,5:09,1:15,10:53,,,,70 kg,1:33
813,Matthew Stutts,Second Wind CrossFit,,"2023 open
4463rd
worldwide",4463rd,worldwide,Men,Men (50-54),285 lb,,205 lb,350 lb,,,7:16,6:00,,,,,155 lb,
