,Athlete,Affiliate,Country,Competition,Placement,Region,Division,Division_2,Back Squat,Chad1000x,Clean and Jerk,Deadlift,Fight Gone Bad,Filthy 50,Fran,Grace,Helen,L1 Benchmark,Max Pull-ups,Run 5k,Snatch,Sprint 400m
2,Conrad Winnertz,CrossFit Ground Zero,,"2023 semifinals
2nd
worldwide",2nd,worldwide,Men,Men,,,,,,,2:55,,,,,,,1:00
7,Chris Rowntree,CrossFit North London,,,,Europe Central,Men,,90 kg,,60 kg,125 kg,,,,,,,,25:00,,
11,Linda Ashby,CrossFit Athletic,,,,Australia,Women,,245 lb,,145 lb,285 lb,,,,,,,12,,105 lb,
18,Joyce Emawodia,Unit 55 CrossFit,,"2023 open
60268th
worldwide",60268th,worldwide,Women,Women,143 kg,,220 lb,405 lb,,,,2:19,,,,,165 lb,1:51
24,Tony Saliba,FirstPower CrossFit,,,,Asia,Men,,140 kg,,90 kg,160 kg,,,7:15,3:40,10:56,,,,65 lb,
52,Thomas Guery,CrossFit Kinêma,,"2023 open
8567th
worldwide",8567th,worldwide,Men,Men,220 kg,,160 kg,260 kg,500,,2:50,,,,40,,115 kg,1:15
58,Vincent Thiry,CrossFit TW,,"2023 open
53636th
worldwide",53636th,worldwide,Men,Men,120 kg,,95 kg,185 kg,,,5:40,,,,20,22:24,70 kg,1:25
62,Ferran Rodriguez,,,"2023 quarterfinals
543rd
Europe",543rd,Europe,Men,Men,190 kg,,145 kg,221 kg,,,,,,,,,120 kg,
68,Natalie Pownell,CrossFit Narellan,,"2023 open
1006th
worldwide",1006th,worldwide,Women,Women (40-44),,,,105 lb,,,,,,,,,48 kg,
74,Alicia Rudzka,CrossFit Lacemakers,,"2023 open
494th
worldwide",494th,worldwide,Women (60-64),Women (60-64),63 kg,,48 kg,93 kg,,,5:08,2:37,,,1,,32 kg,
85,Rainer Noesslboeck,CrossFit Passau,,,,Europe Central,Men,,150 kg,,115 kg,190 kg,,,,,,,,,90 kg,
93,Elspeth O'Shannessy,Southbridge CrossFit,,,,Australia,Women,,,,,101 kg,,,,,,,,,36 kg,
99,Twane Schoombie,CrossFit Bounty,,"2023 open
31131st
worldwide",31131st,worldwide,Women,Women,75 kg,,67 kg,100 kg,,,,,,,15,,45 kg,1:19
101,Victor Åhlander,CrossFit Highway,,,,Sweden,Men,,160 kg,,110 kg,180 kg,,,,,,,,,100 kg,
110,Rolando Mestre,CrossFit Momentous,,,,United States,Men,,315 lb,,235 lb,425 lb,325,23:46,4:03,4:27,9:22,,,,175 lb,
