,Athlete,Affiliate,Country,Competition,Placement,Region,Division,Division_2,Back Squat,Chad1000x,Clean and Jerk,Deadlift,Fight Gone Bad,Filthy 50,Fran,Grace,Helen,L1 Benchmark,Max Pull-ups,Run 5k,Snatch,Sprint 400m
22,Laura Alexander,Diablo CrossFit Moxie,,,,United States,Women,,285 lb,,205 lb,315 lb,,,2:54,1:54,10:36,,,,10 lb,
23,Daniel Rivard,CrossFit CapOp,,,,Canada,Men,,315 lb,,185 lb,455 lb,,,,,,,30,,145 lb,
37,Craig Foster,CrossFit Exclamation,,"2023 open
4702nd
worldwide",4702nd,worldwide,Men,Men (50-54),330 lb,,225 lb,470 lb,,,7:00,3:02,14:59,,,27:33,165 lb,1:10
38,Kyle Flynn,BeachSide CrossFit,,,,North America West,Men,,365 lb,,275 lb,485 lb,346,,2:54,1:54,,,46,19:08,210 lb,
55,Apollo Lewis,CrossFit Advantage,,,,North America,Men,,420 lb,,310 lb,475 lb,422,,2:20,1:34,7:19,,77,21:00,250 lb,
69,Daniel Herbert,CrossFit Aledo,,"2023 open
1566th
worldwide",1566th,worldwide,Men,Men (40-44),,,,,,,5:23,,,,29,21:28,,
71,Bre Loughlin,CrossFit Adept,,,,North America,Women,,99 kg,,74 kg,131 kg,,32:32,3:48,7:28,10:13,,25,,55 kg,
84,Luke Welsh,CrossFit Alpha Pack,,"2023 open
90791st
worldwide",90791st,worldwide,Men,Men,335 lb,,235 lb,,,,,,,,10,,165 lb,
86,Chris Roberts,CrossFit Jacana,,,,Europe,Men,,20 kg,,20 kg,20 kg,,,,,,,1,,20 kg,
93,Allan Garcia,CrossFit Oswego,,,,North America,Men,,275 lb,,205 lb,365 lb,310,25:51,5:40,6:21,10:35,,32,,135 lb,0:52
101,Randall Brent Godwin,CrossFit Wilson,,,,Mid Atlantic,Men,,315 lb,,250 lb,415 lb,328,,3:11,,9:58,,43,25:23,210 lb,
104,Monica Smith,,,,,North Central,Women,,170 lb,,125 lb,265 lb,,,6:36,,,,,21:58,105 lb,
111,Hiliary Parham Wohleben,,,"2023 quarterfinals
1604th
North America East",1604th,North America East,Women,Women,275 lb,,205 lb,320 lb,337,,3:01,,8:25,,,,170 lb,
117,Keith Graham,,,,,,,,163 kg,,115 kg,212 kg,,,,,,,23,,85 kg,0:58
127,Michael Dudley,Monkey Junction CrossFit,,,,North America,Men,,445 lb,,305 lb,435 lb,435,20:53,2:42,1:52,,,44,,230 lb,1:09
133,Elizabeth Gulick,CrossFit Shrewsbury,,"2023 open
2806th
worldwide",2806th,worldwide,Women,Women (50-54),165 lb,,118 lb,200 lb,,,,,,,5,8:35,90 lb,
135,Vitaliy Avvakumov,CrossFit 19.05,,"2023 open
24703rd
worldwide",24703rd,worldwide,Men,Men,140 kg,,95 kg,175 kg,,,,,,,,,70 kg,
142,Rafael Monte,Taboão da Serra CrossFit,,,,Brazil,Men,,275 lb,,205 lb,345 lb,,,4:45,,,,,17:30,165 lb,1:09
149,Frank Zambaras,Bayport CrossFit,,,,North America East,Men,,385 lb,,230 lb,395 lb,,,,,,,,,180 lb,
151,Kalynn Heidt,CrossFit High Caliber,,"2023 open
7141st
worldwide",7141st,worldwide,Women,Women,250 lb,,180 lb,300 lb,225,18:29,3:31,2:13,9:15,,41,23:14,133 lb,1:33
156,Steve Miller,,,,,Central East,Men,,310 lb,,235 lb,385 lb,,26:11,5:54,3:54,11:58,,,32:26,185 lb,1:42
159,Brandon Pierce,Piercing CrossFit,,,,United States,Men,,445 lb,,300 lb,515 lb,,,2:49,1:50,8:53,,50,,225 lb,
