,Athlete,Affiliate,Country,Competition,Placement,Region,Division,Division_2,Back Squat,Chad1000x,Clean and Jerk,Deadlift,Fight Gone Bad,Filthy 50,Fran,Grace,Helen,L1 Benchmark,Max Pull-ups,Run 5k,Snatch,Sprint 400m
10,Matias Friz,HomeGrown CrossFit,,"2023 quarterfinals
85th
North America West",85th,North America West,Men,Men,410 lb,,300 lb,465 lb,,,2:37,,,,50,17:05,235 lb,
27,Todd LeBlanc,CrossFit Rally Point Northbrook,,,,North America,Men,,415 lb,,295 lb,545 lb,,,4:54,2:26,,,,,,
41,Kelly Dugas,CrossFit Breaux Bridge,,,,South Central,Men,,315 lb,,,385 lb,,,,,,,,,,
47,Simon Varley,Brandywine CrossFit,,,,United States,Men (55-59),,,,135 lb,225 lb,,,,,,,13,21:51,85 lb,
71,Asia Edwards-Jaeger,CrossFit Spartan Shield,,,,United States,Women,,225 lb,,,255 lb,,,,,,,,,,
79,John Langstaff,Rifle CrossFit,,"2023 open
4009th
worldwide",4009th,worldwide,Men,Men (40-44),400 lb,,295 lb,545 lb,,,2:48,1:42,8:24,,,19:48,225 lb,0:56
99,Benjamin Rocha,2020 CrossFit,,"2023 open
11828th
worldwide",11828th,worldwide,Men,Men (40-44),440 lb,,290 lb,420 lb,265,34:50,3:58,2:09,10:50,,26,27:00,210 lb,1:07
142,Kenneth Scherdell,CrossFit Ooltewah,,"2023 semifinals
13th
worldwide",13th,worldwide,Men (65+),Men (65+),305 lb,,205 lb,400 lb,,,,,,,33,,155 lb,
147,Juwon Chyung,CrossFit 4TP,,,,Asia,Men,,250 lb,,155 lb,350 lb,262,,,,,,20,21:30,125 lb,1:18
177,Christie Jackson,Natural High CrossFit,,,,North America West,Women,,235 lb,,180 lb,275 lb,,,,,,,17,,150 lb,
203,Abigail Calo,CrossFit Kona,,"2023 open
3436th
worldwide",3436th,worldwide,Women,Women (35-39),200 lb,76:25,150 lb,255 lb,,,,4:34,11:53,,11,23:34,115 lb,1:39
204,Amy Davis,CrossFit Des Moines,,"2023 open
14752nd
worldwide",14752nd,worldwide,Women,Women (40-44),190 lb,,115 lb,205 lb,115,36:16,8:36,3:31,,,15,,95 lb,
205,James Coggins,Ocean State CrossFit North,,,,North America,Men,,375 lb,,275 lb,505 lb,335,,3:08,2:04,,,36,19:23,207 lb,
206,Candice Craig,,,,,North America West,Women,,225 lb,53:47,165 lb,245 lb,288,28:02,4:34,7:07,12:31,,35,35:00,125 lb,1:25
214,Gabriel Roy,CrossFit Stricken,,"2023 open
4992nd
worldwide",4992nd,worldwide,Men,Men,435 lb,,315 lb,455 lb,,,,,,,,23:30,290 lb,
220,Christina Quinn,DFC CrossFit,,,,North America,Women,,210 lb,,135 lb,290 lb,,,,,,,,,,
225,Norelle Mitchell,Elavus CrossFit,,,,North America,Women,,285 lb,,205 lb,305 lb,,,,,,,,,170 lb,
229,Kelsey Berryman,Divergent CrossFit,,,,United States,Women,,220 lb,,175 lb,275 lb,284,,4:21,2:30,10:00,,,28:30,140 lb,1:28
237,Steven Katz,,,,,North America East,Men,,265 lb,,185 lb,405 lb,348,25:39,3:55,2:31,8:04,,25,21:23,115 lb,1:16
246,Kris Keetch,CrossFit Sebastopol,,,,United States,Men (55-59),,205 lb,,,310 lb,,,,,,,,,128 lb,
260,Andrew Greenwood,CrossFit Preferred,,,,South West,Men,,225 lb,,135 lb,285 lb,,,,3:22,,,,,125 lb,
269,Dom Teolis,CrossFit Cadre,,"2023 quarterfinals
381st
North America East",381st,North America East,Men,Men,440 lb,,331 lb,500 lb,,,2:01,,,,65,,235 lb,
279,Isadora Dutra Seara,,,"2023 open
13525th
worldwide",13525th,worldwide,Women,Women,90 kg,,60 kg,115 kg,,,,,,,,,50 kg,
282,Kyle Smith,CrossFit 1020,,,,United States,Men,,425 lb,,255 lb,500 lb,313,25:35,4:27,1:42,9:16,,27,24:32,205 lb,1:16
289,Nealy White,CrossFit PTV,,,,United States,Women,,235 lb,,135 lb,300 lb,,,,5:50,,,,,85 lb,
309,Jose Cabreja,CrossFit Kemah,,"2023 quarterfinals
672nd
North America West",672nd,North America West,Men,Men,375 lb,,315 lb,465 lb,,,,,,,,,275 lb,
311,Christopher Manetta,,,,,North America,Men,,300 lb,,185 lb,460 lb,,,6:57,,,,,,145 lb,
312,Edgar Corona,,,,,Mexico,Men,,315 lb,,265 lb,410 lb,,,,,,,,,205 lb,
326,Ando Sõrmus,CrossFit Tartu,,,,Europe,Men,,135 kg,,100 kg,190 kg,,31:31,7:33,5:01,11:47,,,23:00,70 kg,
327,Brittney Eason,CrossFit Train 97333,,"2023 open
2725th
worldwide",2725th,worldwide,Women,Women (35-39),185 lb,,165 lb,260 lb,,,,,,,30,,105 lb,
328,Nick Vuicich,CrossFit 737,,"2023 open
10160th
worldwide",10160th,worldwide,Men,Men (40-44),350 lb,,220 lb,375 lb,257,,,3:47,,,,,175 lb,
348,Matt Azevedo,CrossFit Patterson,,"2023 open
9028th
worldwide",9028th,worldwide,Men,Men (35-39),345 lb,,255 lb,390 lb,,,3:52,,,,41,,210 lb,
364,Leah Cena,CrossFit Chula Vista,,,,North America,Women,,195 lb,,155 lb,210 lb,,,,,,,,,110 lb,
367,Jillian Anderson,Sanctum CrossFit,,"2023 open
23629th
worldwide",23629th,worldwide,Women,Women,265 lb,,175 lb,345 lb,,,,2:33,,,,,132 lb,
371,Morten Mandfloen,CrossFit Moss,,,,Europe,Men,,130 kg,,,155 kg,,,,,,,,,,
372,Mark Woehler,,,"2023 open
4181st
worldwide",4181st,worldwide,Men,Men (35-39),126 kg,,110 kg,175 kg,,,,,,,44,20:20,83 kg,
392,Touatekina Teremu,CrossFit Varua,,,,Europe,Men,,180 kg,,140 kg,220 kg,,,2:46,1:36,,,62,,122 kg,
403,Jose Bioque Pérez,CrossFit Calima,,,,Europe,Men,,130 kg,,95 kg,182 kg,,,4:53,,,,25,20:45,63 kg,1:15
408,Glenn Ryan,CrossFit Mana,,"2023 open
1985th
worldwide",1985th,worldwide,Men,Men (45-49),133 kg,71:20,100 kg,180 kg,340,31:23,4:40,3:25,9:08,,36,,73 kg,
411,Stephanie Teare,CrossFit Clintonville,,"2023 open
13676th
worldwide",13676th,worldwide,Women,Women (40-44),355 lb,,205 lb,350 lb,248,34:28,,3:49,,,2,37:27,165 lb,
412,Marco Ghelfi Zoboli,CrossFit Modena,,"2023 open
10208th
worldwide",10208th,worldwide,Men,Men (35-39),110 kg,,86 kg,150 kg,,,,,,,,19:10,65 kg,
413,Chantelle Chang,Aloha CrossFit,,,,United States,Women,,200 lb,,160 lb,285 lb,263,,5:09,,11:04,,,,140 lb,
414,Kelly Marshall,CrossFit Nottingham,,,,Europe,Women,,156 kg,,92 kg,163 kg,,,,,,,,20:37,70 kg,
415,Vanessa du Preez,,,,,Africa Middle East,Women,,70 kg,,50 kg,110 kg,,,8:57,3:44,,,,,35 kg,
424,Murray Macleod,CrossFit Paisley,,,,Europe,Men,,182 kg,,130 kg,230 kg,,,,,,,,,100 kg,
431,Nilaja Montgomery,,,,,North America West,Women,,265 lb,,165 lb,353 lb,253,,6:25,3:45,13:06,,,,115 lb,
450,Marshall Westbrook,CrossFit Obsession,,,,South West,Men,,445 lb,,,505 lb,,,,,,,,,,
460,Samuel Malloy,CrossFit Avon,,,,United Kingdom,Men,,130 kg,,90 kg,155 kg,306,26:36,5:17,4:57,9:02,,45,20:10,73 kg,
462,Simon Hoesny,,,,,Asia,Men,,170 kg,,130 kg,168 kg,,,,,,,,27:01,90 kg,1:20
468,Mattia Godio,,,,,Europe,Men,,150 kg,,95 kg,180 kg,,,5:00,3:50,,,35,,70 kg,
