,Athlete,Affiliate,Country,Competition,Placement,Region,Division,Division_2,Back Squat,Chad1000x,Clean and Jerk,Deadlift,Fight Gone Bad,Filthy 50,Fran,Grace,Helen,L1 Benchmark,Max Pull-ups,Run 5k,Snatch,Sprint 400m
24,Daramorah Hill,CrossFit City of Lakes,,,,North America,Men,,320 lb,,225 lb,355 lb,,,8:34,,,,,22:35,155 lb,
33,Laurence Pellot,,,,,Asia,Men,,400 lb,,290 lb,485 lb,,,2:30,1:47,,,45,,190 lb,
36,Jason Hurtado,BackCountry CrossFit,,,,United States,Men,,285 lb,,205 lb,345 lb,,,8:04,3:41,11:26,,75,23:34,155 lb,1:10
41,Mark Morgenthaler,Quantum CrossFit,,"2023 open
5153rd
worldwide",5153rd,worldwide,Men,Men (35-39),145 kg,,115 kg,175 kg,,28:14,3:20,,,,32,22:22,77 kg,1:09
56,Giuliano Budassi,CrossFit Montesacro,,,,Europe,Men,,150 kg,,110 kg,190 kg,,,4:54,5:28,,,,,80 kg,
66,Brian Nielsen,Generator CrossFit,,,,United States,Men,,515 lb,,147 kg,525 lb,385,,3:30,1:40,8:59,,42,,111 kg,1:21
72,Mathieu Gomes,CrossFit Cathare,,"2023 open
2320th
worldwide",2320th,worldwide,Men,Men,455 lb,,335 lb,500 lb,,,1:53,,,,70,,255 lb,
77,Harry Sherwood,,,,,Southern California,Men,,315 lb,,240 lb,365 lb,,,,2:54,,,,22:22,190 lb,
86,Sean Burton,CrossFit OUR,,,,South West,Men,,285 lb,,245 lb,445 lb,,,3:13,1:57,,,,17:31,205 lb,0:58
110,Kenneth Broers,CrossFit Inner Chamber,,,,United States,Men,,340 lb,,270 lb,435 lb,,,2:32,2:22,,,42,,205 lb,
133,Salviano Tanes Velasco,CrossFit High Pulse,,,,South America,Men,,253 lb,,176 lb,396 lb,,30:46,6:41,7:33,8:42,4:38,30,19:52,110 lb,0:52
145,Josh Hauser,CrossFit SuperFly,,,,North America,Men,,425 lb,,225 lb,405 lb,,,9:40,8:45,,,,32:56,185 lb,1:58
160,Zach Rowland,CrossFit Souhegan,,,,North America,Men,,,,,,,,,,,,,21:17,,
189,Joe Goble,CrossFit Vengeance,,"2023 quarterfinals
762nd
North America East",762nd,North America East,Men,Men,190 kg,,,200 kg,,,,,,,,18:36,,
192,Jason Jordan,McFarland Middle School CrossFit,,,,United States,Men,,,,215 lb,400 lb,,,9:45,2:54,,,12,,135 lb,
203,Hannah Beaumont,,,,,Europe,Women,,110 kg,,70 lb,140 kg,,,6:25,,10:12,,8,26:00,53 lb,1:10
204,Elaine Salazar,The Fit Stop CrossFit,,,,United States,Women,,195 lb,,145 lb,270 lb,250,,,3:59,,,,24:01,105 lb,1:21
246,Catrin Magnusson,,,,,Europe,Women,,100 kg,,,143 kg,,,,,,,,,,
