,Athlete,Affiliate,Country,Competition,Placement,Region,Division,Division_2,Back Squat,Chad1000x,Clean and Jerk,Deadlift,Fight Gone Bad,Filthy 50,Fran,Grace,Helen,L1 Benchmark,Max Pull-ups,Run 5k,Snatch,Sprint 400m
0,Russ Greene,CrossFit DC,,,,Mid Atlantic,Men,,355 lb,,,485 lb,,,2:50,,,,52,19:20,205 lb,
1,John Mclaughlin,CrossFit Jensen Beach,,,,North America East,Men (55-59),,355 lb,,255 lb,435 lb,,,2:26,2:34,7:24,,50,,195 lb,
2,Daniel Campbell,CrossFit 797,,"2023 open
6507th
worldwide",6507th,worldwide,Men,Men (35-39),325 lb,,245 lb,415 lb,,,3:46,2:57,,,33,19:22,165 lb,1:05
3,Victor Nicholas,CrossFit Anchorage,,,,United States,Men,,320 lb,,240 lb,385 lb,364,,3:48,,,,,,185 lb,
4,Everette Sweeting,CrossFit Potcake,,,,Bahamas,Men,,420 lb,,295 lb,455 lb,286,,,1:56,,,19,,225 lb,0:49
5,Mark Crosby,,,"2023 open
1269th
worldwide",1269th,worldwide,Men,Men (45-49),315 lb,,215 lb,375 lb,345,24:59,4:47,4:03,8:31,,35,18:46,160 lb,
6,Eric Verbel,,,,,North East,Men,,,,,,,,,,,,,20:35,,
7,Brian Holub,,,,,Southern California,Men,,275 lb,,230 lb,400 lb,326,27:56,7:18,3:33,10:48,,29,26:05,170 lb,1:15
8,Troy Gordon,,,,,Oceania,Men,,135 kg,,113 kg,160 kg,398,22:16,4:00,2:16,9:22,,41,23:32,77 kg,
9,Tami Brown,,,,,Southern California,Women,,,,,215 lb,,,,,,,,,,
10,Noor Greene,CrossFit DC,,,,United States,Women,,195 lb,,155 lb,300 lb,,,,,,,21,,125 lb,1:14
11,james afto,,,,,South Central,Men,,365 lb,,225 lb,445 lb,300,21:34,3:30,4:30,10:00,,50,22:00,175 lb,1:20
12,Mark Sanderson,,,,,South Central,Men,,385 lb,,275 lb,455 lb,283,,,,,,32,,185 lb,0:52
13,Justin Sloan,,,,,Mid Atlantic,Men,,335 lb,,,395 lb,,,,,,,,,,
14,Alexander Cashman,,,,,Mid Atlantic,Men,,385 lb,,245 lb,505 lb,308,,6:47,2:29,12:16,,21,22:10,185 lb,
15,Bruno Thimineur,,,,,Canada East,Men,,445 lb,,300 lb,495 lb,433,20:40,2:46,2:04,7:19,,40,20:33,220 lb,
16,Nicholas Triglia,CrossFit HQ,,,,United States,Men,,350 lb,,245 lb,435 lb,275,,,,,,25,,175 lb,
17,Adam Eidson,RARE CrossFit,,,,North America East,Men,,330 lb,,250 lb,375 lb,314,,3:57,4:00,,,40,20:00,198 lb,1:10
20,Bart Boyd,North Ankeny CrossFit,,"2023 open
275th
worldwide",275th,worldwide,Men,Men (40-44),425 lb,,285 lb,500 lb,438,17:36,2:13,1:48,7:09,,67,20:19,215 lb,0:58
21,Danielle Jarousse,,,,,South East,Women,,295 lb,,223 lb,360 lb,,,2:11,1:52,9:07,,27,,170 lb,1:08
24,Andrew Chicoine,,,,,South Central,Men,,430 lb,,265 lb,475 lb,406,,3:03,2:40,6:35,,,22:00,205 lb,
25,joel geerlings,,,,,Central East,Men,,305 lb,,235 lb,435 lb,373,29:10,2:53,5:13,8:45,,52,22:06,155 lb,1:03
27,Seneca Seley,,,,,North America,Men,,365 lb,,260 lb,475 lb,,,3:23,2:08,8:31,,,21:32,205 lb,1:20
28,Joshua Hemmelgarn,,,,,Central East,Men,,365 lb,,245 lb,405 lb,,,2:59,2:26,,,,17:12,190 lb,1:00
29,Jeremy Jouette,CrossFit Virtus,,,,United States,Men,,365 lb,,220 lb,460 lb,266,33:53,,,,,12,32:19,172 lb,1:32
30,Chris Hamilton,CrossFit Northern Kentucky,,,,United States,Men,,315 lb,,225 lb,385 lb,290,27:06,3:22,3:20,9:59,,30,27:45,175 lb,1:15
31,Brian Michaelson,,,,,South West,Men,,405 lb,,310 lb,450 lb,,,,,,,,,255 lb,1:09
33,Kenneth Mao,Blues City CrossFit,,,,North America,Men,,315 lb,,225 lb,405 lb,417,,3:17,3:02,,,73,20:03,185 lb,0:51
34,Jose Lopez,SF CrossFit,,,,South East,Men,,345 lb,,220 lb,445 lb,,,,,,,,26:00,165 lb,1:16
