,Athlete,Affiliate,Country,Competition,Placement,Region,Division,Division_2,Back Squat,Chad1000x,Clean and Jerk,Deadlift,Fight Gone Bad,Filthy 50,Fran,Grace,Helen,L1 Benchmark,Max Pull-ups,Run 5k,Snatch,Sprint 400m
1,Ken Courtney,,,"2023 open
12978th
worldwide",12978th,worldwide,Men,Men (35-39),140 kg,,95 kg,180 kg,,,5:44,,9:11,,44,22:00,60 kg,
11,Ayla Luers Connor,CrossFit Reaction,,"2023 open
37592nd
worldwide",37592nd,worldwide,Women,Women,250 lb,,155 lb,305 lb,,,,2:54,,,,,,
19,Rachel LaPorte,CrossFit Six Points,,"2023 open
18147th
worldwide",18147th,worldwide,Women,Women (35-39),275 lb,,165 lb,310 lb,,,,,,,,,132 lb,
28,Dave Wallden,,,"2023 semifinals
12th
worldwide",12th,worldwide,Men (60-64),Men (60-64),315 lb,,195 lb,315 lb,,,,,,,38,20:20,160 lb,
30,April Levesque,DeepRoots CrossFit,,,,United States,Women,,250 lb,,165 lb,300 lb,,,,,,,,,120 lb,
32,Patrick Aube,CrossFit Drummond,,,,Canada,Men,,350 lb,,,385 lb,,,5:59,,,,,,,
55,Carrie Dobrinski,North Frisco CrossFit,,"2023 open
3366th
worldwide",3366th,worldwide,Women (55-59),Women (55-59),180 lb,,105 lb,235 lb,,,,,,,,,80 lb,
106,Orkan Seewald,,,,,Europe,Men,,170 kg,,115 kg,200 kg,280,,5:50,2:40,9:45,,,24:13,80 kg,1:06
109,Miguel Lachy,,,,,South America,Men,,345 lb,,230 lb,385 lb,,,,,,,,,180 lb,
140,Stefano Porru,CrossFit Kasteddu,,,,Italy,Men,,140 kg,,95 kg,172 kg,,,4:29,3:51,9:39,,32,,73 kg,
175,Lise Gangstad,CrossFit Lillestrøm,,,,Europe,Women,,123 kg,,75 kg,156 kg,,,,,,,,,57 kg,
203,Chelsi Westdorp,Cadillac CrossFit,,,,Central East,Women,,225 lb,,155 lb,315 lb,,,,,,,,,130 lb,
235,Liuni Roberto,CrossFit White Hand,,"2023 open
1552nd
worldwide",1552nd,worldwide,Men,Men (50-54),140 kg,,100 kg,150 kg,,,,,,,35,,79 kg,
255,Mitchell Stromquist,Kelowna CrossFit,,,,Canada,Men,,325 lb,,235 lb,435 lb,,,,,,,,21:40,170 lb,
275,Kimberly Davis,CrossFit Serenity,,,,North America,Women,,255 lb,,150 lb,280 lb,,,,,,,,,105 lb,
299,Toms Piliksers,CrossFit Ridzene,,,,Latvia,Men,,140 kg,,95 kg,165 kg,,,,,,,25,,70 kg,
333,Marlana Smedley,Calera CrossFit,,"2023 open
13294th
worldwide",13294th,worldwide,Women,Women (35-39),170 lb,,145 lb,245 lb,,,,,13:57,,,,105 lb,1:34
371,Pedro Matos,,,"2023 open
4107th
worldwide",4107th,worldwide,Men,Men (35-39),155 kg,,102 kg,200 kg,259,,3:19,,8:58,,,20:07,83 kg,
381,Valentin Bury,CrossFit CP95,,,,Europe,Men,,170 kg,,140 kg,205 kg,,,,,,,,,110 kg,
401,Matthew Chitwood,CrossFit Elect,,,,North America,Men,,415 lb,,245 lb,600 lb,,,,3:12,,,,,195 lb,
457,Fabrizio Zanello,CrossFit La Superba,,"2023 open
768th
worldwide",768th,worldwide,Men (55-59),Men (55-59),140 kg,,95 kg,178 kg,,,,,,,21,26:00,62 kg,1:20
458,Pscl Grtzsch,CrossFit Cologne,,,,Europe Central,Men,,140 kg,,100 kg,210 kg,323,33:11,4:14,3:35,,,36,18:45,75 kg,1:16
460,Bill Huber,Black Bull CrossFit,,,,North America East,Men,,410 lb,,,500 lb,,,,,,,,,,
481,Ildar Biryukov,,,,,Europe,Men,,200 kg,,,215 kg,,,10:00,,,,,,70 kg,
502,Stefano Puglisi,,,,,,,,,,,,,,6:46,,11:16,,,,,
