,Athlete,Affiliate,Country,Competition,Placement,Region,Division,Division_2,Back Squat,Chad1000x,Clean and Jerk,Deadlift,Fight Gone Bad,Filthy 50,Fran,Grace,Helen,L1 Benchmark,Max Pull-ups,Run 5k,Snatch,Sprint 400m
15,Kasa Sikahele,The Shed CrossFit,,,,Oceania,Women,,,,,130 kg,,,,,,,,,,
33,Vlad Minakov,Red Tower CrossFit,,"2023 open
1233rd
worldwide",1233rd,worldwide,Men,Men,180 kg,,140 kg,200 kg,,,,,,,,,110 kg,
80,Juan Jesus Luna Gonzalez,,,,,Europe,Men,,155 kg,,120 kg,190 kg,,,,,,,24,20:00,95 kg,1:00
106,Javier Barreiro,,,,,,,,110 kg,,75 kg,140 kg,,,,,,,,17:43,68 kg,1:08
114,Yannick Dubois,CrossFit Ember,,"2023 open
14264th
worldwide",14264th,worldwide,Men,Men,130 kg,58:07,,,,,4:40,3:03,,,45,20:30,73 kg,1:07
117,Randall Trickett,CrossFit Morgantown,,,,North America,Men,,315 lb,,225 lb,365 lb,298,,6:13,3:14,12:15,,,,185 lb,
131,Karlee Beech,Smashletics CrossFit,,,,North America,Women,,290 lb,,205 lb,320 lb,369,31:43,4:35,3:11,10:13,,30,,165 lb,1:23
132,Neriann Velez,CrossFit 53,,,,North America East,Women,,,,127 lb,,,,,,,,,,,
161,Stefano Lisci,CrossFit Casalpalocco,,,,Europe,Men,,116 kg,,,176 kg,,,,,,,,,,
162,Natasha Llewellyn,,,,,Europe,Women,,100 kg,,73 kg,120 kg,,,,,,,31,22:15,53 kg,
238,Alexandra Steiro,Kick CrossFit,,,,Europe North,Women,,80 kg,,67 kg,105 kg,,,,,,,,,45 kg,
268,Jerome Lalet,CrossFit Altisea,,"2023 open
1319th
worldwide",1319th,worldwide,Men,Men (40-44),140 kg,,110 kg,180 kg,,,3:30,,,,,,85 kg,
284,Stefan Björk,,,,,Europe,Men,,155 kg,,115 kg,200 kg,359,,3:00,,8:14,,,,92 kg,
312,Konstantine Machavariani,CrossFit 148,,"2023 open
15650th
worldwide",15650th,worldwide,Men,Men (40-44),150 kg,,90 kg,,,,,,,,13,,70 kg,
314,Ysabel Otte,CrossFit Gooi,,"2023 open
922nd
worldwide",922nd,worldwide,Women,Women (35-39),105 kg,,75 kg,120 kg,,,,,,,,,60 kg,
350,Sara Villanova,CrossFit 31020,,"2023 open
2088th
worldwide",2088th,worldwide,Women,Women (40-44),90 kg,,62 kg,103 kg,,,4:45,4:07,,,,,45 kg,
410,Michael Molchan,,,"2023 open
1643rd
worldwide",1643rd,worldwide,Men,Men (45-49),275 lb,,210 lb,355 lb,,28:01,6:00,3:31,,,,,165 lb,
418,Lochey Oppenheimer,,,,,Australia,Men,,205 kg,,,250 kg,,,,,7:44,,,20:32,,
478,Maria Candelaria,CrossFit Rave,,,,United States,Women,,185 lb,,,265 lb,273,28:32,7:02,3:42,11:58,,,,,
482,Grayson Greco,CrossFit Santa Cruz Central,,"2023 quarterfinals
1301st
North America West",1301st,North America West,Men,Men,385 lb,,,405 lb,,,,,,,,,210 lb,
505,Sergey Chermaschencev,,,"2023 open
598th
worldwide",598th,worldwide,Men,Men (50-54),135 kg,,110 kg,175 kg,,,,,,,,,80 kg,
508,Jean St-Amand,OnSide Performance Centre CrossFit,,"2023 open
7845th
worldwide",7845th,worldwide,Men,Men (45-49),295 lb,,200 lb,395 lb,,,6:39,13:00,9:24,,35,22:30,125 lb,1:21
555,Thomas Grégory,CrossFit Glow Up,,"2023 quarterfinals
980th
Europe",980th,Europe,Men,Men,135 kg,,100 kg,180 kg,,24:34,4:55,,,,,,70 kg,
557,Caroline Sykes,CrossFit Tivvy,,,,United Kingdom,Women,,90 kg,,58 kg,100 kg,286,,,,,,,22:39,40 kg,
559,Tim Schur,CrossFit Recklinghausen,,,,Europe,Men,,130 kg,,85 kg,160 kg,,,,,,,,27:05,60 kg,1:47
