Rank,Name,Country,Region,Affiliation,Age,Height,Weight
1137,Jaret Stout,United States,North America West,,29,,
1138,Rafael Gallo,El Salvador,North America East,CrossFit Derive,31,74 in,215 lb
1138,Cody Rice,United States,North America West,CrossFit Incendia,27,72 in,190 lb
1140,Lewis Dent,United Kingdom,Europe,CrossFit Aldermaston,31,,
1141,Matt Rodwell,United Kingdom,Europe,CrossFit Arc,31,74 in,220 lb
1142,Brandt Heintz,United States,North America West,,24,,
1143,Sebastian Calabro,Argentina,South America,,35,169 cm,185 lb
1144,Matteo Charrier,France,Europe,CrossFit Annecy,19,,
1145,Doyeon Park,"Korea, Republic of",Asia,CrossFit Rainfield,31,171 cm,174 lb
1146,Dan Boissiere,Canada,North America West,Surrey CrossFit,28,,
1147,Alex Carravetta,United States,North America East,CrossFit Kenosha,28,71 in,225 lb
1148,Andrea Trotta,Italy,Europe,CrossFit Red Wall 100,29,181 cm,93 kg
1149,Tomasz Malicki,Poland,Europe,,29,,
1150,Leonardo Roscoe,Brazil,South America,BRV CrossFit,35,183 cm,90 kg
1151,Alex Autobee,United States,North America West,FFS CrossFit,24,70 in,208 lb
1151,James Fox,United Kingdom,Europe,Two Ton CrossFit,30,175 cm,82 kg
1153,Antonio Barrias,China,Asia,CrossFit XVI,34,169 cm,83 kg
1154,Ed Cook,United Kingdom,Europe,High Performance CrossFit,19,180 cm,82 kg
1154,Brad Wilson,United States,North America East,CrossFit Grandview,26,72 in,215 lb
1156,Caelin Weaver,United States,North America West,CrossFit Gig Harbor,25,68 in,180 lb
1157,Carlos Zuñiga,Mexico,North America West,,24,,
1158,Nathan Schuermann,United States,North America East,CrossFit Krypton,34,70 in,200 lb
1159,Michele La Mura,Italy,Europe,CrossFit Scafati,23,173 cm,83 kg
1160,Marcis Mucenieks,Latvia,Europe,CrossFit Riga,31,190 cm,93 kg
1161,Aston Dommel,United States,North America East,,32,73 in,225 lb
1162,Cristian Díaz,Colombia,South America,Hakuna CrossFit,23,,
1163,Dylan Sealey,Australia,Oceania,Picton CrossFit,26,170 cm,80 kg
1164,Najm Mamkegh,Jordan,Asia,CrossFit Crescent,34,179 cm,100 kg
1165,John Hickner,United States,North America East,CrossFit Mountain Island,29,73 in,203 lb
1166,Joseph Schillaci,United States,North America East,FitHouse CrossFit,28,69 in,180 lb
1167,Joey Harrison,United Kingdom,Europe,CrossFit Bath,23,183 cm,83 kg
1168,Douglas Ferreira,Brazil,South America,CrossFit Birigui,34,170 cm,80 kg
1169,Josh Phifer,United Kingdom,Europe,,31,,
1170,Tristan Jones,Australia,Oceania,,38,191 cm,229 lb
1171,Qarch Hawk,United States,North America East,CrossFit Atlanta,25,70 in,195 lb
1172,Noah Miles,United Kingdom,Europe,CrossFit Elephant & Castle,22,173 cm,79 kg
1173,Alexandre Gallant,Canada,North America East,CrossFit Dieppe,26,69 in,180 lb
1174,Brendan Finucane,United States,North America East,CrossFit Nashville,26,76 in,205 lb
1175,Daniel Fee,Ireland,Europe,CrossFit Botany,31,181 cm,88 kg
1176,Jonathan Higuera,Venezuela,South America,CrossFit Cusco,29,169 cm,81 kg
1177,Morgan Vieilly,France,Europe,CrossFit 2 Frères,31,178 cm,73 kg
1178,Shingo Moromasa,Japan,Asia,,36,5 in,185 lb
1179,Léo ASTARIE,France,Europe,CrossFit Atalante,27,182 cm,88 kg
1180,Natanael Perez,Mexico,North America West,CrossFit Absoluto,29,,
1181,Luiz Henrique Alves Moreira,Brazil,South America,Templo SA CrossFit,20,180 cm,90 kg
1182,Shaho Hasanzadeh,Iran,Asia,,20,183 cm,90 kg
1182,Jackson Terry,United States,North America West,CrossFit Poipu,23,71 in,187 lb
1184,Renson Valentin,Belgium,Europe,CrossFit Asterion,30,180 cm,78 kg
1185,Youngsan Choi,"Korea, Republic of",Asia,CrossFit MATE,29,,
1186,Esteban Gervilla,Luxembourg,Europe,CrossFit Seven Castles,28,175 cm,80 kg
1187,Kai Chmielak,United States,North America East,Round Valley CrossFit,18,69 in,173 lb
1188,Cory McCleaf,United States,North America East,CrossFit Pineville,34,71 in,192 lb
1189,Trent Baltzell,United States,North America East,Ocean State CrossFit,32,77 in,220 lb
1190,Artyom Matsak,Kazakhstan,Asia,CrossFit Berloga,29,178 cm,88 kg
1191,Thomas Lower,United States,North America East,CrossFit Charlotte,26,75 in,220 lb
1192,Willem Snyman,South Africa,Africa,Lions Bay CrossFit,33,184 cm,90 kg
1193,Julian Conesa Gomez,Spain,Europe,CrossFit S'embat,31,191 cm,90 kg
1194,Christopher Kelly,United States,North America East,CrossFit Apex,31,,
1195,Brandon Ryczek,United States,North America East,CrossFit Miramar Beach,23,73 in,185 lb
1196,Mark Kline,United States,North America East,TFL CrossFit,22,71 in,180 lb
1197,Barış Sayın,Turkey,Asia,,24,172 cm,80 kg
1198,Léo Heuzé,France,Europe,CrossFit Genas,23,,
1199,Enguerrand Aucher,France,Europe,CrossFit Saint-Maur,30,179 cm,83 kg
1200,Reza Shiroud Bozorgi,Iran,Asia,,29,,
1201,Charalampos Pavlidis,Greece,Europe,,29,,
1202,Eli Moore,United States,North America East,Three Kings CrossFit,29,67 in,175 lb
1203,Míron Maciel,Brazil,South America,CrossFit Sertão,30,,
1204,Tobias Adlam,New Zealand,Oceania,Ground Project CrossFit,28,188 cm,99 kg
1205,Xabier Andres,Spain,Europe,CrossFit Donosti,29,,
1206,Quinton Nathanael MacQueen,United States,North America East,CrossFit Crash,22,93 in,185 lb
1207,Rolo Pieters,South Africa,Africa,BST CrossFit,33,,
1208,Brendan Moss,United States,North America West,Wasatch CrossFit,32,73 in,205 lb
1209,Warwick Dukes,South Africa,Africa,,29,186 cm,90 kg
1210,Liam Hogan,United Kingdom,Europe,Coast Side CrossFit,32,178 cm,174 lb
1211,Caio Moyses,Brazil,South America,CrossFit Higienopolis,35,179 cm,91 kg
1212,Bradley Piel,United States,North America West,,26,70 in,187 lb
1213,Maximin Chapuis,France,Europe,CrossFit Littoral,27,172 cm,80 kg
1214,Fran Hurtado,Costa Rica,North America East,CrossFit Queretaro,22,182 cm,92 kg
1214,Charles Owings,United States,North America East,CrossFit 301 Elite,28,69 in,183 lb
1216,Joseph Alessi,United States,North America East,CrossFit Grandview,26,,
1217,Bruno Simao,Portugal,Europe,CrossFit Lezíria,33,,
1218,Hayd'n Baragry,Australia,Oceania,Freezing Hot CrossFit,25,164 cm,79 kg
1219,Dalton Jeffries,United States,North America West,CrossFit 7220,24,68 in,195 lb
1220,Travis Zook,United States,North America West,CrossFit 808,25,72 in,200 lb
1221,Matthew Jordan,United States,North America East,Five Forks CrossFit,26,70 in,155 lb
1222,Thomas Boon,Netherlands,Europe,CrossFit Qua Patet Orbis,31,173 cm,88 kg
1223,Gabriel Bracamontes,Mexico,North America West,Strong Suit CrossFit,23,180 cm,88 kg
1224,Maxime Bousquet,France,Europe,CrossFit Aix en Provence,29,166 cm,80 kg
1225,Dobromir Karkoszka,Germany,Europe,CrossFit Düsseldorf,34,180 cm,96 kg
1226,Curtis Garrow,United States,North America East,Champlain Valley CrossFit,32,66 in,193 lb
1227,Keegan Muir,South Africa,Africa,Plot Box CrossFit,27,,
1227,James Lough,United States,North America East,CrossFit Torsion,30,70 in,185 lb
1227,Dario Alves,Canada,North America East,CrossFit PSC,35,71 in,208 lb
1230,Austin Flemming,United States,North America West,Big Barn CrossFit,26,69 in,200 lb
1231,Moshe Tabero,Israel,Asia,CrossFit White City,25,175 cm,80 kg
1232,Eden Beesley,United Kingdom,Europe,,32,177 cm,87 kg
1233,Dillon Mahadeo,Guyana,South America,CrossFit Surbiton,27,74 in,200 lb
1234,Nicolas Breaux,France,Europe,CrossFit Shenron,28,165 cm,72 kg
1235,Abdulwahab Alsaleh,Kuwait,Asia,,21,176 cm,78 kg
1236,Joshua Davis,United States,North America East,CrossFit Lena,37,70 in,182 lb
1237,Javi Rodriguez,Spain,Europe,CrossFit Vara de Quart,29,,
1238,Will Trounson,Australia,Oceania,CrossFit Reclaim,25,180 cm,85 kg
1239,Ben Santhudkijkarn,Thailand,Asia,CrossFit Club 49,25,173 cm,83 kg
1240,Anton Blomqvist,Sweden,Europe,CrossFit Vanheim,24,183 cm,90 kg
1241,Will Seaman,United Kingdom,Europe,CrossFit Stonehouse,25,,
1242,Moises Ramos,United States,North America West,CrossFit SFP,30,,
1242,Matthew Schiff,South Africa,Africa,CrossFit Juggernaut,29,178 cm,84 kg
1244,Matt Benoit,Canada,North America East,Orleans CrossFit,30,179 cm,185 lb
1245,Chantz Ramos,United States,North America West,CrossFit Dixie,33,73 in,195 lb
1246,Daniel Stutzman,United States,North America East,CrossFit Lena,29,71 in,176 lb
1247,Manuel Catalán,Chile,South America,,29,173 cm,82 kg
1247,Felipe Schardong Fank,Brazil,South America,CrossFit Floripa,23,185 cm,100 kg
1249,Preston Breece,United States,North America East,CrossFit Miramar Beach,34,71 in,215 lb
1249,Angerson Fuentes,Venezuela,South America,Spoiler Box CrossFit,22,,
1251,Quinn Robinson,United States,North America East,CrossFit Reignited ILM,26,72 in,190 lb
1252,Joshua Bultsma,United States,North America West,CrossFit 1886,25,70 in,220 lb
1253,Ives Melo,Brazil,South America,,25,174 cm,80 kg
1254,younggeun choi,"Korea, Republic of",Asia,CrossFit BigFoot Two,33,,
1255,Leiff Clarkson,United States,North America East,CrossFit Solace,29,71 in,180 lb
1256,Dyl Murph,Australia,Oceania,CrossFit Calder,30,170 cm,80 kg
1257,Luke Keeble,United Kingdom,Europe,,28,68 in,172 lb
1258,Ariel Fernandez,United States,North America East,CrossFit Virtuosity,36,68 in,190 lb
1259,Malo Hallier,France,Europe,CrossFit Myrmica,23,177 cm,84 kg
1260,Gabriel Giffard,Spain,Europe,CrossFit Bankai,29,,
1261,Gage Scott,United States,North America West,CrossFit Westwood,23,73 in,195 lb
1262,Broc Kocour,United States,North America East,CrossFit Time Warp,31,65 in,175 lb
1263,Jordan Becker,United States,North America East,MoCo CrossFit,29,,
1264,Gabriel Apostolescu,Romania,Europe,CrossFit Columna,28,170 cm,85 kg
1265,River Moore,United States,North America East,RFS CrossFit,22,68 in,185 lb
1266,Daniel Jardón Pérez,Spain,Europe,,26,,
1267,Jean Garcia,Colombia,South America,,27,168 cm,74 kg
1268,Jordan Coby,United States,North America West,University Place CrossFit,32,72 in,195 lb
1269,Niko Laakkonen,Finland,Europe,CrossFit Mikkeli,35,179 cm,90 kg
1270,Treyton Buresh,United States,North America West,CrossFit Fit Farm,31,69 in,180 lb
1271,Youssef Ehab,Egypt,Africa,,23,173 cm,82 kg
1272,Andrey Vinogradov,Asia,Age 24,187 cm | 98 kg,24,187 cm,98 kg
1273,Kun Seok Kim,"Korea, Republic of",Asia,CrossFit Get Knowledge 2,31,170 cm,80 kg
1273,Jake Julian,United States,North America East,CrossFit Lupos,29,70 in,180 lb
1275,Fabrizio Maggiori,Uruguay,South America,,28,,
1275,Phil Cress,Canada,North America East,Breaker CrossFit,29,70 in,200 lb
1277,Carlos Sahagun,United States,North America West,CrossFit San Antonio,22,,
1278,Sean Colgan,United States,North America East,CrossFit 301 Elite,31,,
1279,Steven Cristini,Canada,North America East,CrossFit Markham,32,72 in,195 lb
1280,Jake Soles,Australia,Oceania,CrossFit Wollongong,23,182 cm,83 kg
1281,Mathieu Couture,Canada,North America East,TENSKILLS CrossFit,21,163 cm,120 lb
1282,Mateus Romão,Brazil,South America,Kravadera CrossFit,28,180 cm,90 kg
1283,Daniel Merida,Bolivia,South America,,32,165 cm,75 kg
1284,Sawyer Thompson,United States,North America East,,22,69 in,180 lb
1285,Christopher Campbell,Australia,Oceania,CrossFit Peak Blaxland,24,173 cm,78 kg
1286,Jules Poret,Switzerland,Europe,CrossFit Essentia,25,180 cm,88 kg
1287,Joe Mills,United States,North America East,CrossFit Dog Fight,30,70 in,170 lb
1288,Oliver Bennett-Hughes,United Kingdom,Europe,,26,,
1289,Michael Allen,United States,North America West,CrossFit Tupelo,25,69 in,185 lb
1290,Dimitri Saadi,France,Europe,CrossFit La Meute,34,182 cm,93 kg
1291,Giulio Perpetuo,Italy,Europe,,27,,
1292,Bitzer Ross,France,Europe,CrossFit Grillen,23,170 cm,78 kg
1293,Lucas Della Maggiora,Argentina,South America,,31,,
1294,Gerardo Gonzalez Hidalgo,Mexico,North America West,,30,173 cm,83 kg
1295,Jimmy Woodard,United States,North America East,CrossFit OwnIt,36,73 in,227 lb
1296,Yunseop Lim,"Korea, Republic of",Asia,CrossFit Arcade,22,,
1297,Joao Andre Campos,Brazil,South America,,25,184 cm,97 kg
1298,Cristian Chavarría,Costa Rica,North America East,Morpho CrossFit,23,167 cm,70 kg
1299,Bryce Broome,United States,North America West,North Plains CrossFit,27,,
1300,Dylan Murrell,United States,North America West,CrossFit Stillwater,29,65 in,175 lb
1301,Giuseppe Castiglione,Italy,Europe,,29,,
1301,Andrew Girard,United States,North America East,Golden Goose CrossFit,28,,
1303,Thibault Python,Switzerland,Europe,CrossFit Payerne,25,178 cm,88 kg
1304,Brent Van Renterghem,Belgium,Europe,CrossFit Gent,25,,
1305,Samuel Spurlin,United States,North America West,Table Rock CrossFit,25,70 in,190 lb
1306,Jalen Bryant,United States,North America East,Muskegon CrossFit,27,72 in,205 lb
1307,Levi Egli,United States,North America West,CrossFit Unorthodox,21,,
1308,Rubén Arias,Venezuela,South America,,26,,
1309,Petar Arbov,Bulgaria,Europe,Natural Selection CrossFit,27,72 in,210 lb
1310,Logan Hopkins,United States,North America West,CrossFit Fury,25,71 in,215 lb
1311,Jordan Walker,United States,North America East,Muskegon CrossFit,32,73 in,205 lb
1312,Paul Maloney,Australia,Oceania,CrossFit Peak Blaxland,33,182 cm,187 lb
1313,Mason Walsh,United States,North America West,Carlsbad CrossFit,28,73 in,200 lb
1314,Brandon Hart,United States,North America West,CrossFit Bear Down,36,74 in,198 lb
1315,Hayden Dark,Australia,Oceania,CrossFit Indulge,27,174 cm,84 kg
1316,Kyle Crooke,United States,North America East,CrossFit Boynton Beach,30,70 in,190 lb
1317,Oscar Buloz,Venezuela,South America,,24,,
1317,Tyler Kluver,United States,North America West,,28,70 in,195 lb
1319,Ryan Miller,Australia,Oceania,CrossFit TMA,27,183 cm,88 kg
1319,Nick LeFrere,United States,North America West,Hurricane CrossFit,26,,
1321,Billy Gray,Australia,Oceania,CrossFit Urban Energy,26,,
1321,Antonio Garcia,Spain,Europe,,23,179 cm,81 kg
1323,Andrei Roscan,Italy,Europe,CrossFit Officine,25,194 cm,96 kg
1324,Mattais Heimuli,Tonga,Oceania,CrossFit EXF,26,,
1325,Tristan Fouard,United States,North America East,M4G CrossFit,34,73 in,195 lb
1326,Jacob Williams,United States,North America East,CrossFit Reborn,32,70 in,205 lb
1327,Sean Freeman,United States,North America East,CrossFit Huntsville,25,,
1327,Nick Luksich,Australia,Oceania,CrossFit NorWest,24,,
1329,Viktor Ólafsson,Iceland,Europe,CrossFit Sport,26,187 cm,95 kg
1330,Ryan Barrett,United Kingdom,Europe,CrossFit WDN,25,182 cm,93 kg
1330,Bryson DelMonte,United States,North America East,CrossFit Momentous,23,68 in,182 lb
1332,Johnathon Bohnert,United States,North America East,Crystal Coast CrossFit,32,66 in,170 lb
1333,Christopher Bunkley,United States,North America West,CrossFit Loomis,25,71 in,195 lb
1333,Aeden Szopinski,United States,North America West,Ironwood CrossFit,22,68 in,185 lb
1335,Dakota Grossman,United States,North America West,Ballistic Built CrossFit,26,,
1336,Bradyn Eglinton,Australia,Oceania,CrossFit Northern Adelaide,20,173 cm,85 kg
1337,Giovanni Granata,Mexico,North America West,Magno CrossFit,23,176 cm,82 kg
1338,Geraldo Martinez Jr,United States,North America East,CrossFit Force2Reckon,32,68 in,177 lb
1339,Kevin Cruchon,Switzerland,Europe,CrossFit OverLake,32,,
1340,Rouquier Robin,France,Europe,,28,174 cm,71 kg
1341,Hyunwoo Kim,"Korea, Republic of",Asia,CrossFit Gangnam,40,70 in,215 lb
1342,Anders Claesson,Sweden,Europe,CrossFit 04320,34,180 cm,92 kg
1342,Quentin Belmonte,France,Europe,CrossFit Beziers,27,184 cm,89 kg
1344,Adam Baillie,United States,North America East,CrossFit Rally Point Northbrook,28,69 in,190 lb
1344,Mason Whitlock,United States,North America East,Gulf Shores CrossFit,21,67 in,175 lb
1346,James Keen,Australia,Oceania,CrossFit 129,31,179 cm,82 kg
1347,Chase Penland,United States,North America East,CrossFit Shakerag,32,72 in,205 lb
1348,Curt Lanctot,United States,North America East,Aurelius CrossFit,30,,
1349,Andre Andrade,Brazil,South America,Cavaleiros CrossFit,34,170 cm,87 kg
1350,Ângelo Magalhães,Portugal,Europe,,25,174 cm,83 kg
1350,Pierre-Antoine Grammont,France,Europe,CrossFit Dijon,21,,
1352,Mario Prudenza,Italy,Europe,CrossFit Altessano,30,170 cm,83 kg
1353,Paul Jaworski,United States,North America East,Ballston CrossFit,32,67 in,175 lb
1354,Ryan Graunke,United States,North America East,CrossFit Muskego,25,72 in,205 lb
1355,Camille Dusart,France,Europe,CrossFit Montpellier,29,189 cm,96 kg
1356,Amit Biton,Israel,Asia,YV CrossFit Gvat,26,,
1357,Aaron Kersigo,United States,North America West,CrossFit Omaha,30,69 in,190 lb
1358,Shane Davis,United States,North America West,CrossFit T-Town,33,71 in,205 lb
1359,Nick Tenuta,Australia,Oceania,,25,,
1360,Hugo Monnoyer,France,Europe,Nero CrossFit,33,182 cm,85 kg
1361,Clay Dean,United States,North America West,CrossFit Wash Park,26,,
1362,Mohamed Sherif,Egypt,Africa,,23,176 cm,99 kg
1363,Parker Teeter,United States,North America East,IMA CrossFit,32,78 in,235 lb
1364,Ezequiel Henriquez Santana,Spain,Europe,CrossFit Oceanus,37,,
1365,Johnathan Davis,United States,North America West,Crooked Letter CrossFit,33,69 in,200 lb
1366,Elliot Turner,United Kingdom,Europe,,31,186 cm,90 kg
1367,Ross Johnson,United States,North America East,,24,69 in,165 lb
1368,Pearson Grant,United States,North America West,3F CrossFit,30,69 in,177 lb
1369,Kay Ziesemer,Netherlands,Europe,CrossFit Purmerend,30,187 cm,210 lb
1370,saeed bagheri,Iran,Asia,,27,167 cm,68 kg
1371,Louis-Bernard Dubé,Canada,North America East,,31,71 in,185 lb
1372,David Crane,Australia,Oceania,CrossFit Colossus,30,,
1373,Aaron Madrid,Spain,Europe,CrossFit Vara de Quart,24,173 cm,75 kg
1374,Dorian Memko,Italy,Europe,CrossFit Valax,34,176 cm,82 kg
1374,Raymond Neylon,United States,North America East,CrossFit Park Ridge,23,72 in,200 lb
1376,Bruno Silveira,Brazil,South America,,28,171 cm,88 kg
1377,Travis Grosjean,United States,North America West,Just Train CrossFit,22,70 in,183 lb
1378,Ibrahim Magdy,Egypt,Africa,,23,174 cm,190 lb
1379,Clayton Adams,United States,North America West,CrossFit Gambit,30,71 in,190 lb
1380,David Jiménez,Costa Rica,North America East,Osprey CrossFit,23,166 cm,64 kg
1381,James Anthony,Australia,Oceania,CrossFit Norsemen,30,178 cm,81 kg
1382,Gabriel Welzel,Brazil,South America,CrossFit Higienopolis,19,171 cm,176 lb
1383,Flaudizio Brandao,Brazil,South America,,30,168 cm,83 kg
1384,Ryley Humrighouse,United States,North America West,BackCountry CrossFit,25,68 in,185 lb
1385,Daniel Butz,United States,North America West,CrossFit Kivnon,27,69 in,170 lb
1386,Trenton Gove,Canada,North America East,CrossFit D10,23,72 in,195 lb
1387,Patrick Borchardt,Germany,Europe,CrossFit WYSH,33,185 cm,88 kg
1388,Jayden Foote,Australia,Oceania,,21,184 cm,90 kg
1389,Peyton Gray,United States,North America West,CrossFit Get it Done,25,66 in,180 lb
1390,Łukasz Szetela,Poland,Europe,,28,,
1391,Artem Kempi,Asia,CrossFit Udarnik,,31,178 cm,86 kg
1392,Ryan Brooks,Canada,North America West,CrossFit Armoury,30,75 in,225 lb
1393,Andrew Zadra,Canada,North America East,CrossFit Resurrection,33,69 in,170 lb
1393,Zachary Napolitano,United States,North America East,Green Mountain CrossFit,31,69 in,189 lb
1395,Carlos Rodriguez Huizar,Mexico,North America West,,23,180 cm,90 kg
1396,Matthew Menard,United States,North America West,,31,66 in,195 lb
1397,Coghlan Fisher,United States,North America East,CrossFit St. Croix,24,70 in,183 lb
1398,Joe Gonrowski,United States,North America West,IST CrossFit,27,,
1398,Javier Arencibia,United States,North America East,CrossFit Syracuse,22,66 in,190 lb
1400,Daniel Lynne,United States,North America East,CrossFit Union Square,28,70 in,195 lb
1401,Fernando Boada Lopez,Spain,Europe,,28,,
1402,Brian Killinger,United States,North America East,CrossFit Intrinsic,28,,
1403,Jared Price,United States,North America East,CrossFit Sumter,30,,
1404,Devin Morgan,Canada,North America East,Royal City CrossFit,28,72 in,193 lb
1405,Danny Poe,United States,North America West,CrossFit 417,30,72 in,190 lb
1406,Leonardo Jacovas,Brazil,South America,CrossFit Hallandale Beach Gator,25,6 in,205 lb
1407,Alejandro San Frutos,Spain,Europe,Urban Box CrossFit,32,,
1408,Sam Zerlik,Finland,Europe,CrossFit 33100,29,183 cm,93 kg
1409,William Lawson,United States,North America East,CrossFit Grandview,26,69 in,190 lb
1410,Brandon Steggall,United States,North America West,CrossFit St Louis Park,31,71 in,190 lb
1411,Nicola Favalli,Italy,Europe,Ugly CrossFit Mantova,28,175 cm,81 kg
1412,Kim DongJu,"Korea, Republic of",Asia,CrossFit Arcade,33,181 cm,187 lb
1413,Keaton Coates,United States,North America East,CrossFit PHP,25,68 in,185 lb
1414,Tristan King,United Kingdom,Europe,CrossFit Stone Towers,27,,
1414,Adrian Magallon,Spain,Europe,Red Grizzly CrossFit,31,172 cm,78 kg
1416,Alexander Gowers,United States,North America East,CrossFit Reston,28,67 in,185 lb
1417,Dirk Attard,Malta,Europe,CrossFit F15,24,,
1418,Diego Kemper,Paraguay,South America,GTC CrossFit,32,183 cm,88 kg
1419,Christian Vega,Mexico,North America West,CrossFit Fury,33,67 in,190 lb
1420,Kane Thornton,United States,North America West,CrossFit Conway,24,71 in,185 lb
1421,Kim Do Geun,"Korea, Republic of",Asia,CrossFit Atlantis,29,,
1422,Vincent Guerra,France,Europe,CrossFit Ekara,31,172 cm,77 kg
1423,Ola Hjelmar,Sweden,Europe,,30,179 cm,76 kg
1424,João Kupper,Brazil,South America,CrossFit 828,25,179 cm,88 kg
1425,Justin Peterson,United States,North America East,CrossFit Green Bay,33,67 in,165 lb
1426,Szymon Urbański,Poland,Europe,,21,175 cm,77 kg
1427,Jonas Reichert,Germany,Europe,CrossFit Biberach an der Riss,29,170 cm,84 kg
1428,Ryusuke Maeda,Japan,Asia,CrossFit ILF,27,,
1428,Kevin Meiners,United States,North America East,Centerville CrossFit,25,71 in,190 lb
1430,Brett Lilley,United Kingdom,Europe,CrossFit Fareham,28,178 cm,88 kg
1431,Hunter Gibbons,Canada,North America East,CrossFit Resurrection,26,69 in,185 lb
1432,Felix Nordqvist,Sweden,Europe,CrossFit Nordic,32,191 cm,100 kg
1433,Miguel Garcia Mahler,Spain,Europe,One Mile CrossFit,18,,
1434,Leonardo Vindas,Costa Rica,North America East,,19,,
1434,Dom Teolis,United States,North America East,CrossFit Cadre,25,66 in,180 lb
1436,Michiel Van Gijzeghem,Belgium,Europe,CrossFit Merchtem,24,192 cm,100 kg
1437,Joshua Perks,United States,North America East,Tarheel CrossFit,32,71 in,205 lb
1437,Pierre Michel,France,Europe,Immanis CrossFit,32,182 cm,90 kg
1439,Taylor King,United States,North America West,Rock Canyon CrossFit,31,,
1440,Travis Tupper,United States,North America West,CrossFit 8035,27,67 in,170 lb
1441,Ryan Lang,United States,North America East,360 Iron CrossFit,29,71 in,200 lb
1442,Michael Miklusicak,United States,North America East,CrossFit Adept,27,69 in,205 lb
1443,Gianmaria Bolognesi,Italy,Europe,CrossFit Bad Beast,27,186 cm,95 kg
1444,Zachary Courtier,United States,North America East,Bark River CrossFit,24,69 in,190 lb
1445,Baptiste Serret,France,Europe,CrossFit United Together,24,172 cm,77 kg
1446,Nicolas Reed,South Africa,Africa,CrossFit Zulu,24,,
1447,Laws Casper,United States,North America West,CrossFit 801,30,74 in,220 lb
1448,Alexander Velez,United States,North America East,,30,67 in,180 lb
1449,Alessandro Vago,Italy,Europe,CrossFit Sevenhead,26,188 cm,84 kg
1450,Camill Leduc,Canada,North America East,CrossFit Gooroo,33,183 cm,205 lb
1451,Matt Pratt,United States,North America East,CrossFit Hype,26,,
1452,Patrick Clapin,Australia,Oceania,CrossFit Generate,33,180 cm,85 kg
1453,Max Jolley,Australia,Oceania,CrossFit Chocolate Box,24,177 cm,83 kg
1454,Alan Sukiennik,Germany,Europe,CrossFit Valens,27,190 cm,102 kg
1455,Jorge García Vitoria,Spain,Europe,STL CrossFit,32,180 cm,92 kg
1456,Michael Worsham,United States,North America East,,32,66 in,165 lb
1457,Brad Shankle,United States,North America West,CrossFit T-Town,34,,
1458,Brandon Segovia,United States,North America East,CrossFit Elmhurst,31,,
1459,Diego Gonzalez Rodriguez,Spain,Europe,STL CrossFit,34,181 cm,92 kg
1460,Gilg Julien,France,Europe,CrossFit Grillen,20,173 cm,75 kg
1461,Axel Gudni Sigurdsson,Iceland,Europe,,25,181 cm,85 kg
1462,Benedict Noffz,Germany,Europe,CrossFit Spree,33,,
1463,Hache Meneses,Mexico,North America West,,30,174 cm,88 kg
1464,Andrea Rindonone,Italy,Europe,,34,174 cm,87 kg
1465,Tim Shields,United States,North America East,,28,71 in,180 lb
1466,Eren Yayla,Turkey,Asia,,21,180 cm,89 kg
1467,Mathis Lasserre,France,Europe,CrossFit Lazuli,24,173 cm,82 kg
1468,Nolan Smith,United States,North America West,University of Nevada CrossFit,22,71 in,190 lb
1469,Max Nimmrichter,Germany,Europe,,25,,
1470,Joshua Tarafa,United States,North America East,CrossFit Soul Miami,38,67 in,180 lb
1471,Bryan Denis,Belgium,Europe,Huy CrossFit,31,185 cm,90 kg
1472,John Clark,United States,North America East,CrossFit Tuebor,26,72 in,194 lb
1473,Keehoon Chung,"Korea, Republic of",Asia,We CrossFit YangJae,29,,
1474,Teddy Briot,France,Europe,CrossFit 571,29,,
1475,Gonzalo Herrera,Costa Rica,North America East,,32,171 cm,81 kg
1476,Jack Fleming,Australia,Oceania,CrossFit Blackburn,24,,
1476,Jean-Mikael Desmarais,Canada,North America East,CrossFit Chicoutimi,32,171 cm,165 lb
1478,Greg Nyhof,Canada,North America East,CrossFit PSC,29,76 in,230 lb
1479,Scott Maynard,United Kingdom,Europe,,29,68 in,77 kg
1480,Mario Kainz,Austria,Europe,CrossFit Kaiserwald,31,183 cm,91 kg
1481,Tryggvi Logason,Iceland,Europe,CrossFit Norður,27,187 cm,100 kg
1482,Daniel Blackwell,United States,North America East,CrossFit Simplicity,33,69 in,170 lb
1483,Alan Genter,United States,North America East,CrossFit East Nashville,32,69 in,195 lb
1483,Matěj Baláž,Czech Republic,Europe,,27,179 in,90 kg
1485,Trey Harris,United States,North America East,CrossFit Belforest,29,69 in,180 lb
1486,Diego Calderon,France,Europe,CrossFit Genas,20,,
1486,Daniel Driver,United States,North America East,,32,74 in,209 lb
1488,Alex Hutchins,United States,North America East,,31,66 in,185 lb
1489,Alex Tomasello,United States,North America East,Branford CrossFit,29,,
1490,Malte Golldack,Germany,Europe,AXT CrossFit,27,,
1491,Kevin Roxstrom,Sweden,Europe,F4L CrossFit,31,186 cm,90 kg
1492,Cameron Gray,Australia,Oceania,CrossFit Highfields,21,188 cm,90 kg
1492,Tyrone Hurst,Australia,Oceania,CrossFit EXF,19,174 cm,75 kg
1494,Beaumont Sinclair,Canada,North America West,CrossFit 306,26,,
1495,Alex Clementson,United Kingdom,Europe,TTZ CrossFit,32,175 cm,81 kg
1496,Tre Trammell,United States,North America East,,23,,
1497,Fabio Frigo,Italy,Europe,CrossFit Marosticana,31,183 cm,87 kg
