,Athlete,Affiliate,Country,Competition,Placement,Region,Division,Division_2,Back Squat,Chad1000x,Clean and Jerk,Deadlift,Fight Gone Bad,Filthy 50,Fran,Grace,Helen,L1 Benchmark,Max Pull-ups,Run 5k,Snatch,Sprint 400m
11,Stephanie Viator,CrossFit Mid-County,,"2023 quarterfinals
857th
North America West",857th,North America West,Women,Women,265 lb,,203 lb,318 lb,353,24:22,3:10,1:54,8:03,,37,23:07,148 lb,1:10
15,Steven Tann,CrossFit Camden,,"2023 open
5052nd
worldwide",5052nd,worldwide,Men,Men (40-44),405 lb,,265 lb,,,,,,,,,,,
36,Jose Serra Costa Neto,Tukaha CrossFit,,,,Brazil,Men,,145 kg,,110 kg,175 kg,,,2:29,2:45,,,70,23:00,90 kg,0:58
37,Bobby Jacoby,,,,,North America West,Men (60-64),,280 lb,,210 lb,375 lb,311,22:30,6:23,4:30,9:42,,25,24:21,155 lb,
44,Aaron Halda,,,,,Southern California,Men,,365 lb,,255 lb,445 lb,,,6:11,2:43,,,,25:11,205 lb,
53,Aaron Seldon,CrossFit Morgantown,,,,Mid Atlantic,Men,,345 lb,,215 lb,435 lb,,24:46,4:50,2:27,8:50,,25,,165 lb,1:05
55,Lindsey Olds,,,,,,,,200 lb,,115 lb,225 lb,,,,,,,15,,100 lb,
58,Arnold Sevilla,CrossFit Route 1,,"2023 open
4334th
worldwide",4334th,worldwide,Men,Men (40-44),345 lb,,215 lb,,,,,,,,,,175 lb,
69,Gerardo Trevino,Vanadium CrossFit,,,,United States,Men,,325 lb,,235 lb,375 lb,390,,3:47,,8:31,,56,20:00,165 lb,
70,Leonard Smith,Emerald City CrossFit,,,,United States,Men,,320 lb,,,400 lb,,,5:36,,,,29,,,
75,Colin Mulder,,,,,North America,Men,,,,,,,,,,,,,17:45,,
83,Amanda Sidell,,,,,,,,235 lb,,145 lb,265 lb,,,,,,,,,115 lb,
91,Rachel Henthorn,CrossFit MF,,,,North America,Women,,230 lb,,175 lb,300 lb,398,,3:17,,,,45,,142 lb,
