,Athlete,Affiliate,Country,Competition,Placement,Region,Division,Division_2,Back Squat,Chad1000x,Clean and Jerk,Deadlift,Fight Gone Bad,Filthy 50,Fran,Grace,Helen,L1 Benchmark,Max Pull-ups,Run 5k,Snatch,Sprint 400m
15391,Dan Miller,,,"2023 games
1st
worldwide",1st,worldwide,Men (65+),Men (65+),377 lb,,215 lb,427 lb,,,5:54,,11:05,,,,145 lb,1:21
15392,Nick Davis,Three Kings CrossFit,,,,North America East,Men,,385 lb,,275 lb,565 lb,,,5:00,1:45,,,30,24:00,185 lb,1:10
15414,Sarah Kate Scott,CrossFit Crash,,,,United States,Women,,245 lb,,175 lb,305 lb,,,2:53,3:16,,,42,25:32,140 lb,
15465,Brett Murio,CrossFit Jigsaw,,"2023 open
3835th
worldwide",3835th,worldwide,Men,Men (50-54),,,185 lb,205 lb,,,,,9:46,,,22:29,150 lb,
15466,Nicola Dal Bo,,,,,,,,195 kg,,145 kg,230 kg,300,,2:31,,,,,25:00,105 kg,
15477,Benedict Gebhardt,CrossFit GenGym,,,,Germany,Men,,352 lb,,205 lb,440 lb,273,,7:43,,,,19,23:50,176 lb,
15493,Todd Mahaffey,,,,,South Central,Men,,475 lb,,245 lb,495 lb,,,5:07,,,,,,,
15495,Alison Wingfield,CrossFit Felix,,"2023 open
6928th
worldwide",6928th,worldwide,Women,Women (35-39),,,115 lb,280 lb,,,,4:37,,,,,85 lb,
15496,Jessica Smith,Stroud CrossFit,,,,United States,Women,,,,130 lb,215 lb,,,,,,,,,90 lb,
15502,Rachel Romano,,,,,South East,Women,,200 lb,,155 lb,290 lb,,,,,,,,,120 lb,
15506,Sarah Edwards,CrossFit Downtown Atlanta,,"2023 open
8221st
worldwide",8221st,worldwide,Women,Women (35-39),105 lb,,125 lb,225 lb,,,,,,,,,75 lb,
15514,Veronica Cardozo Cabrera,Hudson Valley CrossFit,,,,North America,Women,,225 lb,,110 lb,265 lb,,,,,,,,,105 lb,
