,Athlete,Affiliate,Country,Competition,Placement,Region,Division,Division_2,Back Squat,Chad1000x,Clean and Jerk,Deadlift,Fight Gone Bad,Filthy 50,Fran,Grace,Helen,L1 Benchmark,Max Pull-ups,Run 5k,Snatch,Sprint 400m
15196,Cameron Brown,,,"2023 open
1291st
worldwide",1291st,worldwide,Men,Men (50-54),315 lb,,215 lb,325 lb,,,4:55,3:49,,,,,165 lb,
15214,Nicolas Mouysset,,,,,Europe South,Men,,150 kg,,120 kg,195 kg,,,,,,,,,100 kg,
15226,Imelda Nunziato,,,,,Southern California,Women,,115 lb,,105 lb,183 lb,216,38:19,,,,,,28:08,63 lb,
15230,Jonathan Castonguay,,,,,North America,Men,,435 lb,,335 lb,475 lb,,,,1:36,,,30,22:45,255 lb,1:18
15240,Hugo Garcia,,,,,,,,150 kg,,100 kg,190 kg,309,27:39,3:20,2:51,9:01,,,21:20,80 kg,1:08
15254,Daniel Lee,CrossFit Factorial,,,,Asia,Men,,290 lb,,225 lb,335 lb,274,,5:17,3:27,9:05,,,,170 lb,
15260,Jon Neumann,,,,,North America,Men,,250 lb,,,305 lb,,,6:04,3:39,,,,24:55,,
15263,Andrew Thornhill,,,,,Asia,Men,,133 kg,,98 kg,,,,,,,,,,,
15264,Courtney Gravouilla,Ragin' CrossFit,,,,South Central,Men,,335 lb,,225 lb,375 lb,,,4:32,,,,35,,165 lb,1:02
15273,Josh Smithheart,,,,,South Central,Men,,,,,405 lb,,,6:20,,,,,33:56,,
15278,Casey Fuller,CrossFit Combustion,,"2023 open
10698th
worldwide",10698th,worldwide,Men,Men (40-44),,,,,,,,,,,,23:32,,
15301,Rob Honeywood,Shirokuma CrossFit,,"2023 open
9773rd
worldwide",9773rd,worldwide,Men,Men (35-39),120 kg,,100 kg,160 kg,,,3:34,2:57,8:40,,50,,70 kg,
15319,Shelton Lowery,Outsiders CrossFit,,"2023 open
3300th
worldwide",3300th,worldwide,Men,Men (45-49),365 lb,,205 lb,405 lb,334,23:12,2:43,,8:34,,45,27:50,200 lb,1:07
15336,Lucho Piedrahita,B2 CrossFit,,,,Uruguay,Men,,90 lb,,45 lb,90 lb,,,,4:50,,,22,45:00,30 lb,1:30
15352,Gina Biglione,CrossFit Invictus,,"2023 open
586th
worldwide",586th,worldwide,Women (55-59),Women (55-59),210 lb,,130 lb,245 lb,,,,,,,10,,95 lb,
15368,Mandy H. Martin,CrossFit Reston,,"2023 open
508th
worldwide",508th,worldwide,Women,Women (50-54),212 lb,,155 lb,302 lb,,,4:54,2:45,12:11,,,,115 lb,
15374,Julie Brewster,BayState CrossFit,,,,North America,Women,,200 lb,,130 lb,255 lb,,,4:00,3:26,9:21,,,,105 lb,
15386,Heidi Laurila,XO CrossFit,,"2023 open
1278th
worldwide",1278th,worldwide,Women,Women (45-49),120 kg,,75 kg,143 kg,,,,,,,15,,55 kg,
15387,Tamara Goodes,Injustice CrossFit,,,,Oceania,Women,,115 kg,,93 kg,125 kg,,,2:50,,,,,27:00,73 kg,
15390,Robert Anderson,CrossFit Augusta,,,,North America East,Men,,355 lb,,285 lb,,366,,2:32,,,,,,225 lb,
15419,Chris Welch,Solution 1 CrossFit,,"2023 quarterfinals
1514th
worldwide",1514th,worldwide,Men,Men (35-39),355 lb,,275 lb,500 lb,,,3:26,3:06,,,,,205 lb,
15433,Harsha Kantharaju,CrossFit Shear Force,,,,India,Men,,405 lb,,275 lb,495 lb,,,3:35,2:19,10:58,,21,28:51,225 lb,
15450,Mary Dempsey,CrossFit 1654,,"2023 open
7761st
worldwide",7761st,worldwide,Women,Women,320 lb,101:36,195 lb,370 lb,,,,,,,,,155 lb,
15459,Kristopher Klann,CrossFit Fate,,,,North America,Men,,450 lb,,295 lb,550 lb,,,,,,,40,,205 lb,1:10
15494,Alex Wagner,CrossFit Hendersonville,,,,North America East,Men,,4 lb,,1 lb,3 lb,,,,,,,,,2 lb,
15510,Kasey Boyd-Smith,CrossFit Hog Town,,,,North America,Women,,225 lb,,,,,,,,,,,,115 lb,
15519,Katie Wanzer,Kettle Moraine CrossFit,,,,North America,Women,,175 lb,,145 lb,225 lb,,,,,,,,26:54,75 lb,
15541,Carlos Escalante,,,,,North America,Men,,335 lb,,255 lb,405 lb,,,3:30,,,,,20:00,205 lb,1:00
15601,Kari Midgett,CrossFit Mt Juliet,,,,United States,Women,,205 lb,,155 lb,255 lb,277,,9:17,7:08,11:26,,,27:10,120 lb,
15619,Leslie Sparkes,Groundworx CrossFit,,"2023 open
4923rd
worldwide",4923rd,worldwide,Women,Women (35-39),205 lb,,145 lb,300 lb,315,,6:26,,,,,,107 lb,
15620,Mark Raney Jr,,,,,South East,Men,,,,125 lb,240 lb,,,,,,,,,110 lb,
15630,Rachael Leonard,,,,,Mid Atlantic,Women,,255 lb,,180 lb,306 lb,299,30:00,5:14,2:28,12:16,,,,130 lb,
15634,Conor Staples,MBS CrossFit,,,,North America,Men,,325 lb,,255 lb,470 lb,376,,2:59,2:30,8:05,,50,21:01,195 lb,1:00
15643,Jennifer Steiger,CrossFit Move Fast Lift Heavy,,,,North America East,Women,,205 lb,,165 lb,275 lb,,,,,,,7,27:00,125 lb,
15649,Rob Sangiamo,Hudson River CrossFit,,,,United States,Men,,,,155 lb,,,,,,,,,,,
15665,Kelli Spurlock,CrossFit Notorious,,,,North Central,Women,,255 lb,,195 lb,335 lb,,,6:59,2:27,,,,,145 lb,
15675,David Evangelista,CrossFit SPT,,,,North America West,Men,,250 lb,,190 lb,325 lb,255,,7:24,3:59,12:11,,30,,135 lb,1:30
15682,Josh Adams,,,,,South East,Men,,295 lb,,225 lb,385 lb,242,45:00,6:56,3:33,12:24,,40,,175 lb,1:23
15698,David Stewart,CrossFit Lansdale (departed),,,,Mid Atlantic,Men,,275 lb,,215 lb,385 lb,120,30:00,8:40,15:00,15:00,,12,38:00,125 lb,2:00
15699,Eric Anderson,,,,,Mid Atlantic,Men,,365 lb,,225 lb,425 lb,,,,,,,,,185 lb,
