,Athlete,Affiliate,Country,Competition,Placement,Region,Division,Division_2,Back Squat,Chad1000x,Clean and Jerk,Deadlift,Fight Gone Bad,Filthy 50,Fran,Grace,Helen,L1 Benchmark,Max Pull-ups,Run 5k,Snatch,Sprint 400m
27,Andrew Sicard,CrossFit St. Landry,,"2023 open
6994th
worldwide",6994th,worldwide,Men,Men (35-39),365 lb,,,405 lb,,,,,,,,,,
47,Lauren Wooten,,,,,North America,Women,,150 lb,,,145 lb,,,9:07,,,,,31:41,,
48,Jimmy Slebic,CrossFit Borgen,,"2023 open
5962nd
worldwide",5962nd,worldwide,Men,Men (40-44),135 kg,,102 kg,160 kg,,,5:49,,,,,,80 kg,
56,Tommaso Rinaldi,,,,,,,,150 kg,,100 kg,200 kg,,,,,,,,,85 kg,
57,Michaelle Negra,CrossFit Cedar Grove,,,,North America,Women,,210 lb,,155 lb,265 lb,,,,,,,,,125 lb,
61,Lee Mullin,CrossFit River Mersey,,,,United Kingdom,Men,,180 kg,,127 kg,230 kg,,,2:31,,,,,20:20,95 kg,
67,Sawyer Bates,Yellowhammer CrossFit,,"2023 quarterfinals
2132nd
North America East",2132nd,North America East,Men,Men,405 lb,,325 lb,455 lb,,,,,,,,,250 lb,
76,Andy Long,NoCoast CrossFit,,,,United States,Men,,385 lb,,245 lb,445 lb,300,,5:27,2:32,10:19,,,,200 lb,
82,Christopher Rowe,12 Labours CrossFit,,,,United States,Men,,315 lb,,185 lb,365 lb,,,,,,,,,145 lb,
86,Dylan Brendle,CrossFit Lynchburg,,"2023 quarterfinals
1875th
North America East",1875th,North America East,Men,Men,375 lb,,275 lb,425 lb,,,3:20,6:22,,,53,16:17,217 lb,0:55
90,James Crouch,CrossFit 313,,,,North America,Men,,435 lb,,305 lb,535 lb,334,25:24,2:59,2:35,9:58,,,,257 lb,
93,Leigh-teagan Wilde,CrossFit TMA,,,,Oceania,Women,,140 kg,,,183 kg,,,,,,,9,37:10,,
104,David Schoning,CrossFit Spero,,,,North America,Men,,308 lb,,205 lb,400 lb,307,27:27,5:45,3:15,9:22,,,,140 lb,
105,Kelly Swift,Power Pack CrossFit,,"2023 open
5971st
worldwide",5971st,worldwide,Women,Women (40-44),200 lb,,130 lb,215 lb,,,7:22,,9:42,,,,100 lb,1:29
122,Mike Bowman,CrossFit Maricopa,,,,North America,Men,,300 lb,,185 lb,360 lb,220,,8:53,4:56,12:51,,,,155 lb,1:24
132,Joshua Wilder,CrossFit 4165,,,,Australia,Men,,150 kg,,90 kg,210 kg,,30:08,4:17,,9:35,,45,23:00,70 kg,
145,Melissa Melton,CrossFit Blade,,,,United States,Women,,240 lb,,160 lb,305 lb,,,,,,,,,120 lb,
148,Debra Hunt,CrossFit Torsion,,,,North America,Women,,165 lb,,,215 lb,,,,3:26,,,,,80 lb,
156,Erez Bredmehl,,,,,North America,Men,,395 lb,,,410 lb,,,,2:25,,,,,,
181,Anthony Flores,CrossFit Unrivaled,,,,United States,Men,,475 lb,,270 lb,505 lb,,,,,,,,,190 lb,
202,Joseph Moreno,,,,,North America,Men,,315 lb,,,385 lb,,,,,,,,,,
215,Vitor Oya,Barao CrossFit,,,,South America,Men,,150 kg,,122 kg,180 kg,,,,,,,,24:30,100 kg,
230,Brent Ruuska,CrossFit Duluth,,,,North America,Men,,335 lb,,185 lb,350 lb,,,,,,,,28:58,165 lb,
233,Katie Lastinger,CrossFit Pace Patriot Pride,,"2023 open
4219th
worldwide",4219th,worldwide,Women,Women (40-44),,,155 lb,205 lb,248,,5:05,4:01,12:24,,21,23:55,125 lb,
257,Laura Bell,Eat Sleep CrossFit,,"2023 open
9397th
worldwide",9397th,worldwide,Women,Women (40-44),250 lb,,180 lb,270 lb,,,,,,,,,110 lb,
266,Jennifer Kirby,Sigma CrossFit,,,,South Central,Women,,210 lb,,,275 lb,,,,,,,,,,
273,Bre McNally,CrossFit Mettle and Honor,,"2023 open
51514th
worldwide",51514th,worldwide,Women,Women,260 lb,,200 lb,340 lb,217,,6:02,3:15,18:12,,,,140 lb,2:00
286,Susie Su,Ballston CrossFit,,,,North America,Women,,,,,,,,2:16,,,,,,,
291,Bill Perkins,Sherwood CrossFit,,"2023 open
609th
worldwide",609th,worldwide,Men (65+),Men (65+),250 lb,,165 lb,365 lb,202,,8:42,4:15,,,7,41:00,135 lb,2:12
297,Tracey Perkins,Sherwood CrossFit,,,,North America,Women,,,,115 lb,,,,,,,,,,,
302,Stephanie Blozy,CrossFit Override,,"2023 quarterfinals
317th
worldwide",317th,worldwide,Women,Women (50-54),225 lb,,130 lb,255 lb,,27:00,5:36,,10:22,,12,25:10,90 lb,1:34
303,Beth McCready,,,"2023 open
6210th
worldwide",6210th,worldwide,Women,Women (45-49),205 lb,,,265 lb,,,,,,,,,,
