,Athlete,Affiliate,Country,Competition,Placement,Region,Division,Division_2,Back Squat,Chad1000x,Clean and Jerk,Deadlift,Fight Gone Bad,Filthy 50,Fran,Grace,Helen,L1 Benchmark,Max Pull-ups,Run 5k,Snatch,Sprint 400m
22,Tom Zurell,,,,,,,,425 lb,,225 lb,425 lb,223,,6:11,,,,,,185 lb,
55,Jessica McHenry,Baker CrossFit,,"2023 quarterfinals
1123rd
worldwide",1123rd,worldwide,Women,Women (35-39),220 lb,,175 lb,255 lb,,,4:54,3:56,,,,25:23,140 lb,1:37
56,Tyler Tait,Bedrock CrossFit,,"2023 quarterfinals
974th
North America West",974th,North America West,Men,Men,,,260 lb,415 lb,,,,,,,,,210 lb,
65,Jacob LaRue,CrossFit Stars and Bars,,"2023 quarterfinals
655th
North America East",655th,North America East,Men,Men,,,,465 lb,,,,,,,50,,,0:59
77,Ben Harvey,CrossFit 5000,,,,Oceania,Men,,120 kg,,72 kg,170 kg,,,,,,,10,31:36,50 kg,
89,Megan Hankes,Wine Country CrossFit,,,,North America West,Women,,285 lb,,170 lb,315 lb,,,,2:22,,,,,125 lb,
108,Guido Mol,CrossFit Harderwijk,,"2023 open
25047th
worldwide",25047th,worldwide,Men,Men,,,116 kg,195 kg,,,,,,,,,95 kg,
127,Barbara Antonacci,CrossFit Lambrate,,"2023 open
3167th
worldwide",3167th,worldwide,Women (55-59),Women (55-59),44 kg,,25 kg,60 kg,,,,,,,,28:04,20 kg,
129,Dan Goodman,CrossFit East River,,"2023 open
7611th
worldwide",7611th,worldwide,Men,Men (40-44),400 lb,,,,,,,,,,,,,1:10
130,Karen Blankenship,,,,,North America East,Women,,200 lb,,115 lb,235 lb,,,,,,,,,,
132,Lukas Hamáček,CrossFit Kempten,,,,Germany,Men,,,,,,,,,,,,,,80 kg,
144,Ivan Espinoza,CrossFit 3640,,,,"Bolivia, Plurinational State of",Men,,135 kg,,96 kg,170 kg,,,7:18,,,,,27:00,70 kg,1:53
169,Shaun Bailey,CrossFit Solstice,,"2023 open
7144th
worldwide",7144th,worldwide,Men,Men (40-44),325 lb,,247 lb,375 lb,,,5:30,2:27,10:25,,25,,195 lb,1:25
