,Athlete,Affiliate,Country,Competition,Placement,Region,Division,Division_2,Back Squat,Chad1000x,Clean and Jerk,Deadlift,Fight Gone Bad,Filthy 50,Fran,Grace,Helen,L1 Benchmark,Max Pull-ups,Run 5k,Snatch,Sprint 400m
8,Christopher Holt,CrossFit EMC,,,,North America,Men,,365 lb,,245 lb,415 lb,376,21:33,2:55,2:59,8:06,,66,,185 lb,
9,Savannah Hayes,,,,,Central East,Women,,225 lb,,175 lb,275 lb,252,26:02,5:29,2:53,11:08,,24,27:29,148 lb,1:06
37,Lisa McNeil,CrossFit Ironstone,,"2023 quarterfinals
492nd
worldwide",492nd,worldwide,Women,Women (35-39),335 lb,,215 lb,400 lb,,,,,,,,,155 lb,
53,Daniel Colson,CrossFit Rockford,,,,North America East,Men,,395 lb,,260 lb,465 lb,402,21:23,2:57,2:08,8:28,,50,24:00,195 lb,1:19
56,Fernando Dominicis,CrossFit Route 3,,"2023 open
8827th
worldwide",8827th,worldwide,Men,Men,365 lb,,300 lb,436 lb,,,,,8:28,,,19:06,225 lb,0:52
66,Jacqueline Miranda,Aloha Kihei CrossFit,,"2023 open
138th
worldwide",138th,worldwide,Women (60-64),Women (60-64),175 lb,,135 lb,250 lb,,,,,,,,,95 lb,
67,Keith Brown,,,,,North East,Men (45-49),,275 lb,,230 lb,400 lb,326,23:20,4:50,4:37,10:24,,47,27:30,145 lb,1:30
70,Paul Araujo,,,,,Canada East,Men,,300 lb,,230 lb,400 lb,343,19:25,4:15,3:46,8:23,,38,19:30,155 lb,0:57
72,Ali Nichols,CrossFit Verve,,,,South West,Women,,235 lb,,165 lb,305 lb,,,,2:19,,,,,120 lb,
84,Kyla Evers,CrossFit 808,,,,Northern California,Women,,273 lb,,235 lb,365 lb,362,,2:53,1:30,,,40,,173 lb,
85,Sean McEachern,,,,,South Central,Men,,425 lb,,320 lb,505 lb,405,16:32,3:47,,,,,17:32,265 lb,
93,Craig Williams,Mount Vernon CrossFit,,,,North America,Men,,465 lb,,365 lb,565 lb,455,,2:09,1:15,7:04,,,19:37,300 lb,1:00
94,Marcus Lowther,CrossFit Tysons Corner,,"2023 open
12129th
worldwide",12129th,worldwide,Men,Men (35-39),320 lb,,220 lb,415 lb,308,25:55,4:55,3:29,8:28,,27,21:20,160 lb,1:02
97,Brandon Jackson,CrossFit Valley Park,,,,North Central,Men,,355 lb,,275 lb,420 lb,339,,3:30,2:50,,,48,,210 lb,
106,Antoinette Howell,Finish Strong CrossFit,,,,North America,Women,,240 lb,,155 lb,305 lb,,,,2:38,11:03,,,23:51,120 lb,
109,Christina Yung,CrossFit Milpitas,,"2023 open
8144th
worldwide",8144th,worldwide,Women,Women (40-44),225 lb,,135 lb,321 lb,250,34:22,6:39,4:50,13:00,,,,95 lb,
114,Mike Hammel,CrossFit Fayetteville,,"2023 open
15407th
worldwide",15407th,worldwide,Men,Men (35-39),315 lb,,215 lb,385 lb,,28:30,3:34,4:53,8:10,,,,165 lb,
116,Nick Zelinski,CrossFit Addison,,"2023 quarterfinals
464th
worldwide",464th,worldwide,Men,Men (35-39),375 lb,,295 lb,510 lb,416,21:55,2:31,1:42,7:52,,,,220 lb,
120,Justin Rihn,CrossFit Reston,,"2023 open
5868th
worldwide",5868th,worldwide,Men,Men (40-44),315 lb,,225 lb,440 lb,330,20:34,4:15,2:23,10:00,,,22:57,175 lb,1:35
123,Trent Lane,CrossFit Currie Barracks,,"2023 quarterfinals
378th
worldwide",378th,worldwide,Men,Men (50-54),350 lb,,235 lb,415 lb,341,,4:08,3:08,,,,23:52,180 lb,
132,Lisa Wan,CrossFit Movida,,"2023 open
278th
worldwide",278th,worldwide,Women,Women (45-49),120 kg,,80 kg,150 kg,,,3:41,1:48,,,,23:15,68 kg,
136,Brian Smithson,CrossFit Springfield,,,,North Central,Men,,375 lb,,275 lb,435 lb,406,,2:39,,8:33,,,,215 lb,
150,Christian d'Astoli,CrossFit Athletic,,"2023 open
4755th
worldwide",4755th,worldwide,Men,Men (40-44),350 lb,,250 lb,352 lb,,,3:16,,,,35,17:47,195 lb,
153,Drew Felty,CrossFit Reaction,,,,South East,Men,,275 lb,,195 lb,405 lb,292,28:49,7:31,5:05,10:18,,33,24:05,165 lb,1:08
166,Tyler Caudle,,,,,South East,Men,,80 kg,,70 kg,110 kg,,19:00,6:50,,,,26,21:00,45 kg,1:10
167,Rob Carlyle,,,,,South East,Men,,154 kg,,97 kg,180 kg,,,3:45,,,,,20:39,60 kg,1:15
171,Doss Mackey,CrossFit Weddington,,"2023 open
5357th
worldwide",5357th,worldwide,Men,Men,460 lb,,305 lb,515 lb,412,16:00,2:45,1:39,8:52,,50,22:00,230 lb,1:10
172,Sandy Woods,CrossFit Composure,,,,North America West,Women (55-59),,200 lb,,140 lb,270 lb,228,34:17,,3:33,,,,28:02,105 lb,1:41
176,Jodie Peyton,Axiom CrossFit,,,,North America,Women (55-59),,265 lb,,155 lb,265 lb,305,,4:00,,7:10,,20,18:03,110 lb,
177,Andrew Cipriano,,,,,North East,Men,,305 lb,,225 lb,375 lb,315,,5:45,,,,,23:45,135 lb,
178,Benedict Hudson,CrossFit New Hampton,,,,United States,Men,,340 lb,,245 lb,480 lb,352,,2:26,,8:01,,22,20:55,175 lb,1:07
180,Stacie Horne-Young,CrossFit Spartanburg,,,,North America,Women,,245 lb,,175 lb,270 lb,290,,,,,,,,125 lb,1:10
188,Michael Hudson,,,,,North West,Men,,355 lb,,230 lb,415 lb,433,17:16,2:24,2:44,7:14,,56,20:01,3 lb,
192,Justin Wade,CrossFit 423,,,,North America East,Men,,13 kg,,248 kg,120 kg,978,96:55,17:42,1:00,49:16,,438,45:01,,2:59
194,Edward Conway,3F CrossFit,,,,North America,Men,,380 lb,,320 lb,485 lb,34,30:00,15:29,12:00,18:15,,35,45:32,265 lb,3:01
196,Amanda Chavez,,,,,Northern California,Women,,250 lb,,160 lb,305 lb,,26:40,5:59,3:32,10:43,,,23:12,110 lb,1:29
197,Michael Durst,,,,,Canada East,Men,,375 lb,,285 lb,,,,,,,,,,205 lb,
203,Harold Garcia,,,,,Latin America,Men,,355 lb,,265 lb,465 lb,,,,,,,,,205 lb,
206,Tim Adkins,,,,,Mid Atlantic,Men,,,,240 lb,465 lb,,24:58,4:16,3:01,,,47,23:51,174 lb,
