,Athlete,Affiliate,Country,Competition,Placement,Region,Division,Division_2,Back Squat,Chad1000x,Clean and Jerk,Deadlift,Fight Gone Bad,Filthy 50,Fran,Grace,Helen,L1 Benchmark,Max Pull-ups,Run 5k,Snatch,Sprint 400m
0,Lin Yi,CrossFit Jaakarhu,,,,South Central,Men,,,,,,,,,,,,30,,,
4,Adam Reed,,,,,Northern California,Men,,225 lb,,175 lb,280 lb,,,,,,,2,24:00,,1:22
6,Ryan Johnston,,,,,Northern California,Men,,330 lb,,215 lb,450 lb,322,23:26,3:02,2:26,,,,19:22,195 lb,
8,Justin Bergh,Koda CrossFit Iron View,,"2023 open
4107th
worldwide",4107th,worldwide,Men,Men (40-44),335 lb,,265 lb,415 lb,393,21:27,3:46,2:54,8:16,,32,22:05,210 lb,1:04
9,Lindsey Bergh,,,,,West Coast,Women,,,,145 lb,210 lb,,,,,,,31,,,
10,Cary Hair,CrossFit Roots,,"2023 open
2198th
worldwide",2198th,worldwide,Men,Men (35-39),455 lb,,315 lb,518 lb,407,18:23,2:20,1:49,7:28,,54,21:34,265 lb,0:54
12,Susannah Dy,,,,,,,,180 lb,,125 lb,265 lb,,,,,,,,,85 lb,
14,Tim Chan,CrossFit SoCal,,"2023 open
4336th
worldwide",4336th,worldwide,Men,Men (50-54),225 lb,,205 lb,305 lb,,27:41,4:22,4:41,10:45,,35,,155 lb,
15,Leif Edmundson,Telluride CrossFit,,,,North America,Men,,305 lb,,235 lb,355 lb,403,25:00,3:40,2:34,8:13,,45,20:39,185 lb,1:02
16,Jason Rosensteel,,,,,,,,330 lb,,230 lb,435 lb,,,6:49,3:26,,,24,21:02,135 lb,0:52
18,Jenna Cannon,,,,,Northern California,Women,,143 lb,,115 lb,180 lb,,22:44,6:59,6:24,17:30,,28,25:53,85 lb,
