,Athlete,Affiliate,Country,Competition,Placement,Region,Division,Division_2,Back Squat,Chad1000x,Clean and Jerk,Deadlift,Fight Gone Bad,Filthy 50,Fran,Grace,Helen,L1 Benchmark,Max Pull-ups,Run 5k,Snatch,Sprint 400m
18,Jeff Cowen,CrossFit SEO,,,,North America,Men,,,,185 lb,315 lb,,,,,,,,,125 lb,
19,Michael Miles,CrossFit Topo,,"2023 quarterfinals
41st
worldwide",41st,worldwide,Men,Men (50-54),430 lb,,290 lb,465 lb,302,,2:58,2:26,,,40,,220 lb,
33,Christy Harlander,,,,,North East,Women,,225 lb,,,275 lb,298,,6:18,,,,,,,
45,Christopher Mada,CrossFit Playground,,,,North America East,Men,,285 lb,,195 lb,375 lb,281,31:09,,3:41,11:09,,22,26:14,135 lb,1:26
46,Fernando Garza,,,,,South Central,Men,,375 lb,,265 lb,455 lb,,,,,,,,,195 lb,
55,Jackie Cottone,CrossFit Amarillo,,,,South Central,Women,,248 lb,,175 lb,260 lb,234,,5:32,,,,,,138 lb,
63,Shawn Westrick,,,,,Southern California,Men,,285 lb,,165 lb,385 lb,,,,,,,,22:39,115 lb,
68,Enrique Mier,,,,,Latin America,Men,,365 lb,,275 lb,415 lb,301,27:14,3:40,3:36,8:13,,46,,205 lb,1:37
69,David Choma,CrossFit Strongsville,,,,United States,Men,,415 lb,,270 lb,545 lb,314,29:18,3:39,3:09,10:42,,32,25:29,205 lb,1:22
72,Tracey Rauer,CrossFit Empire South,,,,South East,Women,,255 lb,,150 lb,245 lb,312,27:00,5:01,3:02,10:23,,20,7:38,110 lb,
79,Laura Brannen,CrossFit Boro,,,,United States,Women,,245 lb,,190 lb,280 lb,,,,,,,,,160 lb,
91,Matthew Flores,,,,,North Central,Men,,265 lb,,,315 lb,,19:15,3:50,,,,25,,,
92,Alex Vachon,CrossFit Issaquah,,"2023 open
6356th
worldwide",6356th,worldwide,Men,Men (40-44),335 lb,,225 lb,435 lb,487,25:47,4:26,3:12,9:49,,30,20:22,160 lb,
95,Sadee  Jones,,,,,North West,Women,,300 lb,,,315 lb,,,,,,,,,135 lb,
103,Daniel Krieger,Styrka CrossFit,,,,Europe North,Men,,125 kg,,90 kg,173 kg,,29:08,5:50,7:29,9:55,,,,60 kg,
104,Bryan Howell,Reservoir CrossFit,,,,South Central,Men,,385 lb,,265 lb,435 lb,353,22:46,3:00,2:39,8:40,,48,,220 lb,
109,Lauren Lees,CrossFit Dog Fight,,"2023 open
64723rd
worldwide",64723rd,worldwide,Women,Women,300 lb,,195 lb,300 lb,,,,,,,4,,125 lb,
124,Megan Moore,The Pack CrossFit,,"2023 open
7474th
worldwide",7474th,worldwide,Women,Women (40-44),230 lb,,155 lb,255 lb,,,,,,,,,95 lb,
133,Philip Burch,,,,,South Central,Men,,455 lb,,,500 lb,,,5:40,2:47,,,,,185 lb,
145,Joshua Mack,CrossFit Apollo,,,,North America West,Men,,260 lb,,205 lb,335 lb,331,,6:54,3:29,14:05,,25,20:52,145 lb,
151,Sarah Viets,SinCity CrossFit,,,,North America,Women,,300 lb,,235 lb,315 lb,383,28:48,2:21,1:32,8:09,,60,21:35,200 lb,1:03
163,Miguel Buenrostro,,,,,Northern California,Men,,305 lb,,215 lb,385 lb,259,29:52,4:40,4:28,9:10,,42,,135 lb,
171,Benjamin Vincent,CrossFit Spa City,,,,North America,Men,,350 lb,,215 lb,345 lb,230,31:51,5:20,4:11,11:30,,,,185 lb,
182,Sam Woodhead,Black Jack CrossFit,,"2023 quarterfinals
887th
worldwide",887th,worldwide,Men,Men (45-49),305 lb,79:47,255 lb,440 lb,302,23:38,4:24,2:15,9:09,,30,,185 lb,1:09
184,Matthew Miller,CrossFit Wheelhouse,,,,North America,Men,,385 lb,,265 lb,455 lb,,,3:28,2:22,,,,,205 lb,
186,Rhonda McMichael,,,,,North America,Women (60-64),,135 lb,,55 lb,185 lb,,,,3:40,13:32,,,,45 lb,
189,Tiffany Snow,CrossFit Sea Dog,,,,North America,Women,,305 lb,,200 lb,305 lb,297,,7:04,1:51,15:14,,,,140 lb,
202,Royce Spear,CrossFit Sav-up,,"2023 open
527th
worldwide",527th,worldwide,Men,Men (50-54),,,225 lb,315 lb,300,,3:47,2:41,9:08,,,22:26,170 lb,
205,Joshua Bednorz,BackCountry CrossFit,,,,South West,Men,,405 lb,,275 lb,470 lb,,,,,,,,,245 lb,
224,Jason Russo,,,,,North Central,Men,,215 lb,,185 lb,320 lb,210,28:48,6:10,6:31,11:13,,,,135 lb,
226,keziah Campbell,,,"2023 quarterfinals
233rd
worldwide",233rd,worldwide,Women,Women (35-39),120 kg,,90 kg,130 kg,,,,,,,20,22:50,73 kg,
234,Janet Turner,CrossFit Homewood,,,,United States,Women,,155 lb,,110 lb,235 lb,251,27:21,8:51,6:30,,,22,,80 lb,
240,Jason Smith,,,,,Mid Atlantic,Men,,325 lb,,230 lb,445 lb,264,,,2:16,,,26,23:47,175 lb,
245,Alexes Egea,CrossFit VU,,,,North America East,Men,,415 lb,,325 lb,500 lb,,,3:14,3:17,8:02,,,22:30,245 lb,1:09
247,Brent Tiesma,West London CrossFit,,,,Canada,Men,,320 lb,,200 lb,405 lb,,,5:00,6:00,,,,,145 lb,
251,Ryan Wilson,Warrior CrossFit Muscatine,,,,United States,Men,,405 lb,,300 lb,505 lb,256,35:47,3:48,4:32,11:31,,21,22:14,235 lb,
256,Katie Walker,,,,,North Central,Women,,213 lb,,153 lb,313 lb,,,7:13,,,,,,113 lb,
265,Stephen Macioci,CrossFit Ignite,,,,North America East,Men,,325 lb,,235 lb,355 lb,,,,,,,,,165 lb,
289,Tiffany Shipp,CrossFit Rutherford,,,,North America,Women,,145 lb,,105 lb,215 lb,,34:32,8:21,,12:29,,11,26:00,70 lb,1:19
