pc11_state_id,pc11_district_id,new_cases,new_deaths,total_cases,total_deaths,date
01,002,0,0,2,0,31mar2020
01,002,0,0,2,0,01apr2020
01,002,0,0,2,0,02apr2020
01,002,0,0,2,0,03apr2020
01,002,0,0,2,0,04apr2020
01,002,0,0,2,0,05apr2020
01,002,0,0,2,0,06apr2020
01,002,0,0,2,0,07apr2020
01,002,9,0,11,0,08apr2020
01,002,0,0,11,0,09apr2020
01,002,0,0,11,0,10apr2020
01,002,1,0,12,0,11apr2020
01,002,0,0,12,0,12apr2020
01,002,0,0,12,0,13apr2020
01,002,0,0,12,0,14apr2020
01,002,0,0,12,0,15apr2020
01,002,1,0,13,0,16apr2020
01,002,0,0,13,0,17apr2020
01,002,1,0,14,0,18apr2020
01,002,0,0,14,0,19apr2020
01,002,0,0,14,0,20apr2020
01,002,0,0,14,0,21apr2020
01,002,0,0,14,0,22apr2020
01,002,1,0,15,0,23apr2020
01,002,0,0,15,0,24apr2020
01,002,0,0,15,0,25apr2020
01,002,0,0,15,0,26apr2020
01,006,0,0,0,0,30jan2020
01,006,0,0,0,0,02feb2020
01,006,0,0,0,0,03feb2020
01,006,0,0,0,0,02mar2020
01,006,0,0,0,0,03mar2020
01,006,0,0,0,0,04mar2020
01,006,0,0,0,0,05mar2020
01,006,0,0,0,0,06mar2020
01,006,0,0,0,0,07mar2020
01,006,0,0,0,0,08mar2020
01,006,0,0,0,0,09mar2020
01,006,0,0,0,0,10mar2020
01,006,0,0,0,0,11mar2020
01,006,0,0,0,0,12mar2020
01,006,0,0,0,0,13mar2020
01,006,0,0,0,0,14mar2020
01,006,0,0,0,0,15mar2020
01,006,0,0,0,0,16mar2020
01,006,0,0,0,0,17mar2020
01,006,0,0,0,0,18mar2020
01,006,0,0,0,0,19mar2020
01,006,0,0,0,0,20mar2020
01,006,0,0,0,0,21mar2020
01,006,0,0,0,0,22mar2020
01,006,0,0,0,0,23mar2020
01,006,0,0,0,0,24mar2020
01,006,0,0,0,0,25mar2020
01,006,1,0,1,0,26mar2020
01,006,2,0,3,0,27mar2020
01,006,0,0,3,0,28mar2020
01,006,0,0,3,0,29mar2020
01,006,0,0,3,0,30mar2020
01,006,0,0,3,0,31mar2020
01,006,0,0,3,0,01apr2020
01,006,0,0,3,0,02apr2020
01,006,0,0,3,0,03apr2020
01,006,0,0,3,0,04apr2020
01,006,0,0,3,0,05apr2020
01,006,0,0,3,0,06apr2020
01,006,0,0,3,0,07apr2020
01,006,0,0,3,0,08apr2020
01,006,0,0,3,0,09apr2020
01,006,0,0,3,0,10apr2020
01,006,0,0,3,0,11apr2020
01,006,0,0,3,0,12apr2020
01,006,0,0,3,0,13apr2020
01,006,0,0,3,0,14apr2020
01,006,0,0,3,0,15apr2020
01,006,0,0,3,0,16apr2020
01,006,0,0,3,0,17apr2020
01,006,0,0,3,0,18apr2020
01,006,1,0,4,0,19apr2020
01,006,0,0,4,0,20apr2020
01,006,0,0,4,0,21apr2020
01,006,0,0,4,0,22apr2020
01,006,0,0,4,0,23apr2020
01,006,0,0,4,0,24apr2020
01,006,0,0,4,0,25apr2020
01,006,0,0,4,0,26apr2020
01,007,0,0,0,0,30jan2020
01,007,0,0,0,0,02feb2020
01,007,0,0,0,0,03feb2020
01,007,0,0,0,0,02mar2020
01,007,0,0,0,0,03mar2020
01,007,0,0,0,0,04mar2020
01,007,0,0,0,0,05mar2020
01,007,0,0,0,0,06mar2020
01,007,0,0,0,0,07mar2020
01,007,0,0,0,0,08mar2020
01,007,0,0,0,0,09mar2020
01,007,0,0,0,0,10mar2020
01,007,0,0,0,0,11mar2020
01,007,0,0,0,0,12mar2020
01,007,0,0,0,0,13mar2020
01,007,0,0,0,0,14mar2020
01,007,0,0,0,0,15mar2020
01,007,0,0,0,0,16mar2020
01,007,0,0,0,0,17mar2020
