Athlete,Affiliate,Country,Region,Division,Rank,Games_Level,Qualifier,Back Squat (lbs),Clean and Jerk (lbs),Deadlift (lbs),Snatch (lbs),Fight Gone Bad,Max Pull-ups,Chad1000x (s),L1 Benchmark (s),Filthy 50 (s),Fran (s),Grace (s),Helen (s),Run 5k (s),Sprint 400m (s)
Claire Wolfert,CrossFit Munich,,Europe,Women,373,Europe,quarterfinals,242.5082,167.55112,306.44218,132.2772,,17,,,,185,174,,1267,
Javier Arencibia,CrossFit Syracuse,,North America East,Men,373,North America East,quarterfinals,425,345,525,270,,61,,,,128,,,,60
Gabriel Duus,Maltese CrossFit,,North America West,Men,373,North America West,quarterfinals,425,330,505,265,,,,,,,,,,
Patrick Fitzsimons,EPT CrossFit,,Oceania,Men,374,Oceania,quarterfinals,418.8778,319.6699,562.1781,253.5313,,,,,,145,,,,
Julio Rodriguez Jr.,CrossFit Anavah,,North America West,Men,374,North America West,quarterfinals,455,315,575,255,,,,,,,,,,
Gage Greenfield,CrossFit Löwe,,North America West,Men,374,North America West,quarterfinals,385,297,505,225,,,,,,,,,,
Brielle Carter,CrossFit Dixie,,North America West,Women,375,North America West,quarterfinals,365,260,335,210,,40,,,,176,,,,
Kara Barbetto,CrossFit Covalence,,North America East,Women,375,North America East,quarterfinals,235,180,295,165,,,,,,,,,,
Nerome Kuninaga,CrossFit Hizen,,Asia,Men,376,Asia,quarterfinals,395,265,400,225,,,,,,179,,,1735,
Marcis Mucenieks,CrossFit Riga,,Europe,Men,376,Europe,quarterfinals,396.8316,319.6699,515.88108,253.5313,,60,,,,155,200,,1200,52
Alexander Gowers,CrossFit Reston,,North America East,Men,376,North America East,quarterfinals,385,300,500,255,,50,,172,1215,128,99,450,1167,61
Ryan Lang,360 Iron CrossFit,,North America East,Men,377,North America East,quarterfinals,415,315,485,265,,50,,,,150,120,,1272,59
Dina Skou Gravsen,CrossFit Holstebro,,Europe,Women,377,Europe,quarterfinals,220.462,187.3927,324.07914,125.66334,352,34,,,1110,210,173,,,80
Diego Flores,CrossFit Entrena-T,,North America West,Men,377,North America West,quarterfinals,447,345,527,270,,79,,,,131,,,,
Josh Habeck,Round the Clock CrossFit,,worldwide,Men,379,worldwide,open,475,350,525,280,,,,,,,,,,
Maisa Ghanem,,,worldwide,Women,380,worldwide,open,,,,,,,,,,166,,,,
Dom Teolis,CrossFit Cadre,,North America East,Men,381,North America East,quarterfinals,440,331,500,235,,65,,,,121,,,,
Joshua Perks,Tarheel CrossFit,,North America East,Men,381,North America East,quarterfinals,410,305,515,245,,,,,1372,162,114,,,
Karli Plueger,CrossFit Okoboji,,North America West,Women,382,North America West,quarterfinals,225,190,290,125,341,,,,,197,139,515,1410,
Hirini Houia,CrossFit Papamoa,,Oceania,Men,382,Oceania,quarterfinals,,,,154.3234,,20,,,,,,,,
Dennis Hutchings,CrossFit Believe,,North America West,Men,382,North America West,quarterfinals,465,325,490,270,,61,,,,172,92,,1283,52
Armando Flores,CrossFit Invictus,,North America West,Men,383,North America West,quarterfinals,377,300,425,225,,,,,,164,,,,
Akwugo Arendt,CrossFit Tigers Den,,North America West,Women,383,North America West,quarterfinals,325,215,375,145,,20,,,1371,217,162,580,,68
Nathalie Rinck,CrossFit Tiot,,Europe,Women,384,Europe,quarterfinals,245,190,315,160,,,,,,,101,,,
