Athlete,Affiliate,Country,Region,Division,Rank,Games_Level,Qualifier,Back Squat (lbs),Clean and Jerk (lbs),Deadlift (lbs),Snatch (lbs),Fight Gone Bad,Max Pull-ups,Chad1000x (s),L1 Benchmark (s),Filthy 50 (s),Fran (s),Grace (s),Helen (s),Run 5k (s),Sprint 400m (s)
Zeke Grove,CrossFit Carv,,worldwide,Men,0,worldwide,semifinals,440.924,348.32996,518.0857,275.5775,,66,,,,116,69,433,,
Bartek Lipka,CrossFit Strong House,,worldwide,Men,0,worldwide,semifinals,490,340,635,260,,82,,,,124,96,,1140,57
Ricky Garard,Fitness Alley CrossFit,,Oceania,Men,1,Oceania,quarterfinals,451.9471,363.7623,529.1088,297.6237,490,75,,,890,125,70,405,1052,54
Jeffrey Adler,CrossFit Wonderland,,worldwide,Men,1,worldwide,games,475,377,567,290,511,54,,,917,122,76,438,1155,59
Patrick Vellner,CrossFit Nanaimo,,worldwide,Men,2,worldwide,games,455,355,595,290,389,64,,,1216,134,77,586,1130,66
Tola Morakinyo,CrossFit East Nashville,,worldwide,Men,2,worldwide,open,500,390,615,340,,,,,,,,,,
Conrad Winnertz,CrossFit Ground Zero,,worldwide,Men,2,worldwide,semifinals,,,,,,,,,,175,,,,60
Arielle Loewen,,,worldwide,Women,3,worldwide,games,300,235,345,191,,55,,,,135,82,480,1118,63
Michael van Tonder,Cape CrossFit,,Africa,Men,3,Africa,quarterfinals,407.8547,319.6699,436.51476,266.75902,,,,,,,120,,1329,
Roman Khrennikov,CrossFit Mayhem,,worldwide,Men,3,worldwide,games,473.9933,370,573.2012,280,,75,,,,120,70,,,
Ruan Potgieter,,,worldwide,Men,3,worldwide,semifinals,418.8778,330.693,507.0626,264.5544,337,79,,,,134,,,,
Brent Fikowski,,,worldwide,Men,4,worldwide,games,,,,300,,,,,,,,428,,
William Kearney,CrossFit Torian,,worldwide,Men,4,worldwide,semifinals,429.9009,335.10224,500.44874,264.5544,380,,,,,,121,501,1178,61
Gabriela Migała,CrossFit 72D,,worldwide,Women,4,worldwide,games,330.693,264.5544,374.7854,200.62042,,,,,,,,,,
Katelin Van Zyl,CrossFit Urban Energy,,worldwide,Women,4,worldwide,semifinals,319.6699,231.4851,385.8085,182.98346,,,,,,164,86,,1260,
Tanha Bouffe,CrossFit 4E,,worldwide,Women,5,worldwide,semifinals,275.5775,205.02966,286.6006,169.75574,,,,,1410,249,,652,,
Madeline Sturt,Reebok CrossFit Frankston,,worldwide,Women,5,worldwide,semifinals,308.6468,244.71282,407.8547,165.3465,,,,,,,,,,
Andrei Fedotov,Soyuz CrossFit,,worldwide,Men,5,worldwide,semifinals,451.9471,341.7161,529.1088,275.5775,,,,,,,,,,
Alexis Raptis,TTT CrossFit,,worldwide,Women,6,worldwide,games,,240,,190,,,,,,,,,,
Michelle Merand,CrossFit FBDV,,Africa,Women,6,Africa,quarterfinals,308.6468,231.4851,348.32996,178.57422,,47,,,,151,140,,1380,62
Reilly Smith,CrossFit Newstead,,worldwide,Men,6,worldwide,semifinals,407.8547,319.6699,462.9702,249.12206,,,,,,152,118,,,
Jonne Koski,CrossFit 10K,,worldwide,Men,6,worldwide,games,455,340,530,275,,,,,,,,,,
Gemma Rader,CrossFit Yas,,worldwide,Women,6,worldwide,semifinals,275,,330,190,,,,,,,,,,
Agustin Richelme,,,worldwide,Men,6,worldwide,semifinals,429.9009,352.7392,485.0164,275.5775,,79,,,,118,,,,
Emma Holliday,24N46E CrossFit,,worldwide,Women,7,worldwide,semifinals,260.14516,176.3696,313.05604,143.3003,,,,,,,273,768,,
Luiza Marques,CrossFit Mayhem,,worldwide,Women,7,worldwide,semifinals,230,175,220,145,,,,,,286,,,,
Katrin Tanja Davidsdottir,CrossFit Coeur d'Alene,,worldwide,Women,7,worldwide,games,265,225,315,192,454,,,,,138,88,556,,65
Chandler Smith,CrossFit Invictus,,worldwide,Men,7,worldwide,games,495,360,635,305,,85,,,,123,64,435,1138,
Gustavo Errico,,,worldwide,Men,7,worldwide,semifinals,405,305,445,250,,75,,,,133,100,,,
Justin Holliday,24N46E CrossFit,,worldwide,Men,8,worldwide,semifinals,399.03622,295,462.9702,229,,32,,,,,129,,,
Kang Kyungsun,CrossFit Limelight,,worldwide,Men,8,worldwide,semifinals,415,285,,225,,,,,,,,,,
Danielle Brandon,CrossFit Naples,,worldwide,Women,9,worldwide,games,,240,,210,,,,,,,,,,
Ruslan Miftakhov,,,worldwide,Men,9,worldwide,semifinals,451.9471,341.7161,473.9933,264.5544,,,,,,,,,,
Lago Guiraldes,CrossFit Tuluka,,worldwide,Men,9,worldwide,semifinals,264.5544,198.4158,308.6468,154.3234,,32,,,,,,,,
Angelique Connoway,CrossFit FBDV,,Africa,Women,9,Africa,quarterfinals,308.6468,231.4851,385.8085,182.98346,,,,,,,,,1440,
Justin Swart,CrossFit Juggernaut,,Africa,Men,9,Africa,quarterfinals,429.9009,341.7161,462.9702,257.94054,420,36,,,,126,100,437,1158,57
James Newbury,Raw Iron CrossFit,,worldwide,Men,9,worldwide,semifinals,440.924,319.6699,533.51804,264.5544,369,85,,,,128,86,419,1124,53
Mitchell Case,CrossFit Uplift,,worldwide,Men,10,worldwide,semifinals,385.8085,308.6468,485.0164,264.5544,,50,,,,144,115,484,1293,83
Eren Kim,CrossFit Shooting Star,,worldwide,Men,10,worldwide,semifinals,375,300,441,250,,,,,,146,,,,
Lani Venter,CrossFit 10 Star,,Africa,Women,10,Africa,quarterfinals,297.6237,220.462,374.7854,176.3696,317,47,,,,171,135,622,,
Dina Swift,6th Element CrossFit,,Africa,Women,11,Africa,quarterfinals,319.6699,231.4851,363.7623,198.4158,426,35,,,,170,85,472,1320,
Alexis Johnson,CrossFit Franco's,,North America West,Women,11,North America West,quarterfinals,280,227,342,175,440,,,,,,76,471,,75
Milana Yakovleva,CrossFit Udarnik,,worldwide,Women,11,worldwide,semifinals,249.12206,198.4158,297.6237,169.75574,,50,,,,147,134,,,80
Luis Oscar Mora,,,worldwide,Men,11,worldwide,semifinals,445,355,525,295,,,,,,,,,,
Björgvin Karl Guðmundsson,CrossFit Hengill,,worldwide,Men,11,worldwide,games,445,335,520,286,,65,,,,143,120,,1160,
Emma Tall,High Performance CrossFit,,worldwide,Women,11,worldwide,games,297.6237,231.4851,385.8085,180.77884,,,,,,,,,,
Ruan Conradie,CrossFit Two Rivers,,worldwide,Men,11,worldwide,semifinals,440.924,341.7161,540.1319,286.6006,425,50,,,,153,88,,,
Matthew Schiff,Motley Crew CrossFit,,worldwide,Men,12,worldwide,semifinals,374.7854,273.37288,451.9471,222.66662,379,50,,,,148,,,1147,
Kloie Wilson,CrossFit Dixie,,worldwide,Women,12,worldwide,semifinals,300,225,355,197,,30,,,,,98,,1294,
Jacqueline Dahlstrøm,C23 CrossFit,,worldwide,Women,12,worldwide,semifinals,286.6006,231.4851,330.693,182.98346,,,,,,,,,,
Madeline Shelling,CrossFit Selwyn,,worldwide,Women,12,worldwide,semifinals,,233.68972,352.7392,,,,,,,143,150,,,
Pablo Chalfun,,,worldwide,Men,12,worldwide,semifinals,428,305,,,,,,,,118,,,,
Kyra Milligan,Rhino CrossFit,,North America East,Women,12,North America East,quarterfinals,340,,495,,,,,,,,,,,
Annie Thorisdottir,CrossFit Reykjavík,,worldwide,Women,13,worldwide,games,275.5775,238.09896,374.7854,202.82504,460,80,,,907,157,80,,,107
Constanza Cabrera,,,worldwide,Women,13,worldwide,semifinals,330,234,330,194,,,,,,,,,,
Jack Rozema,CrossFit 785,,worldwide,Men,13,worldwide,semifinals,445,330,565,265,,,,,,133,79,,,61
Austin Hatfield,,,worldwide,Men,13,worldwide,semifinals,535,400,540,300,418,82,,,,110,67,,,
Lauren Fisher,Outlier CrossFit,,worldwide,Women,13,worldwide,semifinals,300,243,380,183,,50,,,,139,,,,66
Will Moorad,CrossFit East Nashville,,worldwide,Men,14,worldwide,games,460,355,525,310,,,,,,132,,,,
Brooke Wells,CrossFit East Nashville,,worldwide,Women,14,worldwide,semifinals,345,255,432,215,,,,,,126,73,,,
Carolyne Prevost,CrossFit Colosseum,,worldwide,Women,15,worldwide,semifinals,330,230,400,190,464,50,3549,,,122,77,,,
Bethany Flores,Next Level CrossFit,,worldwide,Women,15,worldwide,games,300,220,355,191,,55,,,,,93,,,65
Thuridur Erla Helgadottir,CrossFit Sport,,worldwide,Women,15,worldwide,semifinals,291.00984,238.09896,335.10224,191.80194,389,60,,,1136,169,117,512,1286,61
Laura Hume,CrossFit Kyma,,worldwide,Women,15,worldwide,semifinals,253.5313,180.77884,319.6699,63,,,,,,181,,,,
Samuel Kwant,,,worldwide,Men,15,worldwide,games,460,345,530,285,,74,,,,124,107,,1085,
Vitor Caetano,CrossFit Blessed,,worldwide,Men,15,worldwide,semifinals,445,365,550,302,,74,,,,128,142,,,58
Rob Watt,CrossFit Melbourne,,worldwide,Men,15,worldwide,semifinals,396.8316,253.5313,462.9702,,,,,,,199,117,450,,
Alex Kotoulas,,,worldwide,Men,15,worldwide,semifinals,418.8778,330.693,529.1088,275.5775,,,,,,,,,,
Schalk Burger,,,Africa,Men,15,Africa,quarterfinals,385.8085,330.693,485.0164,264.5544,383,53,,,,152,113,,,
Thea Kruger,CrossFit Taniwha,,worldwide,Women,16,worldwide,semifinals,242.5082,209.4389,363.7623,156.52802,,,,,,,117,,,
Ashleigh Wosny,TTT CrossFit,,worldwide,Women,16,worldwide,semifinals,,216,316,170,,,,,,,,,,
Matt Gilpin,CrossFit SPEED,,worldwide,Men,16,worldwide,semifinals,396.8316,341.7161,507.0626,242.5082,,,,,,,,,1156,
Kealan Henry,CrossFit HFS,,worldwide,Men,16,worldwide,semifinals,407.8547,319.6699,507.0626,260.14516,,,,,,,,,,
Scott Tetlow,Finish Strong CrossFit,,worldwide,Men,16,worldwide,semifinals,455,325,495,260,,,,,,120,102,,1196,67
Noah Ohlsen,Peak 360 CrossFit,,worldwide,Men,16,worldwide,games,465,380,540,285,421,72,,,1145,109,76,,1130,59
Luke McMahon,,,worldwide,Men,17,worldwide,semifinals,,,,,,,,,,,,,,
Robert Heuer,CrossFit Resuelto,,worldwide,Men,17,worldwide,semifinals,418.8778,310.85142,529.1088,260.14516,,45,,,,124,82,500,,
Erica Folo,CrossFit PSC,,North America East,Women,17,North America East,quarterfinals,,200,,160,,,,,,,,,,
Enrico Zenoni,CrossFit Adamantio,,worldwide,Men,17,worldwide,semifinals,418.8778,337.30686,496.0395,275.5775,,,,,,150,110,,1200,
Thais Nunes,CrossFit CFP9 CasaShopping,,worldwide,Women,17,worldwide,semifinals,335,255,345,185,,,,,,151,128,,,80
Andrea Nisler,CrossFit East Nashville,,worldwide,Women,17,worldwide,open,350,260,400,205,,,,,,,,,,
Olivia Smoothy,CrossFit Highfields,,worldwide,Women,17,worldwide,semifinals,346.12534,253.5313,440.924,198.4158,,,,,,176,112,,,
Norman Woodring,Not the Norm CrossFit,,worldwide,Men,18,worldwide,semifinals,505,350,600,265,450,,,,1050,134,105,,1105,
Isaiah Vidal,CrossFit Condesa,,worldwide,Men,18,worldwide,semifinals,405,335,475,235,,,,,,132,,,1050,
Paige Semenza,CrossFit Vertex,,worldwide,Women,18,worldwide,games,350,252,395,200,,,,,,,,,,72
Ragnheiður Sara Sigmundsdottir,Simmagym CrossFit,,worldwide,Women,19,worldwide,semifinals,297.6237,242.5082,341.7161,198.4158,,36,,,,,123,566,1352,
Shelby Neal,12th State CrossFit,,worldwide,Women,19,worldwide,games,300,245,365,195,,,,,,,,,,
Nick Mathew,CrossFit Minnetonka,,worldwide,Men,19,worldwide,games,545,375,605,300,,,,,,,,,1160,
Ellia Miller,CrossFit Powerstroke,,worldwide,Women,20,worldwide,semifinals,305,250,405,215,,,,,1380,168,69,648,1519,88
Uldis Upenieks,,,worldwide,Men,20,worldwide,games,456.35634,352.7392,551.155,275.5775,,,,,,,,,,
Marquan Jones,CrossFit Roseland,,worldwide,Men,20,worldwide,semifinals,450,350,485,300,384,64,,,,149,86,485,,
Anthony Davis,CrossFit Angier,,worldwide,Men,20,worldwide,semifinals,600,410,650,342,482,57,,,,124,64,444,1188,
Hilmar von Mansberg,CrossFit Leo,,worldwide,Men,20,worldwide,semifinals,,,,,,50,,,1162,144,113,,1345,
Kelly Baker,CrossFit Greater Heights,,worldwide,Women,21,worldwide,games,315,245,385,200,,,,,,,,,,
Callista Lang,CrossFit Huntersville,,worldwide,Women,21,worldwide,semifinals,275,240,345,175,,,,,,137,,,,
Laken Makhlouf,CrossFit 129,,worldwide,Women,21,worldwide,semifinals,260.14516,202.82504,297.6237,158.73264,,,,,,149,,523,1351,
Michael Smith,Crooked Lake CrossFit,,worldwide,Men,21,worldwide,semifinals,418.8778,341.7161,529.1088,271.16826,,71,,,,131,81,,,
Moritz Fiebig,CrossFit Sankt Pauli,,worldwide,Men,21,worldwide,games,485.0164,376.99002,573.2012,297.6237,,,,,,,,,,
Rebecca Fuselier,CrossFit Bolt,,worldwide,Women,21,worldwide,semifinals,265,215,285,170,,86,,,,119,,,,
Camilla Salomonsson Hellman,Styrka CrossFit,,worldwide,Women,22,worldwide,semifinals,315.26066,238.09896,354.94382,176.3696,,50,,,,149,80,,1374,69
Christine Kolenbrander,CrossFit 417,,worldwide,Women,22,worldwide,games,345,255,422,225,,71,,,,125,72,,,
Samantha Pugh,NEPA CrossFit,,worldwide,Women,22,worldwide,semifinals,310,245,405,195,,,,,,135,95,,,
Samuel Cournoyer,CrossFit ADM Chambly,,worldwide,Men,22,worldwide,games,435,370,530,305,,,,,,125,90,,,
Jack Clark,CrossFit Underway,,worldwide,Men,22,worldwide,semifinals,440.924,374.7854,496.0395,297.6237,483,60,,,,124,86,,1300,
Luke Tweddell,Palm Jumeirah CrossFit,,worldwide,Men,23,worldwide,semifinals,407.8547,304.23756,507.0626,235.89434,,54,,,,144,,544,1113,
Will Bennett,,,worldwide,Men,23,worldwide,semifinals,465,355,465,285,,55,,,,122,84,,,
Eduan Troskie,Lions Bay CrossFit,,worldwide,Men,23,worldwide,semifinals,440.924,319.6699,509.26722,255.73592,,46,,,,155,,,1308,
Adison Balderston,CrossFit Wildwood,,worldwide,Women,23,worldwide,semifinals,335,255,325,195,,45,,,,124,,486,1228,59
Uracha Teerawanitsan,CrossFit Club 49,,Asia,Women,23,Asia,quarterfinals,305,205,320,165,,,,,,,,,,
Calum Clements,CrossFit Denia,,worldwide,Men,24,worldwide,semifinals,396.8316,330.693,485.0164,275.5775,,,,,,,,,,
Amanda Barnhart,CrossFit High Gear,,worldwide,Women,24,worldwide,games,325,257,405,200,,,,,,135,90,,,
Sola Sigurdardottir,CrossFit Reykjavík,,worldwide,Women,24,worldwide,semifinals,319.6699,260.14516,352.7392,200.62042,,,,,,,,,,
Seokbeom Kim,CrossFit Limelight,,worldwide,Men,24,worldwide,semifinals,425,305,455,245,,,,,,,,,,
Carol Colling,Kingbull CrossFit,,South America,Women,25,South America,quarterfinals,275,220,340,180,,50,,,,135,103,,2100,
Tudor Magda,University Place CrossFit,,worldwide,Men,25,worldwide,semifinals,400,350,505,300,,65,,,,,,442,1262,
James Sprague,CrossFit Naples,,worldwide,Men,25,worldwide,games,450,340,535,280,520,72,,,1050,171,90,422,1139,59
Benjamin Newland,CrossFit Underway,,worldwide,Men,25,worldwide,semifinals,473.9933,396.8316,617.2936,308.6468,477,75,,,,130,,440,1161,57
Ludvig Hahnsson,CrossFit Basement,,worldwide,Men,25,worldwide,semifinals,396.8316,297.6237,462.9702,231.4851,,,,,,167,,,,
Taehyung Kim,CrossFit Arcade,,worldwide,Men,25,worldwide,semifinals,455,,500,275,,,,,,,,,,
Allison Ralfs,TTT CrossFit,,worldwide,Women,26,worldwide,semifinals,300,235,405,195,,,,,,,,,,
Leilani Tison,CrossFit U1,,Africa,Women,26,Africa,quarterfinals,324.07914,220.462,374.7854,149.91416,382,,,,,,107,,1482,
Bronislaw Olenkowicz,CrossFit Strong House,,worldwide,Men,26,worldwide,games,440.924,374.7854,489.42564,313.05604,,60,,,,131,69,,1380,
Hector Mateus,Peak 360 CrossFit,,worldwide,Men,26,worldwide,semifinals,405,315,515,245,,,,,,,,,,
Sven Geens,CrossFit Merchtem,,worldwide,Men,26,worldwide,semifinals,440.924,330.693,551.155,264.5544,,,,,,125,103,,1136,
Sapphire Goddard,CrossFit Rotherham,,Europe,Women,26,Europe,quarterfinals,352.7392,253.5313,440.924,196.21118,,,,,,135,75,,,
Anneke Spies,CrossFit Charisma,,worldwide,Women,27,worldwide,semifinals,,,,,,,,,,,,,,87
Caroline Spencer,CrossFit Krypton,,North America East,Women,27,North America East,quarterfinals,335,240,370,185,,,,,,113,71,,,69
Nataly Egorova,Backstage CrossFit,,Asia,Women,27,Asia,quarterfinals,264.5544,198.4158,330.693,160.93726,,22,,,,,,,1434,
Allison Weiss,CrossFit Invictus,,worldwide,Women,27,worldwide,semifinals,,,,180,,,,,,,,,,
Elena Carratala Sanahuja,CrossFit 4 Friends,,worldwide,Women,27,worldwide,semifinals,308.6468,231.4851,352.7392,191.80194,,,,,,130,110,,1200,60
Peter Mason,CrossFit EXP,,worldwide,Men,27,worldwide,semifinals,425,337,512,260,,55,,,,137,,,,64
Justin Dewing,Cowtown CrossFit,,worldwide,Men,28,worldwide,semifinals,452,372,542,295,365,,,,,135,113,,1151,
Jinsam Kim,CrossFit VS,,worldwide,Men,28,worldwide,semifinals,,,,,,90,,,,,,,,
Jacob Pfaff,Crossfit Invictus 202,,worldwide,Men,28,worldwide,semifinals,535,405,600,315,,,,,,128,71,,,
Dane Naude,CrossFit Oasis,,worldwide,Men,28,worldwide,semifinals,,275.5775,,209.4389,,,,,,,,,,
Matt Brady,,,worldwide,Men,29,worldwide,semifinals,455,340,520,290,,,,,,163,,,1221,
Baylee Rayl,,,worldwide,Women,29,worldwide,games,,220,,180,,,,,,,,,,
Marcus Kwak,CrossFit BigFoot Bucheon,,worldwide,Men,29,worldwide,semifinals,455,341.7161,515,285,,,,,,,,,,
John Champion,CrossFit Balcatta Legion,,worldwide,Men,29,worldwide,semifinals,440.924,332.89762,485.0164,264.5544,,,,,,,,,1197,72
Sam Parkin,Wakefield CrossFit,,worldwide,Men,29,worldwide,semifinals,385.8085,286.6006,584.2243,198.4158,,70,,,,123,85,,1200,
Thainã Toma,,,worldwide,Men,29,worldwide,semifinals,418.8778,352.7392,462.9702,246.91744,,50,,,,128,162,,1570,
Lucas Da Rosa,CrossFit Mayhem,,worldwide,Men,30,worldwide,semifinals,285,160,562.1781,275.5775,,77,,,,147,121,,1290,
Cam Crockett,CrossFit Cadre,,worldwide,Men,30,worldwide,semifinals,440,347,480,265,481,,,,,125,76,,,58
Meredith Swindle,Coyote CrossFit,,worldwide,Women,30,worldwide,semifinals,315,220,350,180,451,,,,,,,,,
Tyler Lee,CrossFit Somos,,North America East,Men,30,North America East,quarterfinals,465,355,555,290,,62,,,,143,,,,
Bryan Hernández,CrossFit Lanzarote,,worldwide,Men,31,worldwide,semifinals,374.7854,319.6699,440.924,268.96364,,,,,,149,,,,63
Alison Scudds,Rhino CrossFit,,worldwide,Women,31,worldwide,semifinals,300,242,358,185,,50,,,,119,175,,1409,
Anderon Primo,CrossFit Bauru Hangar,,South America,Men,31,South America,quarterfinals,500,365,555,308,,57,,,,152,100,,1282,56
Feeroozeh Saghafi,CrossFit Naples,,worldwide,Women,32,worldwide,games,315,230,345,182,332,60,,,,124,,,1350,65
Johnie Charles,CrossFit Dreamland,,worldwide,Men,32,worldwide,semifinals,450,335,500,265,,,,,,149,,,1260,
Logan Filo-Loos,CrossFit New England,,worldwide,Women,33,worldwide,semifinals,220,165,290,,,,,,,320,,730,,
Matilde Garnes,CrossFit Oslo,,worldwide,Women,33,worldwide,games,275.5775,231.4851,363.7623,187.3927,,,,,,,,,,
Victor Ljungdal,M21 CrossFit,,worldwide,Men,33,worldwide,semifinals,443.12862,352.7392,513.67646,257.94054,,,,,,,,,,
Cole Sager,CrossFit Spokane Valley,,worldwide,Men,34,worldwide,games,475,345,505,275,522,68,,,795,123,70,434,1168,54
Tommaso Pieri,No Shortcuts CrossFit,,worldwide,Men,34,worldwide,semifinals,396.8316,308.6468,440.924,264.5544,,60,,,,157,,,1363,
Guilherme Domingues,CrossFit Sinos,,South America,Men,35,South America,quarterfinals,455,365,545,280,,72,,,,129,101,516,1265,58
Lee Sharum,Camel City CrossFit,,worldwide,Men,35,worldwide,semifinals,455,345,525,280,,83,,,1952,133,112,,1272,
Roran Scott,CrossFit Boynton Beach,,worldwide,Women,35,worldwide,semifinals,365,269,365,207,,60,,,1083,150,121,547,,72
Simone Van wyk,CrossFit Unboxed,,Africa,Women,35,Africa,quarterfinals,246.91744,187.3927,286.6006,132.2772,,,,,,,,,,
Alex Vigneault,,,worldwide,Men,35,worldwide,games,465,360,615,300,457,72,,,894,134,71,432,1135,54
Anton Foss,CrossFit Advantage,,worldwide,Men,35,worldwide,semifinals,500,400,585,315,466,60,,,1496,132,83,422,1309,65
Stephanie Grange,CrossFit Reignited,,worldwide,Women,36,worldwide,semifinals,275,222,355,185,377,50,,,,143,132,,,74
Nina Juna,,,Asia,Women,36,Asia,quarterfinals,,,,,,,,,,,,,1344,
Emma McQuaid,CrossFit Daily Grind,,worldwide,Women,36,worldwide,games,275.5775,242.5082,374.7854,189.59732,,60,,,,137,77,,,69
Fellonneau Romain,CrossFit Castanet-Tolosan,,worldwide,Men,36,worldwide,semifinals,374.7854,308.6468,,242.5082,,,,,,126,,,,
Michelle Basnett,CrossFit Charlotte,,worldwide,Women,37,worldwide,games,295,240,325,205,,,,,,,,,,
Chloe Gauvin-David,CrossFit Move Fast Lift Heavy,,worldwide,Women,37,worldwide,open,280,230,350,190,,60,,,,133,106,,1350,
Hannah Hall,Persistence Culture Moorpark CrossFit,,worldwide,Women,37,worldwide,semifinals,320,250,350,200,,,,,,,,,,
Esteban Carvallo,,,South America,Men,37,South America,quarterfinals,515,335,565,265,,82,,,,115,90,,,
Nicole Heer,CrossFit Oslo,,worldwide,Women,37,worldwide,semifinals,275.5775,207.23428,286.6006,176.3696,,,,,,,112,,,
Keith Stillman,CrossFit Uninterrupted,,Asia,Men,38,Asia,quarterfinals,420,330.693,495,257.94054,,50,,,,150,90,,,
Danielle Kearns,CrossFit Krypton,,worldwide,Women,38,worldwide,semifinals,250,185,,150,,,,,,,,,,
Victoria Campos,CrossFit Mayhem,,worldwide,Women,38,worldwide,games,320,235,365,180,,45,,,,185,214,,1340,82
Kieren Power,Iron Body CrossFit,,Oceania,Men,39,Oceania,quarterfinals,407.8547,341.7161,462.9702,264.5544,,,,,,,,,,
Tony Lauters,,,worldwide,Men,39,worldwide,semifinals,475,325,505,260,314,42,,,1044,120,100,490,,
Gabrielle Ocker,Solidarity CrossFit,,worldwide,Women,39,worldwide,semifinals,325,235,330,185,,,,,,,,,,
Anthony Vorachak,Upper Valley CrossFit,,worldwide,Men,39,worldwide,semifinals,475,365,605,295,,67,,,,126,,,,52
Ivan Gaitan,,,South America,Men,39,South America,quarterfinals,462.9702,330.693,518.0857,264.5544,,,,,,,,,,
Marilyn Mangoto,,,Africa,Women,40,Africa,quarterfinals,330.693,242.5082,396.8316,176.3696,,50,,,,,,,1434,
Makenna Enslin,CrossFit Vertex,,worldwide,Women,40,worldwide,semifinals,305,225,347,190,346,,,,,197,150,,1525,
Stephane Cossette,CrossFit Le Repere,,North America East,Men,40,North America East,quarterfinals,500,245,565,,,,,,,183,139,,,
Isabella Vallejo,CrossFit Movida,,Oceania,Women,40,Oceania,quarterfinals,282.19136,198.4158,308.6468,154.3234,317,,,,1288,226,83,561,,
Cal Bauer,CrossFit Petoskey,,worldwide,Men,40,worldwide,semifinals,500,375,600,275,,,,,,130,69,,,54
Fabio Dechichi,,,South America,Men,41,South America,quarterfinals,396.8316,330.693,473.9933,264.5544,,50,,,,134,106,475,1304,60
Samantha Petrich,CrossFit Hideaway,,worldwide,Women,42,worldwide,semifinals,265,190,305,135,,,,,,,,,,
Evie Hollis,CrossFit Yas,,worldwide,Women,43,worldwide,semifinals,242.5082,205.02966,286.6006,160.93726,,33,,,,195,167,,,
Jordan Hayward,CrossFit Melior,,worldwide,Men,43,worldwide,semifinals,420,355,510,290,309,42,,,,185,90,,,
Josh Woodhull,CrossFit High Caliber,,worldwide,Men,44,worldwide,semifinals,465,335,600,265,448,73,,,922,133,148,425,1207,59
Nanda Stoltz,CrossFit Newstead,,Oceania,Women,44,Oceania,quarterfinals,271.16826,220.462,286.6006,171.96036,,,,,,168,96,,,
Tori Dyson,CrossFit New England,,worldwide,Women,44,worldwide,semifinals,285,235,325,198,,60,,,,,,,,
Maddison Drader,,,worldwide,Women,44,worldwide,semifinals,230,182.98346,295,,,,,,,,,,,
Joubert Boshoff,CrossFit Eikestad,,Africa,Men,45,Africa,quarterfinals,375,285,475,245,400,71,,,1421,147,144,,1238,
Mitch McClune,CrossFit Invictus,,worldwide,Men,45,worldwide,semifinals,485,352,485,275,,,,,,144,102,,,
Vanessa Wagner,CrossFit WN,,worldwide,Women,46,worldwide,semifinals,,235.89434,,176.3696,,,,,,,,,,
Hollye Henderson,CrossFit JXN,,worldwide,Women,46,worldwide,semifinals,310,235,350,185,,,,,,138,94,,,78
Evan Morris,CrossFit 505,,Oceania,Men,46,Oceania,quarterfinals,440.924,324.07914,507.0626,253.5313,402,,,,,155,104,,1799,
David Segun,Ben Lomond CrossFit,,Africa,Men,47,Africa,quarterfinals,480,345,475,275,,,,,,139,,,,
Jordan Lundin,Rhapsody CrossFit,,worldwide,Men,47,worldwide,semifinals,405,330,525,265,475,,,,,143,85,434,,
Mason Doherty,CrossFit MSD,,Oceania,Men,47,Oceania,quarterfinals,396.8316,308.6468,485.0164,260.14516,,60,,,,142,104,456,1180,58
Kate Gordon,Steel Coast CrossFit,,Oceania,Women,47,Oceania,quarterfinals,308.6468,244.71282,341.7161,187.3927,314,40,,,1355,145,84,619,1498,78
Mary Helen Saunders,CrossFit Invigorate,,worldwide,Women,48,worldwide,semifinals,270,200,300,170,,,,,,162,,,,
Maximiliano Arigossi,,,South America,Men,48,South America,quarterfinals,485.0164,352.7392,230,286.6006,,,,,,118,59,,920,
Leish Martin,CrossFit Taurus,,Oceania,Women,48,Oceania,quarterfinals,220.462,,275.5775,,,,,,,,,,,
Ashley Walden,CrossFit Blade,,worldwide,Women,49,worldwide,semifinals,250,225,340,185,387,61,,,,174,104,471,1312,
Jordan Chenier,CrossFit Orangeville,,worldwide,Men,49,worldwide,semifinals,,,485,210,,,,,,154,,,1080,
Jacques Van Der Walt,CrossFit Wanderlust,,Africa,Men,49,Africa,quarterfinals,462.9702,343.92072,507.0626,277.78212,350,45,,,,140,90,,,
Eric Evans,Bear Republic CrossFit,,worldwide,Men,49,worldwide,semifinals,460,345,570,265,,59,,,,153,,,1140,49
Tyler Thompson,CrossFit Zapped,,worldwide,Men,50,worldwide,semifinals,435,340,530,270,,,,,1181,176,,,1246,
Iurii Marincenco,CrossFit Felsina,,worldwide,Men,50,worldwide,semifinals,440.924,357.14844,551.155,264.5544,,,,,,,,,,
Stephen Jones,Koda CrossFit,,worldwide,Men,50,worldwide,semifinals,445,335,525,275,387,74,,,,180,217,585,,54
Jeromine Geroudet,CrossFit Lazuli,,worldwide,Women,50,worldwide,semifinals,286.6006,220.462,341.7161,165.3465,390,30,,,1054,193,220,,,
Alina Ward,CrossFit Sprag,,worldwide,Women,50,worldwide,semifinals,310,220,400,180,,39,,,,,118,,1230,60
Luke Burns,Solidarity CrossFit,,worldwide,Men,51,worldwide,semifinals,405,315,500,250,,63,,,,135,,477,1073,
Carlie Stone,,,worldwide,Women,51,worldwide,semifinals,290,230,400,180,348,40,,,,137,81,,1427,65
